!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Mus musculus
!cell	Astrocytes
!perturbation	Dexamethasone
!disease	0.25 hrs
!end_metadata
CYTB	-0.257839
FTH1	-0.177215
GNAI2	0.145384
GFAP	0.145001
RPL27	-0.126784
ATP5G3	0.122015
LAPTM4A	-0.115863
TUBA1B	0.115405
PPIA	-0.111003
GPX1	-0.108046
PRNP	0.102056
RNF187	0.095979
MORF4L2	-0.089075
TIMP2	0.087704
ANXA3	0.084899
PYGB	0.084180
NDUFA4	-0.083683
C14orf2	-0.081232
SERINC1	0.078418
RPL39	0.077530
UQCRHL	-0.076314
C2orf40	0.075880
RPL12	-0.075614
POLR2L	-0.075203
TUBB4B	0.072659
B2M	-0.072516
RPL24	-0.072502
PSAP	-0.072409
LDHA	0.072120
CSRP1	0.071819
SUMO2	-0.071761
RPS21	0.071356
RPL18A	0.071011
RPS26	-0.070593
DBI	-0.070522
RPS11	-0.069746
HIST1H2AE	-0.069427
SLC25A5	0.069085
TMEM147	-0.069026
IGFBP2	0.067849
EPHX1	0.067464
DAZAP2	0.067056
C1orf198	-0.067033
ELOVL5	0.065078
COL4A1	0.064331
CPE	0.063468
FSCN1	0.062997
ZYX	-0.062616
ATP6V0E1	-0.062209
ACTN1	0.061759
RPS6	-0.060728
ATP5J2	-0.060650
RPL36AL	-0.060619
HIST1H2AM	-0.059696
RPS25	-0.059555
SRR	0.059153
ATP5D	0.059073
FBXO2	-0.058694
LAPTM5	-0.058682
SMPDL3A	0.057595
MYL9	0.056532
CD81	-0.056068
CCT8	0.056038
ALDOA	0.054803
LLGL1	-0.054746
RPS2	0.054306
PSMB4	-0.053990
NDN	-0.053072
LMO4	0.052498
HSP90B1	0.052036
CST3	0.051898
SOX9	0.051823
UBL5	-0.050806
BAG3	-0.050674
TRA2A	-0.050368
ATOX1	-0.049774
NDUFA3	-0.049744
ATP6	0.049473
HIST1H2BG	-0.048738
ATG12	0.048596
SPCS1	-0.048519
HIST1H1C	-0.048099
CKB	-0.047771
GM2A	0.047766
MRPS24	-0.047408
SERF2	-0.047325
PCBP4	-0.047044
TBCA	-0.047009
PPME1	-0.046790
SLC9A3R1	0.046726
PRKACA	0.046672
