!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Mus musculus
!cell	Astrocytes
!perturbation	Dexamethasone
!disease	24 hr
!end_metadata
SGK1	0.245697
TUBA1B	-0.183481
HIST1H1C	0.178466
IGFBP5	-0.176580
FAM107A	0.164645
ALDOC	0.156909
PRELP	0.153070
KLF9	0.147544
TMEM176B	0.122452
GJA1	-0.121597
CTGF	0.121134
TXNIP	0.113735
HIST1H2AM	-0.108521
DLK1	0.106645
GAS6	0.105095
ATP6V1E1	0.104712
PDPN	0.100468
HIST1H2AJ	-0.097711
HIST1H2AE	-0.093018
IGFBP3	0.091487
H2AFZ	-0.090022
GRINA	0.088464
F2R	0.087526
MORF4L2	-0.082961
C2orf40	-0.081021
PDK4	0.080560
ASS1	0.079530
LGALS1	-0.079348
OMD	0.078731
IDH2	0.078017
TUBB	-0.077171
SLC25A18	-0.076887
OGN	0.076562
MGST1	0.074721
HIST1H2AG	-0.074129
HSPB8	0.073933
RPS2	-0.073441
YPEL3	0.072864
RPS27L	-0.071665
HAT1	-0.070293
FBXO2	0.068541
CHST2	0.067343
PBK	-0.067242
SUMO2	-0.066955
TUBB4B	-0.066794
NEDD9	0.066632
LXN	-0.066304
LCN2	0.065541
HSD17B4	0.065227
KCNE1L	-0.065144
ALDH6A1	0.063856
C11orf31	-0.063304
ATP6V0E1	0.063058
CLDN11	0.060561
HN1	-0.060035
GPX3	0.059951
CCDC3	0.057716
RPS11	-0.057267
TUBB6	-0.057114
HIST2H2AC	-0.056460
NREP	-0.056423
RASSF4	0.055361
MFSD2A	0.054787
GLDC	0.053606
SCD	0.052678
AKAP12	0.052518
PRC1	-0.051364
HNRNPAB	-0.049481
CTNNA1	0.049223
HIST1H2AA	-0.048630
NDRG2	0.047441
RPA1	-0.047388
LHFP	0.047260
CENPA	-0.047054
TUBA1A	-0.046935
PIM3	0.046615
EDNRB	-0.046464
RPN2	-0.046265
SPOP	0.046144
TIMP3	0.045683
PGP	-0.045466
VCP	-0.044342
EMP1	-0.044183
NACC2	-0.044037
HIST1H2AH	-0.043509
DUSP1	0.043201
TMBIM6	0.042818
TIMP2	-0.042628
FAM213A	0.042603
AGRN	-0.042430
PRNP	0.042103
CCPG1	0.041968
PSMD1	-0.041484
CYB5A	0.041192
ANAPC16	0.040717
PTN	-0.040145
ATP1B2	0.040100
IGFBP2	-0.039978
YBX1	-0.039732
SESN1	0.039602
SORL1	-0.039045
HSPB6	0.039045
GADD45G	0.038724
PSMA4	-0.038394
HIGD2A	0.038355
RPS12	-0.038309
