!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Mus musculus
!cell	Astrocytes
!perturbation	Dexamethasone
!disease	12 hr
!end_metadata
SGK1	0.185874
EGR1	-0.179865
GAS6	0.151458
FAM107A	0.150969
SLC25A18	-0.150239
IGFBP5	-0.148088
IDH2	0.137032
GJA1	-0.129728
DLK1	0.126862
F2R	0.123556
KLF9	0.122705
HIST1H1C	0.120007
IGFBP3	0.116669
LCN2	0.102906
ALDOC	0.101634
HSPB8	0.101119
DDAH1	-0.101043
SLC1A3	-0.100947
CTGF	0.099580
GRINA	0.097305
PTPLAD1	-0.094077
CKB	-0.090450
GADD45G	0.083893
OLIG1	-0.081648
ND1	0.081250
ND4	0.078694
ATP6V0E1	0.078317
OMD	0.077862
OGN	0.077056
IGFBP2	0.075937
FEZ1	-0.075700
SPARC	0.075278
PIM3	0.074677
GPX3	0.074631
TXNIP	0.072778
COX2	0.071444
FAM129B	0.071120
ATP6V1E1	0.069368
ATP6	0.069032
CPE	-0.068707
SLC25A33	0.066659
MGST1	0.066452
TIMP3	0.066235
ADAM9	0.065111
EDNRB	-0.064873
MIF	-0.064854
HAT1	-0.064531
ATP5B	-0.063483
ARL8A	0.062298
EIF4H	-0.062142
DBP	-0.060985
ATP5C1	-0.060086
CCDC3	0.059935
AGRN	-0.059607
TSC22D3	0.059335
NREP	-0.059326
MMD2	-0.058371
PACRG	-0.057074
CST3	0.055928
PDK4	0.055847
SPOP	0.055454
FADS1	-0.055040
MYL6	0.054867
LXN	-0.054081
LOC728392	-0.053508
DUSP1	0.053150
MFSD2A	0.052140
LAPTM5	-0.051662
NACC2	-0.050897
RASSF4	0.050639
RPS11	-0.049194
PRELP	0.048786
PKIA	-0.048775
RPS27L	-0.048043
SAP30	0.047829
HSPH1	0.047757
ATP5J2	-0.047747
RAB31	-0.047169
OSBPL9	0.046849
MYL9	-0.046564
GPX1	0.046316
THYN1	-0.044935
PPP2CA	-0.044694
SHFM1	0.044615
PSMD1	-0.044519
ARHGEF4	-0.044350
ANKH	-0.044221
LYZ	-0.043662
GLDC	0.043550
CLTB	0.043509
LHFP	0.043420
COX6B1	-0.043014
KCNE1L	-0.042358
CTPS1	0.042145
VIM	0.042137
COL4A1	0.041612
NEDD9	0.041411
LGALS3	-0.041397
CRYAB	0.041313
ANXA5	-0.041270
TAGLN2	-0.041154
NME5	-0.041114
ODC1	-0.040767
HSPB1	0.040570
HSD17B4	0.040432
FHL1	-0.040163
PARK7	-0.040073
ERRFI1	0.039801
TUBA1A	0.039704
MYEOV2	-0.039625
PNPLA2	0.039234
ATOX1	-0.038868
RPS26	-0.038818
MTCH1	-0.038744
ITGA3	0.038457
MAGEE1	-0.038451
HIST1H3B	0.038439
MAGED2	-0.038144
FAM171B	-0.037615
CSRP2	0.037592
UQCRHL	0.037536
FKBP5	0.037378
KRTCAP2	-0.037254
CEBPB	0.037245
MBNL2	0.037123
ALDH6A1	0.037062
LGALS1	-0.036870
CDO1	0.036798
RPS16	0.036689
CYB5B	-0.036455
TTR	-0.036204
RPL38	-0.036166
FAM173A	-0.036081
SCD	0.035788
TUBB4B	-0.035411
SLC8B1	0.035294
NDN	-0.035241
HN1	-0.035047
CHCHD1	-0.035036
UBE2L3	-0.034954
ZFP36L1	-0.034917
PYGB	-0.034630
DDX39B	-0.034295
PPP1R3C	-0.034182
CD81	0.033654
ALDH1A1	0.033644
RAP1B	0.033544
RPA1	-0.033517
SYAP1	-0.033423
TIMP2	-0.033357
WBP5	0.033090
RAB29	-0.033084
FAM127C	0.033010
PSAP	-0.032887
MCL1	0.032769
HIST1H2BG	0.032699
SSFA2	0.032673
WDR1	-0.032594
B3GNT1	-0.032362
NSMCE1	-0.032154
DYNLRB2	-0.032127
BAG3	0.032034
MAF1	0.031947
CAV1	0.031833
NUAK1	0.031732
PLIN4	0.031701
SERTM1	-0.031659
PURB	-0.031520
CHCHD10	-0.031507
RPS14	0.031408
PCBP4	0.031286
DAG1	0.031193
ZFYVE21	0.031176
HEY1	-0.031140
GABARAPL1	0.031029
HIST1H2BI	0.030629
SESN1	0.030622
TSPAN3	0.030583
TUBB	-0.030487
LAMP1	-0.030369
SOX9	-0.030280
MYL12A	0.030165
ENDOD1	-0.030103
NDRG2	0.029959
RPS19	-0.029859
EEF1A1	0.029858
HERC2	0.029847
CYP1B1	-0.029732
SLC38A2	0.029713
C11orf31	-0.029673
WISP2	0.029604
SLC25A17	0.029591
RTN1	-0.029573
TAPT1	0.029531
PSMB4	-0.029419
SCAMP1	-0.029284
RSPH1	-0.029219
DDIT4	0.029146
DBNDD2	-0.029130
NME2	0.028975
NPVF	-0.028945
RPL27	0.028810
TFCP2L1	0.028755
NPM1	-0.028412
MRPL28	-0.028308
EIF3L	-0.028192
PLEKHB1	-0.028069
PXDC1	0.028059
ARPC2	0.027910
ASS1	0.027909
BCL6	0.027846
ACAA1	-0.027807
MRPL33	-0.027803
FGFRL1	-0.027712
RPL36AL	0.027533
RIIAD1	-0.027524
WBP2	0.027463
PRDX2	-0.027451
NDRG1	0.027431
ND4L	0.027386
IRF2	0.027368
NDUFA4	0.027307
WWC2	0.027280
FCER1G	-0.027231
EPHX1	-0.027111
DAZAP2	0.027066
SBDS	0.026609
ACSL3	0.026411
AKAP12	0.026335
DDR1	0.026331
VAPA	0.026299
CCDC23	-0.026241
SEPT11	-0.026141
ETF1	-0.026116
SCCPDH	-0.026109
PDLIM4	-0.026026
RPL18A	0.025982
PUF60	-0.025948
CAPZB	0.025883
RPS7	0.025845
CLDN2	0.025838
HSPA2	-0.025764
ST6GALNAC2	0.025691
GSTM5	0.025627
C12orf57	-0.025338
SERF2	-0.025318
SEP15	0.025215
HNRNPAB	-0.025139
PSMC4	-0.025132
NUDT9	0.024984
NDFIP1	0.024895
NDUFB8	-0.024833
ACADM	0.024817
B9D1	-0.024809
FOS	-0.024803
AKR1A1	-0.024799
