!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Mus musculus
!cell	Astrocytes
!perturbation	Dexamethasone
!disease	2 hr
!end_metadata
KLF9	0.380797
SGK1	0.325139
GADD45G	0.315031
CTGF	0.293888
ERRFI1	0.206555
NEDD9	0.189236
TXNIP	0.128614
FAM107A	0.119165
PIM3	0.111694
HEY1	-0.109542
RHOB	0.108411
MFSD2A	0.099765
SAP30	0.086322
CKB	-0.085104
SLC25A33	0.084720
ZFP36L1	-0.082334
PDK4	0.079675
SPSB1	0.079460
MAT2A	0.069755
IDH2	0.067081
ND1	-0.067075
CSRNP1	0.065569
RHOU	0.065122
FHDC1	-0.063827
TUBA1B	0.062339
CHST2	0.061224
BHLHE40	-0.059607
TSC22D3	0.059547
CAV1	-0.059508
EIF4H	-0.059153
PPAP2B	0.057890
ANXA3	-0.057718
CEBPB	0.057031
HBEGF	-0.055148
EMP1	-0.054952
CD81	0.054689
DDIT4	0.053594
COL4A1	0.053567
COX2	-0.052838
SLC38A2	0.052249
FKBP5	0.050165
IFITM3	-0.050123
DLK1	0.049341
PRNP	0.048539
ANXA2	-0.048370
MBNL2	0.047986
PMP22	0.047716
SOX9	-0.047615
BCL6	0.046586
CDKN1A	0.046065
SESN1	0.045605
CD164	0.045198
RPN2	-0.044273
FAM178A	0.044101
CCND1	-0.042828
CORO1C	0.042763
KCNK1	0.042623
CYTB	-0.042035
TTR	0.041562
RASL11B	0.041385
ATP5G3	0.041197
PHLDA1	-0.040970
ANXA5	-0.040939
VASN	0.040473
PPA1	-0.040299
CCRN4L	-0.040221
VCL	-0.039808
ASB8	0.039552
LYPLA2	0.038984
LXN	-0.038925
SERPINH1	-0.038753
MERTK	0.038459
PER1	0.038252
DHX32	-0.037949
DHRS1	0.037786
ALDOC	0.037648
IGFBP5	0.037340
ATP1A1	0.037213
PLEKHA2	0.036947
PDGFB	-0.036897
RPL3	-0.036759
AMPD3	0.036186
CYP1B1	-0.036055
SSFA2	0.035954
MIDN	-0.035498
ODC1	-0.035078
FAM129B	0.034833
ACTB	-0.034464
TP53INP1	0.034392
UQCR11	-0.034376
NFKBIA	0.034119
SERPINF1	-0.033995
WNT7A	-0.033993
DDIT4L	-0.033794
IGFBP2	-0.033753
KLF13	0.033616
SOCS3	-0.033382
PKIA	-0.033357
HS3ST1	0.033198
RALBP1	0.032698
RPL24	-0.032586
WSB2	-0.032516
PCBP4	-0.032263
SLC1A3	-0.031996
SEPT11	-0.031984
PTTG1IP	0.031906
OLIG1	-0.031842
P4HB	-0.031545
MSMO1	-0.031473
DIRAS2	-0.031449
GFAP	0.031425
LGALS3	-0.031084
SLC25A5	-0.030241
HSPH1	0.030169
CTNNBIP1	-0.030153
MAGED1	-0.029971
RND3	-0.029828
CSRP1	-0.029688
HERPUD1	0.029581
MCL1	0.029562
LGALS1	-0.029511
CDV3	-0.029122
COL4A2	0.029118
RPL23	0.029075
CD9	-0.028889
OXCT1	-0.028688
MFN1	0.028443
NDN	-0.028437
CDC42EP3	-0.028236
PURB	-0.027445
TRIM8	-0.027241
SERTM1	-0.026968
TAGLN2	-0.026883
SCHIP1	-0.026829
RPL39	-0.026668
UACA	-0.026657
ARNTL	-0.026566
TNFRSF12A	-0.026426
RPS26	0.026294
RAB31	0.026137
ZYX	0.026077
DBP	-0.025753
ACLY	-0.025721
PTPLAD1	0.025562
TUBB4B	0.025521
SPHK1	0.025364
YBX1	-0.025257
SHFM1	0.025238
GJB6	0.025119
CDR2	0.025111
NMT1	-0.025030
MAPRE1	0.025017
SLC6A6	-0.025015
IRF2BPL	-0.024968
TFCP2L1	0.024896
ARHGEF4	0.024852
CSRP2	0.024740
PLEKHG2	-0.024596
CYR61	-0.024575
ARL6IP1	-0.024562
GLG1	-0.024365
F2R	-0.024330
FGFBP3	-0.024300
RPS2	-0.024270
LRP10	-0.024227
ADAMTS9	0.024153
ATP6	-0.024020
LBH	-0.023785
PTX3	-0.023765
CST3	-0.023696
RPS11	-0.023674
ID2	-0.023623
GAB1	-0.023498
NUAK1	0.023489
CCND2	-0.023311
MEST	-0.023250
NID2	-0.023231
PCBP2	-0.023203
PRELP	0.023006
FADS1	-0.022996
LCN2	0.022979
ATP6V0E1	0.022942
IER3	-0.022892
GRINA	0.022807
TRIO	0.022580
DYNLRB2	0.022535
SEPT8	0.022178
RPA1	-0.022164
TUBB6	-0.021912
TSPAN3	0.021911
EEF1G	0.021876
OTX1	-0.021627
RGCC	0.021545
RGMA	-0.021499
CYB5B	-0.021492
FEZF2	0.021248
RNPEPL1	-0.021219
PEX11A	0.020979
LPAR4	-0.020975
ZFP36	0.020913
ATP5B	0.020891
GABARAP	0.020828
PDGFA	-0.020795
FLVCR1	-0.020705
PCGF5	-0.020693
ARPC2	-0.020620
NDUFA10	0.020503
IGFBP3	0.020288
GJA1	0.020139
ATP6V1E1	0.020009
