!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Mus musculus
!cell	Astrocytes
!perturbation	Dexamethasone
!disease	6 hr
!end_metadata
SGK1	0.250006
GADD45G	0.226377
FAM107A	0.200317
KLF9	0.178431
SLC25A33	0.143344
ERRFI1	0.142145
IDH2	0.127483
DLK1	0.126202
TXNIP	0.124132
EMP1	-0.123131
PIM3	0.113882
PDK4	0.113253
F2R	0.105478
CAV1	-0.095725
ANXA3	-0.094668
FKBP5	0.092165
KCNK1	0.089936
CSRP2	0.089893
LGALS3	-0.088577
NEDD9	0.087445
MFSD2A	0.086302
RPS4Y1	-0.081769
TIMP3	0.081164
GRINA	0.081105
TSC22D3	0.081046
HSPB8	0.078315
VASN	0.077815
TMEM184B	-0.076047
PRNP	-0.073951
RHOB	0.073783
OLIG1	-0.072667
CD81	0.071554
HSPH1	0.071333
SLC39A12	0.071253
MRPS6	-0.071002
RPS12	0.070828
HSD17B4	0.069834
ZFYVE21	0.068631
ATP6V0E1	0.067645
COL4A1	0.066940
ALDOC	0.066569
GAS6	0.066383
CYP1B1	-0.063702
LCN2	0.062625
PNPLA2	0.060750
ANXA2	-0.060721
ATP5G3	0.060680
TUBB	-0.060083
CHST2	0.059560
PTTG1IP	0.058131
CYB5B	-0.057483
PLIN4	0.057396
DDIT4	0.056392
SESN1	0.055611
ATP6V1E1	0.054065
CSRNP1	0.053823
TAPT1	0.053583
RHOU	0.053500
IGFBP2	-0.053346
PLEKHA2	0.052893
SPSB1	0.052763
FTH1	-0.052705
PTX3	-0.052646
PDPN	0.051820
MBNL2	0.051705
UACA	-0.051207
AGRN	-0.050497
RPL18A	0.050334
LDHA	-0.050210
TAGLN2	-0.050144
TFCP2L1	0.049990
SLC38A2	0.049865
NPVF	-0.049783
ZYX	-0.049398
SAP30	0.048636
CTGF	-0.048513
SLC25A18	-0.048301
CHAC1	-0.047682
ARMCX2	-0.047481
RPS29	0.047444
DBI	0.047376
TNFAIP1	-0.047185
SPOP	0.046466
CCND1	-0.046235
NACC2	-0.046139
WDR1	-0.046037
RASSF4	0.045532
FAM129B	0.045079
CD164	0.044894
CCDC3	0.044395
CDKN1A	0.043735
HIST1H1C	0.043333
NGFRAP1	-0.043302
PSAP	0.043269
PSMB6	-0.043227
PDLIM4	-0.042914
CEBPB	0.042752
PON2	0.042358
OGN	0.042116
PRMT2	-0.042065
COTL1	0.041412
PDGFA	-0.041368
CLDN2	0.040654
AMPD3	0.040297
PPP1R18	-0.040208
MSMO1	-0.040111
BCAT1	0.040020
LRIG1	-0.039975
IGFBP5	-0.039689
TUBA1B	0.039424
H2AFZ	-0.039371
DDIT4L	-0.039285
TNFRSF12A	-0.038758
IGFBP3	0.038238
CLTB	0.038192
YWHAH	-0.038163
COL4A2	0.038155
PURB	-0.038100
CKB	0.038083
MFN1	0.037978
FHDC1	-0.037869
FBXO2	0.037755
DBNDD2	-0.037682
IFITM3	-0.037530
GJA1	-0.037181
WBP5	-0.037162
PMP22	0.037096
EDF1	-0.036812
LPAR6	-0.036352
ACTA2	0.036160
DNAJB1	-0.036023
BAG3	-0.035981
ZFP36L1	-0.035940
OMD	0.035928
DCLK3	0.035892
TMEM43	-0.035585
DBP	-0.035422
MRPS24	-0.035286
HSPB1	0.035138
RPS21	0.034955
CORO1C	0.034863
MGST1	0.034758
MAGEE1	-0.034667
SEPT8	0.034651
LASP1	-0.034336
SLC2A1	0.034048
RPS27L	-0.033606
SPARC	0.033560
HEY1	-0.033408
GJB6	0.033335
VCL	-0.033286
PCGF5	-0.033275
RALBP1	0.033078
NFE2L1	-0.033032
DIRAS2	-0.033028
BCL6	0.032916
CDV3	-0.032797
TRAF3	-0.032082
HAT1	-0.031865
SDC2	0.031857
DDAH1	-0.031728
ALDH6A1	0.031695
PER1	0.031343
PABPN1	-0.031327
ST6GALNAC2	0.031108
SEPT11	-0.030995
PRKCDBP	-0.030976
HN1	-0.030961
RAB29	-0.030925
EPHX1	-0.030853
ANXA5	-0.030412
WSB2	-0.030217
HERC2	0.030184
HBEGF	-0.030061
TCEAL8	-0.030036
DAZAP2	0.029740
PPAP2B	0.029714
NDUFA13	-0.029685
TMEM147	-0.029538
LYPLA2	-0.029499
LIMS2	0.029180
LITAF	-0.029168
ST5	-0.029065
ATF4	-0.029036
PSMB4	-0.028935
WNT7A	-0.028817
CSF1	-0.028742
ATP5J2	0.028395
RPA1	-0.028374
SERPINH1	-0.028243
HDC	0.028181
CSTF3	0.028174
CTNNBIP1	-0.028133
FSCN1	-0.028000
SLC6A6	-0.027982
BHLHE40	-0.027941
PGP	-0.027873
RPS24	0.027869
SCHIP1	-0.027744
SDC4	0.027724
NUAK1	0.027671
ACTB	0.027534
SQLE	-0.027503
MAPRE1	-0.027460
LLGL2	0.027318
SOX9	-0.027249
PPP2CB	-0.027120
NREP	-0.027097
UTP11L	-0.027096
MERTK	0.027019
FAM178A	0.026837
KRTCAP2	-0.026814
SLC39A6	-0.026714
RPS14	0.026651
CCRN4L	-0.026627
DYNLL1	-0.026514
ACLY	-0.026421
MAF1	0.026259
SSFA2	0.026246
CD9	-0.026174
PXDC1	0.026131
EIF4A1	-0.026069
SUMO2	-0.025912
ELOVL5	0.025892
NRN1	-0.025839
SCD	0.025839
NPM1	-0.025775
MYL9	-0.025735
DUSP6	-0.025570
SERPINF1	-0.025562
KLF13	0.025395
AKR1A1	-0.025179
SERTM1	-0.025170
STAB1	0.025162
HDGFRP2	0.025147
CTPS1	0.025095
SPHK1	0.025065
UQCR10	0.025018
HERPUD1	-0.024841
ANKH	-0.024786
GAB1	-0.024727
FAM173A	-0.024614
GOLM1	0.024613
LBH	-0.024612
MIF	-0.024579
TMED9	0.024470
TBCA	-0.024397
SRP14	0.024390
FDPS	-0.024338
NT5DC2	0.024299
FADS1	-0.024211
WBP1L	0.024194
SRSF2	-0.024147
CBFB	-0.024139
PGS1	-0.024069
ARHGEF18	-0.024040
TCF4	0.024011
TRIOBP	-0.023990
ARHGEF4	0.023981
C1orf21	0.023855
PTPLAD1	-0.023854
AXL	-0.023840
TFG	-0.023806
LHFP	0.023743
HADHB	0.023731
PCBP1	-0.023614
PPP1R3C	-0.023602
NID2	-0.023592
PPA1	-0.023552
GLUL	0.023537
YPEL3	0.023352
UBE2E2	-0.023264
RPS7	-0.023184
ITPR1	0.023157
FAM102A	-0.023121
C20orf27	-0.022998
ID1	0.022940
IER3	-0.022896
