!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Mus musculus
!cell	Astrocytes
!perturbation	Dexamethasone
!disease	18 hr
!end_metadata
SGK1	0.293435
FAM107A	0.210130
HIST1H1C	0.201019
IGFBP5	-0.175512
ALDOC	0.167191
IGFBP3	0.151186
KLF9	0.149421
TUBA1B	-0.137131
DLK1	0.129178
CTGF	0.128745
IDH2	0.120964
HIST1H2AM	-0.120810
HIST1H2AJ	-0.119049
TMEM176B	0.114736
HIST1H2AE	-0.109691
GRINA	0.104237
TXNIP	0.103965
GJA1	-0.094127
C2orf40	-0.091349
GAS6	0.091338
PRELP	0.090325
OGN	0.089866
DDAH1	-0.088475
OMD	0.086119
HIST1H2AG	-0.084966
PDK4	0.084777
LCN2	0.081871
ATP6V0E1	0.081261
TUBB	-0.079672
SLC39A12	0.078657
ATP6V1E1	0.078581
CHST2	0.076913
LGALS1	-0.076291
MGST1	0.075640
PDPN	0.075583
NREP	-0.074792
DBP	-0.073002
HIST2H2AC	-0.072999
HSD17B4	0.072008
HAT1	-0.070313
KCNE1L	-0.068846
C11orf31	-0.065956
H2AFZ	-0.065878
NEDD9	0.064308
ASS1	0.063698
CCDC3	0.063043
HIST1H2AA	-0.062195
GPX1	0.060074
YPEL3	0.059573
MIF	-0.059233
SLC25A18	-0.058680
FAM134B	0.057884
F2R	0.057578
EDNRB	-0.057277
SPARC	0.057038
KLF6	0.056303
FXYD6	-0.055985
TUBB6	-0.055759
ALDH6A1	0.055191
HN1	-0.054696
HIST1H2AH	-0.052400
RPS11	-0.051201
ACADM	0.051124
RASSF4	0.051045
TIMP3	0.050271
AGRN	-0.050259
SLC25A33	0.050186
RPS2	-0.050154
GADD45G	0.050152
EEF1G	-0.049988
NDRG2	0.048074
TUBB4B	-0.048065
MAGED1	-0.046354
HSPB8	0.045580
PBK	-0.044974
DAZAP2	0.043522
MORF4L2	-0.043269
NUDT4	0.042941
RPS27L	-0.042454
RPS29	-0.041905
GPX3	0.041685
ACSL3	0.041173
MYL9	-0.040542
SERPINF1	-0.040175
MFSD2A	0.040143
CLDN11	0.039875
NACC2	-0.039847
SPSB1	0.039781
PIM3	0.039286
PPA1	-0.039215
PSMD1	-0.039111
NME1	-0.039002
SCD	0.038874
LHFP	0.038736
SLC1A3	-0.038694
SERINC1	0.038612
COTL1	0.038417
DUSP1	0.038044
TAGLN2	-0.037739
CYB5A	0.037685
FBXO2	0.037627
IGFBP2	-0.037572
CSRP1	0.037378
GLDC	0.037303
THYN1	-0.037147
RPA1	-0.037130
CYP1B1	-0.037091
ATP1B2	0.037034
NDRG1	0.037018
HSPH1	0.036973
SESN1	0.036967
VCP	-0.036593
TCF4	0.036260
SLC38A2	0.035639
PGP	-0.035575
ND1	0.035527
RPS26	-0.035258
SORL1	-0.035224
HIST1H2BG	0.035076
HNRNPAB	-0.035046
EMP1	-0.034996
SUMO2	-0.033907
PTN	-0.033607
SPOP	0.033589
PSMB4	-0.033427
SEPT11	-0.033236
TSC22D3	0.033093
AKAP12	0.032915
FEZ1	-0.032791
CTNNA1	0.032628
PRC1	-0.032619
RPS14	0.032596
FAM213A	0.032497
PSMB6	-0.032212
CLTB	0.031976
KLF7	0.031455
FTH1	0.031356
GALNT16	-0.031203
ERP29	-0.031175
HIST1H2BL	0.031116
LSM4	-0.031087
PPP2CA	-0.031003
CAPZB	0.030985
LOC728392	-0.030717
ATP5G3	-0.030635
TAPT1	0.030403
OSBPL9	0.030194
MBNL2	0.029982
DDIT4L	-0.029982
FKBP5	0.029962
HDC	0.029949
HERC2	0.029662
TAX1BP1	0.029654
ARNTL	0.029594
CST3	0.029486
GPX4	0.029073
KRTCAP2	-0.028948
LXN	-0.028906
CYTB	0.028851
PTPLAD1	-0.028814
GSTM5	0.028722
PURB	-0.028547
CTPS1	0.028441
COX2	0.028288
CCND2	-0.028208
PACRG	-0.028148
CD81	0.028034
RALBP1	0.027835
SLC25A17	0.027807
ARHGEF4	0.027575
PLEKHA2	0.027545
RPL9	-0.027489
MYL12A	0.027175
TMEM59	0.027150
KIF1A	0.027010
ANXA3	-0.026860
MEST	-0.026438
ZFYVE21	0.026392
MAGEE1	-0.026213
GABARAPL1	0.026169
MCM5	-0.026162
FHL1	-0.026151
RPS4Y1	0.026100
ACADSB	0.026078
ARL6IP1	-0.025961
NUDT9	0.025874
PON2	0.025830
SERTM1	-0.025787
TMEM184B	-0.025601
SERPINH1	-0.025506
CDV3	-0.025333
MFN1	0.025318
HIST1H2BI	0.025265
NUAK1	0.025224
WSB1	0.025132
ARMCX2	-0.025132
DIRAS2	-0.024913
CHI3L1	0.024738
HIGD2A	0.024668
MAT2A	0.024618
MMD2	-0.024572
CARHSP1	0.024554
CYP4V2	0.024430
PRDX5	0.024375
TIMP4	0.024322
GALNT15	0.024245
HJURP	-0.024154
ECH1	0.024151
PDHA1	0.024150
NSMCE1	-0.024139
PRNP	-0.024133
FBXO6	0.024087
AARD	-0.023963
WDR6	-0.023933
KCNK1	0.023777
PAIP2	0.023746
SCARA3	-0.023726
ISCU	0.023433
GINM1	0.023338
CH25H	-0.023309
PSMA2	-0.023305
RABAC1	0.023234
WBP2	0.023187
MCM4	-0.023178
TBCA	-0.023065
PSMA5	-0.022936
MSH6	-0.022906
MRPL33	-0.022825
COX4I1	0.022772
SSFA2	0.022767
BGN	-0.022617
ARL8A	0.022536
RPN2	-0.022527
C4orf27	-0.022454
PLK1	-0.022403
ITPR1	0.022403
MAPRE1	-0.022318
RHOB	0.022107
CLDN2	0.022042
RAB29	-0.021961
TAX1BP3	0.021948
LGALS3	-0.021933
SCCPDH	-0.021880
MNS1	-0.021803
UBE2L3	-0.021781
TIMP2	-0.021761
EEF1A1	0.021644
CSTF3	0.021620
CHCHD1	-0.021592
PSMA4	-0.021592
SERPINA3	0.021502
ERRFI1	0.021371
ADAM9	0.021306
MYEOV2	-0.021305
ENDOD1	-0.021283
ITGA3	0.021236
CCT6A	-0.021181
PPID	-0.021115
ATP5C1	-0.021087
RAP1B	0.021082
TMEM50A	0.021074
RPS8	-0.021074
LPL	-0.021025
PPP1R18	-0.021022
RIIAD1	-0.021009
GLO1	-0.020984
PSMB1	-0.020982
WBP5	0.020939
SLC8B1	0.020928
SQSTM1	0.020887
CCPG1	0.020887
SNRPD2	-0.020881
BCL6	0.020874
TUBA1A	-0.020779
FADS1	-0.020732
PNPLA2	0.020729
CORO1C	0.020691
VDAC3	0.020639
DCAKD	-0.020621
PXDC1	0.020620
HIST1H3B	0.020578
LPAR1	-0.020534
DDIT4	0.020515
NPM1	-0.020462
POMP	-0.020449
HIST1H2BF	0.020439
PFDN5	-0.020312
B3GNT1	-0.020273
SEPP1	0.020255
FNTB	-0.020201
MAGED2	-0.020198
TCTEX1D2	-0.020148
RHOU	0.020125
BAG1	-0.020078
WBP1L	0.019974
COL18A1	-0.019925
ATP1B1	0.019874
COL8A1	-0.019868
CDO1	0.019834
BHLHB9	-0.019811
CDT1	-0.019749
ASB8	0.019632
ST6GALNAC2	0.019602
SARAF	0.019589
PIK3R1	0.019543
CENPA	-0.019501
NUAK2	0.019366
SRSF1	-0.019321
MCL1	0.019269
ATOX1	-0.019231
PPP1CB	0.019162
HNRNPM	-0.019098
TFCP2L1	0.019073
ATP6	0.019059
NDUFA6	0.018855
GOT1L1	0.018834
VIM	0.018756
MEGF9	0.018744
C9orf40	-0.018696
CRYAB	0.018693
VWA5A	0.018689
IDH3G	0.018660
GNG10	-0.018632
SLC12A2	0.018561
LYPLA2	0.018478
CEBPB	0.018478
DBNDD2	-0.018461
KIAA0101	-0.018424
RSPH1	-0.018346
RPL35	-0.018291
SPC25	-0.018282
RANBP1	-0.018240
MAF1	0.018217
RNF130	0.018179
ERGIC1	-0.018095
RAB32	-0.018090
PPP1R3C	-0.018049
CBFB	-0.017948
HSPB1	0.017933
FEN1	-0.017864
SRSF2	-0.017749
EIF5	0.017727
