!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Mus musculus
!cell	Astrocytes
!perturbation	Dexamethasone
!disease	4 hr
!end_metadata
SGK1	0.314630
KLF9	0.283426
GADD45G	0.274686
FAM107A	0.210222
SLC25A33	0.165952
ERRFI1	0.142160
CTGF	0.136053
PDK4	0.124847
PIM3	0.122665
TXNIP	0.121056
NEDD9	0.106594
FKBP5	0.106354
DLK1	0.105313
MFSD2A	0.102093
RHOB	0.099874
TSC22D3	0.098218
CHST2	0.097242
IDH2	0.087975
HEY1	-0.079632
ALDOC	0.077149
FTH1	0.074709
MBNL2	0.073435
F2R	0.073391
SAP30	0.070499
RHOU	0.068985
DDIT4	0.068615
COL4A1	0.067456
SLC39A12	0.067236
KCNK1	0.067000
PTTG1IP	0.066893
TIMP3	0.065066
SESN1	0.064077
EMP1	-0.064023
ANXA3	-0.063859
CYP1B1	-0.063611
SLC38A2	0.061794
LXN	-0.061481
LGALS1	-0.061194
SPSB1	0.061051
SOX9	-0.060062
CSRNP1	0.059725
DBP	-0.059422
TAPT1	0.058571
PLEKHA2	0.058469
DDIT4L	-0.058407
PPAP2B	0.058398
ZFP36L1	-0.057904
HSPH1	0.057898
PMP22	0.056109
GRINA	0.055840
CDKN1A	0.055417
NUAK1	0.054692
LCN2	0.053731
RALBP1	0.053564
LBH	-0.053251
CEBPB	0.052252
ATP6	-0.051422
GAS6	0.051325
CYB5B	-0.051078
FHDC1	-0.050702
PRNP	0.050322
C2orf40	-0.049262
TUBA1B	-0.048947
RPL36AL	-0.048711
TMEM184B	-0.048030
SCHIP1	-0.047450
CCND1	-0.046921
SERTM1	-0.046828
FAM129B	0.046434
AMPD3	0.046317
ATP6V0E1	0.046011
ANXA2	-0.044317
RPS12	-0.043903
VASN	0.043627
MERTK	0.043384
CAV1	-0.042602
CORO1C	0.042046
PNPLA2	0.042026
LGALS3	-0.041249
HERC2	0.040913
PIP4K2A	-0.040740
CSRP2	0.040480
GAB1	-0.040305
CST3	-0.040200
DUSP1	0.040111
TFCP2L1	0.039825
GJB6	0.039560
TUBB6	-0.039231
NACC2	-0.039101
PKIA	-0.039083
DIRAS2	-0.038675
NPVF	-0.038188
SEPT8	0.037807
FAM178A	0.037289
RPL9	-0.037244
UACA	-0.037132
MYL9	-0.037100
BCAT1	0.036920
TAGLN2	-0.036714
DHRS1	0.036549
MID1IP1	-0.036474
PER1	0.036290
SSFA2	0.035905
ATP6V1E1	0.035775
ND4	-0.035771
HSD17B4	0.035401
RAB29	-0.035360
VCL	-0.035289
DDAH1	-0.035184
CLDN2	0.034762
LASP1	-0.034692
TIMP2	0.034691
HSPB8	0.034261
EXT1	-0.034203
RPS29	-0.034201
WNT7A	-0.034184
CD81	0.034160
PURB	-0.034138
SERPINF1	-0.034115
MTHFD2	0.034045
RGS17	0.033812
NUAK2	0.033812
TRIM8	-0.033698
ASB8	0.033584
PLEKHG2	-0.033467
RPS11	-0.033425
RPS14	0.033138
CDV3	-0.033105
CCDC3	0.033037
BCL6	0.032912
PDGFA	-0.032594
PXDC1	0.032358
ARL8A	-0.032352
IFITM3	-0.032314
SLC1A3	0.032247
OGN	0.032143
PLIN4	0.032049
DHX32	-0.031964
SUMO2	0.031934
KLF13	0.031922
SLC2A1	0.031889
GFAP	0.031686
COL4A2	0.031592
NGFRAP1	-0.031552
TP53INP1	0.031242
CD164	0.031155
IGFBP3	0.031087
PPP2CA	-0.030974
FAM102A	-0.030898
LMO4	-0.030643
CTNNBIP1	-0.030532
NFKBIA	0.029826
ANKH	-0.029796
KCTD5	0.029587
ACSL3	0.029543
RANBP9	0.029472
TOMM7	-0.029380
CTNNAL1	-0.029031
HBEGF	-0.028871
PCBP4	-0.028720
PDLIM4	-0.028679
RPL27	-0.028613
ZFP36	0.028591
NUDT4	0.028476
CTPS1	0.028410
PCGF5	-0.028348
ZFYVE21	0.028272
