!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Mus musculus
!cell	Astrocytes
!perturbation	Dexamethasone
!disease	1 hr
!end_metadata
CTGF	0.253460
CYTB	0.251159
SGK1	0.225231
EGR1	0.180735
GADD45G	0.159950
RPS12	-0.155676
CSRNP1	0.151912
KLF9	0.140903
PPIA	0.132601
ERRFI1	0.126361
SLC1A3	-0.120216
CPE	-0.119839
RPS4Y1	-0.113760
RPS14	0.103945
RPL35	-0.101841
TXNIP	0.100892
GNAI2	-0.099764
CD9	0.096971
MRPS6	-0.091276
RPL26	0.089187
RPS25	0.088811
NEDD9	0.086325
ND4	-0.085707
RPS2	0.084323
NDUFA4	0.082141
GFAP	-0.080293
FTH1	0.079719
TTR	0.078916
COX4I1	0.078009
TUBA1B	-0.074467
HIGD2A	-0.073494
PRNP	0.072321
PPP2CA	-0.072045
RPS21	0.071344
RAB2A	-0.070479
IGFBP2	-0.069248
RPL18A	0.066947
OAT	0.066422
RPS29	0.066389
GPX1	0.065537
ARL8A	0.065069
RPL27	0.064857
RNF187	-0.064690
SPOP	0.063771
PIM3	0.063214
PDPN	-0.062124
FSCN1	-0.061174
TUBB6	-0.060675
RPS6	0.058310
ZYX	0.057729
FTL	0.056071
RAB31	0.055250
ODC1	-0.055229
ATP1A1	0.055017
RPS10	0.054823
RPS26	-0.053947
ATP6V0E1	0.053825
MAPRE1	-0.052796
ACTA2	-0.052282
PER1	0.051740
CSRP1	-0.051330
PARK7	0.051130
SNRPD2	0.050761
APOE	0.050456
RPS11	0.049770
GAPDH	-0.049110
PRKACB	-0.049006
BTF3	0.048927
MRPL28	0.048403
ANXA3	-0.047815
TUBB4B	-0.047501
NUAK2	0.047471
GABARAP	-0.047323
TAGLN2	-0.046088
KCNE1L	-0.045689
FAM107A	0.045213
WBP5	0.044942
NDUFA7	0.044511
TMBIM6	0.044394
MFSD2A	0.043830
CHCHD10	0.043227
PURB	-0.043154
GRINA	0.043082
CCND2	-0.043060
COTL1	-0.043025
FADS1	-0.042703
RPLP2	-0.042445
IFITM3	-0.041730
UBL5	0.041694
SAP30	0.041478
F2R	-0.041269
TSPAN7	0.040617
PHPT1	-0.040389
UQCRHL	0.040356
DAZAP2	-0.040318
SEC61G	-0.040148
EMP1	-0.039501
SOX9	-0.039118
CD81	0.039091
RPL39	0.039024
HEY1	-0.038859
PKIA	-0.038469
PSMD1	-0.038130
TMEM176B	-0.037783
SLC9A3R1	-0.037706
ASS1	-0.037695
DUSP1	-0.037473
NFKBIA	0.036814
IER3	-0.036805
NPM1	-0.036725
RSPH1	0.036645
LMO4	-0.036424
MAF1	0.036088
VASN	0.035869
PHLDA1	-0.035760
YWHAB	-0.035734
DBP	0.035614
SHFM1	0.035136
HSPB8	0.034768
AGRN	-0.034616
TAX1BP1	-0.034428
TMEM184B	-0.034106
RPS3	0.034105
COX6B1	0.033961
DSTN	-0.033839
ATP1B1	0.033800
HIST1H1C	-0.033742
RPS8	-0.033628
SOCS3	-0.033609
RPS9	0.033362
HSPB6	-0.033046
CKB	-0.032959
HIST1H2BL	0.032947
SLC38A2	0.032790
HIST1H2BG	0.032747
LGALS1	-0.032701
FKBP9	0.032615
CCND1	-0.032313
MSMO1	-0.032222
SERINC1	-0.032191
NACC2	-0.031983
VIMP	-0.031848
LDHA	-0.031746
RPN2	-0.031684
FXYD6	-0.031542
ANXA5	0.031471
HMGN1	-0.031416
CYR61	-0.031085
ZNF131	-0.031023
TST	-0.030857
GLRX5	-0.030831
LBH	-0.030721
ECH1	0.030591
NDUFA8	0.030516
CLIC4	-0.030387
C3	-0.030276
COX6A1	0.030249
METRN	-0.030151
TALDO1	0.030013
TBCEL	0.029996
ATP5J2	0.029460
COL4A1	-0.029168
NUAK1	0.029103
RPS24	-0.029102
PDAP1	-0.029096
SUDS3	0.029032
MCEE	0.028948
SLC25A18	-0.028909
GINM1	-0.028763
PON2	-0.028688
SEPT11	-0.028625
POMP	0.028473
ZNF362	-0.028276
PSMA5	-0.028216
DHRS1	0.028094
ZFP36	0.027964
ITGB5	0.027817
H2AFZ	0.027767
PTPLAD1	-0.027712
RASL11B	0.027483
IFT43	0.027422
C18orf32	-0.027300
RPL3	-0.027241
PCBP4	0.027215
LYZ	0.027067
ADIPOR1	-0.026981
NDUFA1	-0.026896
SEPW1	-0.026774
ATP1B3	-0.026735
VDAC1	0.026691
CCT8	0.026537
LRP10	0.026395
CD63	-0.026378
CH25H	-0.026256
SPSB1	0.026141
CTNNA1	0.026052
ZWINT	-0.026040
MAGEE1	-0.026009
DYNLRB1	-0.025904
PSMA4	-0.025850
HSPH1	0.025763
CST3	0.025711
NCAN	0.025627
BAG1	0.025577
PPIB	0.025372
DLK1	-0.025090
DDX17	0.025072
DDX39B	0.025022
MLF2	-0.024853
YBX1	-0.024787
RHOB	0.024760
KIAA1033	-0.024738
MRPL42	0.024655
CRYAB	0.024591
HSP90B1	-0.024569
RPL31	0.024512
MPP6	-0.024498
TMEM234	-0.024471
PSMA2	-0.024362
ACLY	-0.024348
THYN1	-0.024215
OSBPL9	0.024117
EIF4H	0.024050
CCT6A	-0.023971
WDR6	-0.023971
FAM171B	-0.023904
UQCRC2	0.023583
SRSF2	-0.023544
RPL27A	0.023453
TOMM6	-0.023423
YWHAH	-0.023421
RTCB	-0.023383
TBCA	-0.023345
ID3	0.023054
WDR1	-0.022986
FHDC1	-0.022943
PSAP	0.022941
ATP5C1	-0.022847
SPTSSA	0.022787
ETF1	0.022579
ATXN2	-0.022554
IER5L	-0.022431
PSME3	-0.022358
UBE2L3	-0.022349
DPYSL2	0.022347
PDK4	0.022307
FHL1	0.022273
EEF1A1	0.022239
LSM14A	-0.022141
NFKBIZ	0.022130
GPC1	0.022127
ERGIC1	-0.022106
RPS19	-0.022076
TSPAN3	0.022065
COPB2	0.022030
MRPS34	0.022003
TSC22D3	0.021985
RASL11A	0.021941
EPHX1	-0.021875
GNB2	-0.021870
SS18L2	0.021839
ATP6	0.021839
RAP1B	-0.021832
TMEM55A	-0.021812
PSD2	0.021778
TMEM106C	-0.021773
SMIM14	0.021767
ATP6V1D	-0.021675
RPL12	0.021674
ATP1B2	-0.021668
NDUFA2	0.021667
COMT	-0.021637
ANAPC16	-0.021519
ERP29	-0.021487
ARL1	-0.021453
HES1	-0.021400
PPAP2B	0.021398
ARPC3	0.021361
SLC39A12	0.021352
RAB29	0.021204
HNRNPC	-0.021188
MATR3	-0.021186
PEA15	-0.021054
ATP6V1E1	0.021024
SLC25A33	0.020954
RPL7A	0.020927
RRAS	-0.020809
RPS27L	-0.020675
C11orf73	0.020629
NFE2L1	-0.020617
MLLT4	-0.020602
SESN1	0.020577
FNTA	-0.020573
ID1	0.020440
PSAT1	-0.020337
DDIT4	0.020227
RIIAD1	0.020209
FSTL1	0.020125
GGNBP2	-0.019991
VIM	-0.019964
FUBP3	0.019920
C19orf43	0.019898
SEP15	0.019779
TCP1	-0.019779
IFITM2	0.019692
