!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Mus musculus
!cell	Murine 3T3L1 adipocytes
!perturbation	Dexamethasone
!disease	20nM - 2 hr
!end_metadata
ERRFI1	0.143612
SERPINE1	0.114356
CXCL6	-0.109188
MERTK	0.094874
SETDB2	0.094099
GADD45G	0.090450
G0S2	-0.088443
MAP7D2	0.082796
C8orf4	0.081446
SMIM3	0.080006
GADD45A	-0.078799
TIPARP	0.078045
CEBPD	0.077778
CPEB2	0.077198
DUSP14	0.076903
RPRML	0.076579
FAM107A	0.075823
DUSP1	0.075456
CCDC71L	0.075196
MBD1	0.074800
SGK1	0.074168
SLC45A3	0.072939
SYBU	0.072585
BDNF	0.072514
HP	0.072011
SYDE2	0.071318
C19orf80	-0.070501
ANKRD9	0.070279
ADAMTS15	0.069207
ZFP36	0.069011
FAM43A	-0.068704
FKBP5	0.068506
PDK4	0.068029
DOK1	0.067590
B3GALT2	-0.067505
RANBP9	0.066813
PLCXD2	0.066267
ARRDC3	0.066230
MC5R	0.066134
BHLHE40	-0.065919
CYR61	0.064812
GPER1	-0.064563
CPM	0.064169
SMAD6	-0.063659
RHOB	0.063584
MAP3K6	0.061753
TEAD4	0.061697
NFIL3	0.060472
NET1	0.059883
APBB3	0.059772
CDKN1A	0.059710
DUSP4	-0.058544
CCNJ	0.057858
LRRC8A	0.057293
SERTAD4	-0.056754
HCAR1	-0.055728
PHLDA1	0.055650
IL15RA	0.055628
MTHFD2	0.055562
IRF1	-0.055267
CDK5RAP1	0.054156
NFKBIA	0.053660
FAM214A	0.052644
AMPD3	0.052586
SLC25A33	0.052039
FAM129B	0.051406
RRP8	0.051289
ZBTB16	0.051179
TMCC3	-0.051172
IRS1	-0.051153
AQP5	-0.050388
UBE2G2	0.050308
PDP1	0.050303
PPARGC1A	-0.050184
KLF10	-0.049754
HEXIM1	-0.049529
FAM134B	0.049423
CDC42EP2	-0.048882
SLC40A1	-0.048548
PKDCC	0.047816
PER1	0.047433
ANKRD37	-0.047344
CXXC5	-0.047336
TSC22D3	0.047210
KIAA0355	0.047200
IP6K2	0.047091
ZNFX1	0.046459
RIN2	0.046450
IL6R	0.046386
NFKBIZ	0.046329
RGCC	0.046016
LCN2	0.045602
ID3	-0.045255
HES1	-0.044980
SNAI2	0.044780
SLC35E4	0.044480
RNF144B	0.044305
GLUL	0.044104
NABP1	-0.043495
KITLG	0.043471
MPI	0.042925
TMEM87B	0.042773
KATNAL2	0.042433
FST	0.042099
SLC10A6	0.042035
RHOU	0.041902
WASF1	-0.041875
RASD1	-0.041564
IFNGR1	0.041296
EVA1C	0.041260
PPIP5K2	0.041058
FAM72A	0.040779
TLE1	0.039975
DDIT4	0.039808
PLOD2	0.039752
ZNF467	-0.039556
GEM	0.039460
HOXA2	-0.039333
PTGFR	-0.038744
ALDH1A1	0.038737
MRAS	0.038508
SMAD1	0.038261
DUSP18	0.038216
SDC4	0.038133
MED13	0.038099
INHBB	-0.037971
FOXO3	0.037657
OSR1	0.037475
BBC3	-0.037407
SAV1	0.036822
CNKSR3	0.036815
TNFRSF1B	0.036409
DCUN1D3	0.036404
TESK2	0.036217
KIAA0040	0.035989
SSH2	0.035688
C3orf18	-0.035569
MYC	0.035469
TOB2	0.035318
AFF1	0.035159
CDC25B	-0.035089
ERLIN1	0.034981
CXCL2	-0.034946
ZEB2	-0.034525
RGS2	0.034402
CEBPA	-0.034272
CDC42EP3	-0.034269
ARSJ	0.034003
SLC29A3	0.033945
ATG101	0.033788
SOCS2	0.033740
SLC39A14	0.033684
EPHB3	-0.033648
RNF169	0.033601
DTX2	-0.033531
OSGIN2	0.033506
PTGER4	-0.033307
TMEM88B	-0.033241
CBX4	-0.033076
RASL12	-0.033069
PLEKHF1	0.032688
CTGF	0.032516
SCNN1A	0.032510
TUSC5	-0.032500
RASL11B	-0.032060
AMD1	0.031882
IER5L	-0.031787
C2orf69	0.031748
PPP1R3D	-0.031678
FOXRED2	0.031459
SOCS3	-0.031318
DBP	-0.031171
CDC6	-0.030945
PPP1R3B	-0.030942
RNF185	0.030911
FZD2	-0.030781
CHAC1	0.030733
KIAA1551	0.030664
SERPINA3	0.030627
NAPEPLD	0.030553
DUSP10	-0.030539
USP54	0.030412
MYLIP	-0.030373
INSL6	0.030144
ZNF267	-0.030117
FFAR2	-0.030116
ADRB3	-0.030086
RILPL2	-0.029989
HCAR2	-0.029912
SMIM5	0.029799
CYP1B1	0.029738
PCK1	-0.029622
TIGD2	0.029578
FAM117A	-0.029507
CA3	-0.029477
SPHK1	0.029438
HEXIM2	-0.029295
NAB2	-0.029276
DPEP1	0.029157
CCBL1	0.029142
WNK4	0.028974
MAFF	0.028900
SH3BP2	0.028844
LTBP3	-0.028687
FAM110C	0.028576
F3	-0.028567
GHRH	0.028510
ZNF667	-0.028383
MID1IP1	-0.028301
GPT2	0.028265
DDIT3	-0.027943
ENAH	0.027813
FKBPL	-0.027715
JDP2	-0.027616
ANKS1A	0.027507
CYP2E1	0.027486
GDF5	-0.027387
JAG1	-0.027359
DCTN3	0.027062
AJUBA	-0.026975
PCDH18	-0.026945
INAFM1	0.026926
HSPA2	0.026919
DCLRE1B	0.026907
CAMKK1	0.026903
CHIC2	0.026861
PARP16	-0.026702
FAM214B	0.026702
ETS1	0.026682
BCL2L11	-0.026551
SRL	0.026423
KLF7	-0.026413
RALGDS	-0.026363
C9orf72	-0.026286
TWIST2	0.026285
