!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Mus musculus
!cell	Murine 3T3L1 adipocytes
!perturbation	Dexamethasone
!disease	20nM - 24 hr
!end_metadata
LCN2	0.151776
CPM	0.134360
FAM107A	0.124606
CYP2E1	0.104980
ALDH1A1	0.100884
CXCL6	-0.096991
GCK	0.093463
HP	0.085596
DPEP1	0.084861
CCL11	-0.083800
C10orf10	0.081364
HCAR2	-0.070615
MAP7D2	0.070589
ERRFI1	0.070542
PTGDS	0.070142
C8orf4	0.069314
CA3	-0.069244
MERTK	0.068721
MTHFD2	0.068558
FKBP5	0.067833
MAP3K6	0.067613
C19orf80	-0.067176
TRPV1	-0.065679
SGK1	0.064516
DUSP14	0.060311
KITLG	0.060015
SERTAD4	-0.058777
IFIT3	-0.058743
TGFBI	-0.058663
GLUL	0.058262
PMEPA1	-0.057853
NREP	-0.057366
PLEKHF1	0.056828
SEMA3G	-0.056784
DCTN3	0.056626
CCDC71L	0.056495
ADCYAP1R1	0.056359
THBS1	-0.055044
ADRB3	-0.055015
FMO2	0.054630
INHBB	-0.053934
FAM214A	0.052765
TEAD4	0.052296
IGF1	-0.051588
GPT2	0.051176
SLC7A5	0.050778
LUM	-0.050249
ZFP36	0.050156
AGT	0.049855
CA5B	0.049599
MMP13	-0.049577
CAPS2	-0.049569
ZBTB16	0.049265
HCAR1	-0.049031
FAM129B	0.048685
FMO3	0.048019
SLC10A6	0.047527
FFAR2	-0.046226
ACSM3	0.046151
TUSC5	-0.046137
EGLN3	-0.046047
SLC45A3	0.045541
SLC1A5	0.045424
CYP2B6	0.045282
CABP4	0.045164
IFIT1B	-0.044439
FAM134B	0.044295
COX7A1	-0.044118
RHOU	0.043621
SYN2	0.043610
TSC22D3	0.043505
UBD	-0.043483
FMO1	0.042998
TNXB	-0.042971
CDKN1A	0.042371
PER1	0.042101
ACKR3	-0.041341
GPER1	-0.041214
CEBPD	0.041154
MMP8	0.040719
B3GALT2	-0.040213
IFNGR1	0.040142
OSR1	0.040093
MTMR14	0.039988
COL8A1	-0.039895
ABCD2	-0.039863
WNK4	0.039837
GLIS3	-0.039735
PKDCC	0.039667
H2AFX	0.039475
ACSM5	0.039301
SLC40A1	-0.039131
TCN2	0.039100
CA9	-0.039087
OMD	0.038958
FOXRED2	0.038791
PRDX6	0.038721
RHOJ	0.038718
MYL9	-0.038261
GBP6	-0.038195
AQP5	-0.038160
SLC29A3	0.038151
CPA1	-0.038007
UBE2G2	0.037853
CDO1	0.037565
XDH	0.037492
PDGFRB	-0.037334
RASL12	-0.037183
MGP	-0.036813
PLA2G2E	-0.036593
TP53INP1	0.036553
AGPAT9	-0.036330
ANKRD37	-0.036088
PIK3IP1	0.035806
EMILIN1	-0.035759
G0S2	-0.035674
HCLS1	0.035557
NABP1	-0.035393
ABCC4	0.035249
LY6H	-0.035243
LOC81691	0.035127
RBMS2	0.034853
AKAP12	-0.034749
FFAR4	-0.034601
GADD45A	-0.034510
MYO7A	-0.034496
PRKAB2	0.034455
ATL2	0.034318
