!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Mus musculus
!cell	Murine 3T3L1 adipocytes
!perturbation	Dexamethasone
!disease	20nM - 6 days
!end_metadata
CPM	0.120882
FAM107A	0.115902
CYP2E1	0.107440
CCL11	-0.092338
C10orf10	0.089302
LUM	-0.089293
CA3	-0.084029
ALDH1A1	0.078115
CXCL6	-0.076715
C19orf80	-0.072184
TGFBI	-0.069208
PTGDS	0.067950
TM7SF2	-0.066989
CYP2B6	0.065500
MERTK	0.065417
SERTAD4	-0.065020
SEMA3G	-0.064464
ERRFI1	0.063868
FFAR4	-0.063825
COX7A1	-0.063667
FAM134B	0.061739
PLA2G2E	-0.061724
ADRB3	-0.060970
INHBB	-0.060455
ANKRD37	-0.060147
PMEPA1	-0.059388
EGLN3	-0.057109
ITIH4	0.057028
KITLG	0.056934
LRG1	-0.056391
SLC7A5	0.054438
CCDC71L	0.054156
FKBP5	0.053655
HCAR2	-0.053352
MAP7D2	0.052681
MFNG	-0.052428
SGK1	0.052341
GCK	0.051902
CAMP	-0.050885
HP	0.050883
IFIT3	-0.050685
MTHFD2	0.050268
DPEP1	0.049895
MAP3K6	0.049714
TRPV1	-0.049593
FMO3	0.049218
P4HA1	-0.047820
GLUL	0.047467
MMP13	-0.047106
MGP	-0.047064
PLOD2	-0.047054
FMO2	0.046922
RHOU	0.046531
B3GALT2	-0.046154
NOS3	-0.046025
SQLE	-0.045159
TEAD4	0.044540
G0S2	-0.044409
TNXB	-0.043917
LCN2	0.043807
COL3A1	-0.043750
MYO7A	-0.043624
RHOJ	0.043520
ZBTB16	0.043461
FFAR2	-0.043426
MVD	-0.043211
AQP1	0.043046
C9orf152	0.043002
CYP39A1	0.042580
CAPS2	-0.042567
ZFP36	0.042467
OLFML3	-0.042431
DPT	-0.042423
SUCNR1	-0.042383
COL5A2	-0.042002
S100A8	-0.041970
COL1A1	-0.041848
CP	0.041292
PCK1	-0.040942
AQP5	-0.040770
LTC4S	-0.040757
FADS2	-0.040635
THBS1	-0.040463
SLC45A3	0.040288
PLTP	-0.040183
ANGPT4	-0.040182
SLC10A6	0.040132
STARD4	-0.040023
KDELR3	-0.039920
TP53INP1	0.039884
SERPINF1	-0.039762
PEMT	-0.039587
IGF1	-0.039545
SLC40A1	-0.039497
XDH	0.039466
HSD17B7	-0.039265
HCAR1	-0.039134
FAM214A	0.038974
VDR	0.038947
APOE	-0.038890
FMOD	-0.038634
RASL12	-0.038606
NREP	-0.038513
COL8A1	-0.038414
IBSP	0.038409
PLEKHF1	0.038370
CD1D	-0.038269
DHCR7	-0.038261
CRLF1	-0.038240
BCL2L10	-0.038218
TF	-0.038168
FMO1	0.037817
TMEM176A	0.037669
CA5B	0.037207
CABP4	0.037183
LOC81691	0.037180
BHLHE40	-0.037151
ACSM3	0.037104
ADCYAP1R1	0.037047
C8orf4	0.036971
HSD11B1	-0.036915
CPA1	-0.036875
PRKAB2	0.036811
EMILIN1	-0.036755
IGFALS	-0.036740
NEGR1	-0.036736
PTGFR	-0.036732
SEMA3A	-0.036568
TSC22D3	0.036449
AKAP12	-0.036437
GCHFR	-0.036389
ABCC4	0.036372
MFAP4	-0.036243
LAMB3	-0.036040
