!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Homo sapiens
!cell	Osteosarcoma cells (expressing hGRalpha receptor isoform D)
!perturbation	Dexamethasone
!disease	hGRalpha-D - 100nM - 24 hrs
!end_metadata
FAM90A25P	0.093239
FAM90A1	0.091961
SPINK13	0.088945
CILP	0.080967
PNLIP	0.079951
C11orf96	0.066147
S100P	0.066058
CDH16	0.064006
CYTIP	0.062742
GPER1	0.060789
ACTL8	0.060305
KRT5	0.058838
SLN	0.057492
KRT75	-0.056771
SLC7A8	0.055942
SV2B	0.055927
LAD1	0.055499
TGFBI	-0.054652
GPIHBP1	0.051989
SCGB2A1	0.051655
C15orf27	0.051354
KCNN4	-0.050799
AMIGO2	-0.050653
CARD14	0.050008
SOD3	0.049170
KCNA4	0.048254
TPO	0.047789
CD163	0.047528
SLC25A18	0.047138
TIPARP	0.046912
ABCC8	0.046020
FLRT3	0.045901
LOC79160	-0.044083
CNIH3	-0.043700
APOLD1	0.043464
CPA4	-0.043407
KDF1	0.043320
SPINK5	0.043099
FAM198A	0.043017
ALPK2	-0.042764
CCL2	-0.042648
MUM1L1	0.042564
TENM2	-0.042400
DPEP1	0.041857
CA2	0.041637
INSL4	0.041541
PLAU	-0.041522
CRTAC1	0.041499
SCG5	-0.040970
SERPINF1	0.040826
PDK4	0.040799
B3GAT1	0.040365
MISP	-0.040025
KRTAP2-3	-0.039638
CSRP3	-0.039591
PKIB	-0.039483
ATP4A	0.039431
RGS2	0.039247
PTPRR	-0.039112
C5orf66	0.039017
TGFB2	-0.038996
ITPKA	0.038608
NANOG	0.038582
DNER	0.038509
BBOX1	0.038488
SNTG2	0.037773
AQP1	-0.037349
LINC00880	0.037123
ZNF189	0.036929
CLDN1	-0.036916
TMEM204	0.036911
CSF2	-0.036900
NR0B1	0.036795
NKD1	0.036773
GSG1	-0.036491
SMIM3	0.036411
SEMA3A	-0.036045
MYZAP	0.036014
PRB2	0.035829
LRRC4C	-0.035777
NTM	-0.035557
CALB1	0.035542
ATP6V0A1	-0.035507
FETUB	0.035484
CA4	0.035439
TGFB2-OT1	-0.035301
CSF3	0.035297
SOAT2	0.034777
MMP3	-0.034633
BMP5	-0.034550
IL2RB	-0.034512
NLRP3	0.034486
FRK	0.034347
SEMA3C	-0.034245
ANXA10	-0.034207
SLC6A3	0.034159
KCTD12	0.034159
AKR1C3	0.034076
SGK223	-0.034066
HOXD1	0.034054
PTGS1	0.033859
GPRC5A	-0.033831
SEC14L2	0.033689
EMP1	-0.033614
TRIM49	0.033488
KRT17	-0.033348
FHL2	-0.033278
TRIM48	0.033271
PMEPA1	-0.033203
SGK1	0.033107
ZFP36	0.033098
SCGN	0.033093
GCG	0.032627
LAMB3	-0.032592
CRLF1	0.032588
PTH1R	0.032579
ATP12A	0.032555
AGRP	0.032494
DPY19L2P2	-0.032449
DAW1	-0.032350
ARL4C	-0.032287
KRT83	-0.032281
SYT13	0.032273
HSF2BP	-0.032252
PRB1	0.032195
PCBP3	0.032189
HAS2	-0.032126
DPP4	0.031840
CYP4B1	0.031834
ARHGAP9	0.031804
ZNF404	-0.031755
COL15A1	0.031502
CD70	-0.031499
TMEM130	-0.031417
NAV3	-0.031380
MMP7	-0.031350
FAM117A	0.031309
IL7R	-0.031258
OLFML3	0.031151
LOC100287221	-0.031098
CST6	-0.031069
KLF15	0.031062
LIMS3	-0.030929
SYT2	0.030843
HAPLN1	-0.030836
KCNJ15	-0.030832
IL18RAP	0.030803
APOD	0.030764
TRG-AS1	0.030731
WFDC11	0.030724
NLRP5	0.030688
LRP4	0.030515
IGFBP1	0.030444
FGF1	-0.030350
PIP5K1B	0.030345
CPM	0.030298
BATF	0.030273
TSC22D3	0.030211
ENC1	-0.030200
NUDT16	0.030135
TEX11	0.030124
SCRG1	0.030071
CEBPD	0.030069
LOC100507053	0.030050
LIMA1	-0.030015
DNASE1L3	0.029965
TUNAR	0.029945
GPR56	-0.029945
NPPC	0.029915
IRF8	0.029862
SLPI	0.029833
MRVI1	0.029666
SALL4	-0.029594
NEGR1	-0.029347
TNFAIP6	-0.029338
ADORA2B	-0.029337
STX11	0.029330
MYLK	-0.029243
SFTA1P	-0.029224
TMC5	-0.029176
ERV9-1	0.029154
NOX4	-0.029098
MYEOV	-0.028986
SLC35F3	-0.028877
FLJ38379	0.028862
TM4SF18	-0.028832
KRT80	-0.028745
NTF3	0.028729
TXNRD2	-0.028702
ITIH3	0.028430
ANKRD30B	-0.028376
GSTM3	0.028332
CDH15	0.028315
PDYN	0.028238
LOC100128035	-0.028207
PLAT	0.028127
MMP10	0.028114
CYP24A1	-0.028080
GRASP	0.028077
PENK	0.028059
TDRD9	0.027930
FRMD5	-0.027925
CTHRC1	-0.027823
LINC01111	-0.027700
LRRC56	0.027696
F13A1	-0.027688
TRGV7	0.027669
FAM213A	0.027522
KCNH2	0.027416
SGSM1	0.027408
NAT1	0.027364
LOC101926940	-0.027345
COL8A1	-0.027333
AKR1C1	0.027307
FAM105A	0.027303
HSD3B1	0.027298
CCL3	-0.027289
CALCRL	0.027253
IYD	0.027218
FAM104A	0.027208
C4orf26	-0.027182
SEMA3E	-0.027029
RASSF4	0.026888
KRT81	-0.026848
HHIP	-0.026703
TMEM45A	-0.026606
CA9	0.026578
C3orf70	0.026541
LPXN	-0.026512
HEY1	0.026507
CCL26	-0.026482
EGFLAM	0.026409
SLC38A4	0.026402
TNNC1	-0.026322
PLAC8	-0.026298
EFCC1	0.026289
LOC100507639	0.026263
TMEM154	-0.026258
S1PR1	0.026218
CST9L	0.026111
RAB7B	-0.026012
GZMA	0.025994
EDIL3	-0.025956
RASSF2	0.025943
EPHA5	-0.025898
SLC19A2	0.025880
TF	0.025854
PKD1L2	-0.025841
PODXL	-0.025789
HHAT	-0.025783
MAP3K7CL	-0.025617
TP53BP2	0.025589
F2RL2	-0.025588
GSTM1	0.025527
AXL	-0.025514
DNM3	-0.025497
TKTL1	0.025487
CYTL1	-0.025441
PCSK5	0.025425
PTPRJ	0.025347
SERTAD4	-0.025303
ANXA8L1	-0.025270
MYO10	-0.025241
IGSF9	-0.025233
SLCO1B3	-0.025055
INHBA	-0.024925
MSX2P1	0.024884
IL18	-0.024879
FAM20C	0.024859
CNN1	-0.024705
ARHGAP22	0.024693
ADAM12	-0.024652
ART3	0.024615
UBE2QL1	0.024614
OLAH	0.024595
GSC	0.024580
KRT34	-0.024571
PTX3	0.024512
LTB	-0.024443
FGD6	-0.024409
PGF	0.024265
KBTBD11	0.024248
CYP3A4	0.024238
DOK7	0.024232
MYCT1	-0.024210
LINC00689	0.024208
KRT15	-0.024076
SERTAD4-AS1	-0.024029
LINC00589	-0.024026
LIMCH1	-0.023987
ARHGAP28	-0.023928
TNFRSF11B	-0.023810
SHISA2	0.023783
SCN2B	-0.023739
ADAMTS1	-0.023728
BACE2	-0.023613
LGSN	0.023601
EFNA3	0.023589
VLDLR-AS1	-0.023582
SPANXD	-0.023574
HRCT1	-0.023552
DMRT1	-0.023531
TMEM255A	0.023503
HTR1D	-0.023460
TRIM63	0.023425
VEGFC	-0.023384
CDKL5	0.023383
IL1F10	0.023377
CALB2	-0.023355
S1PR4	-0.023340
NSDHL	0.023309
PCLO	-0.023295
CASP1	-0.023271
VDR	0.023270
PHYHD1	0.023211
MT1M	0.023024
KRT33A	-0.023008
