!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Homo sapiens
!cell	Osteosarcoma cells (expressing hGRalpha receptor isoform D)
!perturbation	Dexamethasone
!disease	hGRalpha-D - 100nM - 6 hrs
!end_metadata
FAM90A25P	0.099437
FAM90A1	0.097901
SPINK13	0.083624
CILP	0.076806
KRT5	0.073601
CYTIP	0.073190
CDH16	0.069115
SNTG2	0.065054
GPER1	0.063725
CARD14	0.063092
AMIGO2	-0.058534
FLRT3	0.056147
S100P	0.055754
TGFB2-OT1	-0.053457
GPIHBP1	0.053433
PNLIP	0.052746
CA2	0.052638
NANOG	0.052139
SV2B	0.052044
ATP4A	0.051664
C15orf27	0.051115
LAD1	0.050272
FAM198A	0.050190
B3GAT1	0.049712
FETUB	0.048865
TIPARP	0.048764
SCGB2A1	0.048070
TMEM204	0.047797
ACTL8	0.047649
ABCC8	0.046424
PTGS1	0.045982
KCNA4	0.045622
TPO	0.045081
ARHGAP22	0.044708
LINC00880	0.044420
TGFB2	-0.043695
CCL2	-0.043615
CNGA3	0.043376
SOAT2	0.043241
BBOX1	0.043231
RGS2	0.043082
NTF3	0.043014
C11orf96	0.042757
PTPRR	-0.042618
NAV3	-0.042489
KCNJ15	-0.041890
SLN	0.041601
SGSM1	0.041484
SMIM3	0.041387
ITPKA	0.041260
SYT13	0.041131
FHL2	-0.040678
KDF1	0.040374
TUNAR	0.040369
CLDN1	-0.040329
CSF3	0.040002
CALB1	0.039300
KRTAP2-3	-0.039048
NLRP3	0.039019
PDK4	0.038980
KCNN4	-0.038475
SLC25A18	0.038085
ITIH3	0.037673
ZAP70	0.037606
ZNF189	0.037486
PRR15L	0.037376
TMEM130	-0.037349
LRRC4C	-0.036942
GRASP	0.036913
CA4	0.036511
CNIH3	-0.036293
SLC6A3	0.036257
PTH1R	0.036188
DNASE1L3	0.036178
WFDC11	0.036068
PMEPA1	-0.035818
MYEOV	-0.035548
KCNJ4	0.035123
PLAU	-0.035112
TMC5	-0.034897
CST9L	0.034876
GPRC5A	-0.034704
SGK1	0.034637
EDN3	0.034544
KCNH2	0.034327
MISP	-0.034242
CDH15	0.034212
FLJ38379	0.034073
RASSF4	0.034006
SGK223	-0.033938
NR0B1	0.033778
DOK7	0.033763
ZNF404	-0.033636
VEGFC	-0.033581
ZFP36	0.033326
LOC100128035	-0.033221
TRG-AS1	0.033199
PDE6G	0.033177
KCNIP2	0.032906
SOD3	0.032880
MUM1L1	0.032509
FRMD5	-0.032499
TLR4	-0.032454
C6orf132	0.032345
SEC14L2	0.032318
HSPA6	0.032313
TERT	0.032303
CEBPD	0.032112
PCBP3	0.032087
APOLD1	0.032056
FRK	0.032024
ZBED2	-0.031886
LGSN	0.031555
EFCC1	0.031444
CRTAC1	0.031361
SNN	0.031115
IP6K3	0.031091
EGFLAM	0.030984
SLC25A48	0.030868
FAM83F	0.030792
KIF19	0.030729
MYZAP	0.030714
KLF15	0.030390
ITLN2	0.030224
MSX2P1	0.030146
NXPH1	0.030145
KBTBD11	0.029962
MRVI1	0.029953
UBE2QL1	0.029902
DNAH12	0.029896
CSF2	-0.029774
LOC101927305	0.029751
APOBEC2	0.029730
CPVL	-0.029704
VDR	0.029670
TSC22D3	0.029647
LOC283278	0.029545
TNFAIP6	-0.029531
PGF	0.029438
TNIP3	-0.029412
LPAR5	-0.029313
F2RL2	-0.029313
EPHA5	-0.029301
EID3	-0.029299
CAPN11	0.029289
BATF	0.029248
C2orf80	0.029193
ARHGEF28	-0.029027
TMEM37	0.028933
SCRG1	0.028882
IL1RL1	-0.028861
CTDSPL	0.028757
SHOX	0.028674
KCNG1	0.028666
TXNRD2	-0.028649
BLACAT1	-0.028553
ATP12A	0.028487
PDYN	0.028459
IER3	-0.028356
POU3F2	0.028270
LOC100506557	0.028268
CD163	0.028179
C5orf66	0.028162
ERV9-1	0.028159
WNT4	0.028080
EMP1	-0.028038
SLC9C1	0.027773
NOX4	-0.027686
LOC101926940	-0.027676
DNM3	-0.027627
ID2	0.027557
STARD6	0.027507
CACNA1I	0.027470
NLRP7	0.027429
TIAM2	-0.027396
LOC100507053	0.027391
FAM19A3	0.027368
OLR1	-0.027331
PIWIL1	0.027260
SLC19A2	0.027233
LIMA1	-0.027156
TF	0.026985
LOC100507639	0.026809
C2orf54	0.026799
CCL3	-0.026774
WFDC12	0.026755
PDGFB	-0.026631
TFCP2L1	0.026590
DENND2A	0.026587
COL18A1	0.026544
IL1RAPL1	-0.026492
FLJ32255	-0.026484
SLC7A8	0.026377
DNER	0.026365
DLL1	0.026286
NKD2	0.026235
PENK	0.026225
FGD6	-0.026213
TDRD9	0.026212
CXCL8	-0.026104
EDN2	0.026076
GSC	0.026010
CCL20	-0.025929
ITGA4	-0.025861
IRS1	-0.025781
MSX2	0.025715
THBS2	0.025704
FAM20C	0.025674
GCG	0.025615
PDCD1LG2	-0.025591
ARC	0.025586
ALPK2	-0.025538
C8orf12	0.025511
SHC4	0.025385
PHLDB2	-0.025378
RHOU	0.025319
SLC39A5	-0.025318
IRF8	0.025158
MYO10	-0.025145
RADIL	0.025120
PRB1	0.025060
PPP2R3B	0.024989
SYT16	-0.024975
RNASE11	0.024926
TMEM61	0.024859
IL18RAP	0.024840
PCSK5	0.024814
TXNRD1	-0.024733
SPON1	0.024730
MC3R	-0.024639
TNFRSF11B	-0.024636
LINC00689	0.024613
CA9	0.024480
RPRML	0.024473
IL7R	-0.024467
TMEM154	-0.024455
NAT1	0.024444
TRIM48	0.024431
WDR60	0.024408
ADORA2B	-0.024388
SCGN	0.024363
RGS7	-0.024355
KIR2DS2	0.024345
MYCT1	-0.024329
HOXD1	0.024321
ERBB2IP	-0.024283
TUFT1	-0.024282
CREG2	-0.024280
LHFPL3-AS1	0.024205
TNFRSF1B	0.024202
TKTL1	0.024148
HAS2	-0.024033
AXL	-0.023934
LAMB3	-0.023855
RUNX1-IT1	-0.023846
MARCH4	-0.023838
CCRL2	-0.023803
CRLF1	0.023716
TMPRSS11D	0.023687
HAPLN2	0.023673
C15orf52	-0.023670
ARL14	-0.023646
CRYGC	0.023505
SEPP1	-0.023440
INHBA	-0.023411
EDNRA	0.023386
GPR123	0.023302
SLC2A14	0.023279
MITF	-0.023259
BCL3	-0.023224
PRKCQ	0.023219
DKKL1	-0.023185
LINC01366	-0.023119
KCNS2	0.023090
SHISA2	0.023044
TMPRSS3	-0.023031
LRRC56	0.023031
ADAMTS1	-0.023001
DPY19L2P2	-0.022981
MAP3K15	0.022840
EGR3	0.022838
CLIP4	-0.022837
ATP1A2	-0.022800
DACH1	-0.022738
SLC35F3	-0.022663
CYR61	-0.022662
LRRC2-AS1	0.022632
NLRP5	0.022581
CERS3	0.022509
LOC100289090	-0.022446
HEATR4	-0.022441
PKD1L2	-0.022428
ENC1	-0.022398
C3orf70	0.022395
CYP24A1	-0.022384
TAGAP	0.022324
HRCT1	-0.022276
KRT17P5	0.022270
SAG	0.022270
EVA1A	-0.022253
NKD1	0.022241
SPINK5	0.022215
INSL4	0.022204
MT1M	0.022191
LOC100996455	0.022177
BCR	0.022175
NDRG1	0.022107
C1QL2	0.022094
RHBDL2	-0.022090
KRT80	-0.022088
CASP16	0.022035
VPREB1	0.022021
LOC100507431	-0.021971
SERPINA10	0.021850
FAM135B	0.021825
PCDH18	-0.021815
FAM110C	0.021814
IRF2BP2	-0.021774
TRPC7	-0.021771
SYT2	0.021735
LINC01350	0.021698
SLC26A9	-0.021674
ADAMTS6	-0.021613
RAB17	0.021576
SERPINF1	0.021547
FCGR3A	0.021538
VASN	-0.021519
TMEM100	0.021504
SOST	0.021497
SEMA3E	-0.021475
NPPC	0.021437
ITGA2	-0.021421
PLEKHA6	0.021354
SLC51B	0.021348
ADRA2C	0.021278
GALR2	-0.021271
FAM46A	0.021266
MIR100HG	-0.021242
UNC79	0.021206
PRICKLE2	0.021186
MEIOB	-0.021176
USP27X	0.021172
ARL4C	-0.021154
EVI2A	-0.021146
RPS6KA2	0.021138
TRIML2	-0.021110
NUDT16	0.021088
CD70	-0.021081
TMEM139	-0.021075
SEMA3A	-0.021066
PTPRJ	0.021009
ANKRD1	-0.020999
RGN	-0.020967
CPM	0.020962
LFNG	-0.020955
PLLP	-0.020863
SLC19A3	0.020856
KCTD12	0.020845
C4orf36	-0.020840
FAM26E	-0.020832
CPZ	-0.020819
SEMG2	0.020788
PLEKHG3	-0.020761
ENPP2	-0.020757
EREG	-0.020756
MAGEB4	0.020744
IL12A	-0.020712
B3GAT2	0.020661
TIE1	0.020620
ADAMTS12	-0.020608
FRMD6	-0.020605
HBM	0.020568
SLC9A2	0.020543
RASSF2	0.020542
GPR39	-0.020532
CYP4B1	0.020510
ARHGAP28	-0.020501
IGSF9	-0.020490
VMP1	-0.020482
LOC284454	-0.020466
RBM47	0.020461
AKAP5	-0.020441
OR5I1	0.020433
NOG	-0.020405
PSG5	-0.020383
TIGD3	0.020370
KDR	0.020355
PEG10	-0.020294
LOC401052	-0.020280
MSX1	0.020278
FAM49A	0.020228
S1PR1	0.020219
F2R	-0.020186
FAM117A	0.020179
GRM2	0.020174
HHATL	0.020139
TRPC5OS	0.020130
ENDOD1	0.020048
PLAT	0.020044
THBD	0.020023
TRBV3-1	0.019984
CBX3P2	-0.019984
MMP3	-0.019972
TNAP	0.019966
LOC619427	-0.019956
LPHN2	-0.019951
MIR181A2HG	-0.019942
CDKL5	0.019917
SPINK4	0.019914
CASR	0.019908
KIAA0754	-0.019899
RIMBP2	0.019872
HTR1D	-0.019844
LOC284561	-0.019841
PIP5K1B	0.019828
FAM104A	0.019826
AKR1C3	0.019808
F3	0.019797
SPACA1	-0.019791
C21orf88	-0.019745
HNF1A-AS1	-0.019741
DIP2C	0.019735
NBPF18P	-0.019671
COL15A1	0.019662
NPHS2	-0.019657
LKAAEAR1	0.019614
RNF165	-0.019610
GDPD4	0.019598
TMEM114	0.019598
CX3CR1	0.019577
G0S2	-0.019565
TRIM49	0.019546
KRT6A	0.019509
GLI1	-0.019475
CPA4	-0.019475
IL18	-0.019434
GPR65	-0.019342
ALOX12P2	-0.019341
NYAP2	-0.019329
CLMN	0.019316
TNFRSF10C	0.019290
ASB9	0.019276
ID3	-0.019274
SSR4P1	0.019241
ABCD1	0.019230
OR1S2	-0.019216
PLB1	0.019184
PCDHAC2	-0.019154
PDGFRB	0.019129
AMZ1	0.019096
TEX15	0.019089
TTC9	0.019075
MATN2	-0.019063
LINC00965	0.019045
PLD1	-0.019043
IL2RG	-0.019039
ACTRT2	-0.019035
KBTBD12	0.019005
GLT1D1	0.019005
CDH1	-0.018995
OCLN	-0.018986
BAIAP2	0.018971
TCEB3B	0.018932
CHML	-0.018929
HSD17B2	0.018928
CRISPLD2	0.018928
NSDHL	0.018923
HBB	-0.018920
TP53BP2	0.018912
MXRA8	-0.018911
IGFBP1	0.018908
MBLAC2	-0.018894
ADARB1	0.018868
CEACAM4	-0.018867
LY6G5B	-0.018861
PIWIL4	0.018821
DNMBP	-0.018814
CDHR5	-0.018809
CD274	-0.018796
MYT1	0.018785
VWC2L	0.018782
SEMA3C	-0.018779
LOC643733	-0.018770
ARRB1	0.018766
IL11	-0.018762
HAND2	0.018748
LRFN2	-0.018731
SERTAD4	-0.018725
CACNA1S	-0.018673
COL8A1	-0.018668
RGAG1	0.018665
CCDC107	0.018653
SMAD7	-0.018631
OR7A17	-0.018622
DAND5	-0.018607
MTHFD2L	-0.018603
KIF25	0.018587
FAM213A	0.018584
WNT5A	0.018557
ALPK3	-0.018554
