!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Homo sapiens
!cell	Osteosarcoma cells (expressing hGRalpha receptor)
!perturbation	Dexamethasone
!disease	hGRalpha - 100nM - 6 hrs
!end_metadata
FAM90A25P	0.093040
FAM90A1	0.089861
HBM	0.080298
ATP4A	0.075308
ACTL8	0.069772
FLJ38379	0.069168
SAG	0.065415
HBZ	0.064115
CALB1	0.062030
NLRP7	0.060205
LINC00689	0.060200
PCBP3	0.057869
ARC	0.057741
LGSN	0.057455
GRASP	0.055934
SNTG2	0.055156
CA4	0.054009
DLL1	0.053032
ABCG5	0.052692
LOC100507639	0.050986
CST9L	0.049972
SPINK13	0.048953
WFDC11	0.048787
KCNA4	0.048310
KDF1	0.048127
VIT	0.047049
FLRT3	0.046718
FAM83F	0.046521
CA2	0.046303
CHST15	0.046003
CYTIP	0.045960
RGS2	0.045675
S100P	0.045116
GPRIN2	0.044503
SYT13	0.044176
SHOX	0.043856
GPER1	0.043649
AMIGO2	-0.042401
KIF25	0.042397
SLC6A3	0.042144
GZMA	0.041517
KBTBD11	0.041302
FAM198A	0.041117
RADIL	0.040632
TRIM49	0.039899
KCTD4	-0.039827
LPL	0.039375
FRK	0.039260
SNAI1	0.039076
GLT1D1	0.038989
TERT	0.038821
FTCD	0.038244
CHRDL2	0.037930
ITIH3	0.037690
TGFB2-OT1	-0.037608
EDNRA	0.037557
CX3CR1	0.037243
CARD14	0.037037
AGT	0.036891
SCGB2A1	0.036739
ZAP70	0.036569
UMODL1	0.036444
THBS2	0.036256
SOAT2	0.036212
IGKV1D-13	0.036071
CYP2C9	0.036022
FRG2	0.035729
DNM3	-0.035629
FHL2	-0.035372
PTPRR	-0.035183
CSF3	0.035121
CHST8	0.035020
CLCN2	0.034963
LINC00965	0.034957
C8G	0.034914
NANOG	0.034755
FHDC1	0.034729
ABCC8	0.034712
NEB	0.034631
KRT72	0.034493
TLR4	-0.034323
SHC4	0.034318
HSD11B2	0.034089
TG	0.033963
HOXD1	0.033835
COL18A1	0.033735
C7orf57	0.033711
MYT1	0.033072
CASR	0.032900
RNF43	-0.032875
BAI1	0.032767
VDR	0.032585
MIG7	-0.032488
TMEM204	0.032275
GLI1	-0.032137
ARHGAP22	0.032051
CAPN8	0.032045
KCNJ15	-0.032038
RAB7B	-0.031938
LINC00880	0.031891
PHACTR3	0.031890
ECHDC2	0.031884
HAS2	-0.031782
SGSM1	0.031761
PPP2R3B	0.031587
