!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Homo sapiens
!cell	Osteosarcoma cells (expressing hGRalpha receptor isoform A)
!perturbation	Dexamethasone
!disease	hGRalpha-A - 100nM - 12 hrs
!end_metadata
FAM90A25P	0.093423
FAM90A1	0.091482
ACTL8	0.072812
HBM	0.066958
CST9L	0.064075
SAG	0.063605
HBZ	0.062907
FLJ38379	0.058842
S100P	0.058648
PCBP3	0.056450
LINC00689	0.055519
ATP4A	0.054333
WFDC11	0.054288
RGS2	0.052643
CA4	0.052138
KDF1	0.052077
SPINK13	0.051970
CA2	0.050357
LRRC56	0.050284
KCNA4	0.050144
CALB1	0.049818
SNTG2	0.049763
SLC6A3	0.048827
NANOG	0.047783
FLRT3	0.046599
CSF3	0.046257
LGSN	0.045848
NLRP7	0.045766
C11orf96	0.045563
FAM83F	0.045469
CRYBA2	0.044432
CYTIP	0.044409
PNLIP	0.043936
CARD14	0.043416
GRASP	0.043357
NR0B1	0.043041
ABCG5	0.042925
ZAP70	0.042817
FRG2	0.042051
FRK	0.041956
DLL1	0.041873
SCGB2A1	0.041183
HOXD1	0.041157
SOAT2	0.040522
CDH16	0.040359
GZMA	0.040217
GPER1	0.040200
SCRG1	0.040128
ABCC8	0.039602
NXPH1	0.039425
ARC	0.038707
PTPRR	-0.038391
CCL2	-0.038301
ADM	0.038032
CRTAC1	0.038021
RUNX3	0.037801
CHRDL2	0.037238
FTCD	0.036859
SGK1	0.036721
CASR	0.036678
CILP	0.036604
CLDN1	-0.035973
SNAI1	0.035958
HLA-DPB1	0.035902
C8G	0.035487
CA9	0.035424
PTGS1	0.035066
TEX11	0.034987
ERV9-1	0.034887
THBS2	0.034847
FHL2	-0.034846
TGFB2-OT1	-0.034730
LPL	0.034707
PKIB	-0.034217
PCDH8	0.034192
CD163	0.033993
TRIM49	0.033943
LINC00880	0.033844
PDK4	0.033701
AGT	0.033680
SWT1	0.033623
TIPARP	0.033417
NTF3	0.033240
MISP	-0.033134
TMEM130	-0.032894
LOC642620	0.032841
LOC100507639	0.032746
SYT13	0.032550
CAPN8	0.032371
SHOX	0.032257
FAM135B	0.032168
MYH7	0.031968
EGFLAM	0.031937
NEB	0.031882
TERT	0.031824
PPEF1	0.031794
LOC100507022	0.031783
NPPC	0.031527
HSPA6	0.031512
CEBPD	0.031243
B3GAT1	0.031145
S1PR1	0.030976
RADIL	0.030916
C15orf27	0.030843
COL18A1	0.030751
GPRIN2	0.030598
GPRC5A	-0.030585
RASD1	0.030547
TRIM48	0.030530
DNASE1L3	0.030416
LIMS3	-0.030281
CEACAM4	0.030086
VDR	0.030085
