!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Homo sapiens
!cell	Osteosarcoma cells (expressing hGRalpha receptor isoform B)
!perturbation	Dexamethasone
!disease	hGRalpha-B - 100nM - 24 hrs
!end_metadata
FAM90A25P	0.104058
FAM90A1	0.099349
PNLIP	0.084258
SPINK13	0.084159
S100P	0.076874
ACTL8	0.069201
CDH16	0.063209
KCNA4	0.058630
CD163	0.058585
CYTIP	0.057542
FLRT3	0.056323
PCBP3	0.055776
FLJ38379	0.055512
CILP	0.053486
SCRG1	0.053421
TEX11	0.053332
SAG	0.051942
C11orf96	0.051561
SNTG2	0.051219
SOAT2	0.050545
ATP4A	0.050122
CA4	0.048273
SOD3	0.048003
PDK4	0.047679
LAD1	0.047349
WFDC11	0.047119
C15orf27	0.046947
RGS2	0.045888
TIPARP	0.045652
C5orf66	0.045638
SV2B	0.045237
KDF1	0.045119
SYT13	0.045064
NR0B1	0.044854
CST9L	0.044568
LINC00689	0.044044
APOBEC2	0.043637
INSL4	0.043619
CRTAC1	0.043572
TPO	0.042795
SLN	0.042634
TGFBI	-0.042560
PTGS1	0.042249
MUM1L1	0.041726
CEBPD	0.041603
CARD14	0.041339
SLC25A18	0.040975
PPEF1	0.040287
ABCC8	0.040192
GUCY2F	0.040173
SLC6A3	0.040088
LOC642620	0.040085
LINC00880	0.039992
TMEM100	0.039883
DNER	0.039535
SPINK5	0.039440
HOXD1	0.039239
SMIM3	0.038632
NLRP5	0.038551
SGK1	0.038508
GZMA	0.038249
RASD1	0.038213
KRT5	0.037169
TDRD9	0.037155
NANOG	0.037113
CSF3	0.036850
CA9	0.036819
IL18RAP	0.036803
PENK	0.036788
SWT1	0.036724
FAM213A	0.036340
TRIM49	0.036174
ZNF189	0.035904
SLC7A8	0.035782
NKD1	0.035453
PLAU	-0.035386
CASR	0.035325
MYH13	0.035203
TRIM48	0.034963
OLFML3	0.034681
CA2	0.034491
PCSK5	0.034450
AKR1C3	0.034413
S1PR1	0.033752
LOC79160	-0.033710
FAM198A	0.033696
TF	0.033587
HLA-DPB1	0.033563
FRK	0.033508
HSD17B2	0.033338
CALB1	0.032904
LOC100507639	0.032703
HBM	0.032606
MISP	-0.032591
ZAP70	0.032568
PTX3	0.032538
RYR3	0.032533
PKIB	-0.032404
ART3	0.032241
TRIM63	0.032147
GPER1	0.031869
IGSF10	0.031865
GRASP	0.031724
PLCB4	0.031702
CRISPLD2	0.031682
GREB1	0.031643
FAM105A	0.031360
GSTM3	0.031356
ENC1	-0.031344
CLCA4	0.031342
ABCA8	0.031260
TUBA3FP	0.031234
TUBA3D	0.031212
MAP1LC3C	-0.031205
ATP6V0A1	-0.031119
ARHGAP9	0.031044
SCGB2A1	0.030942
EGFLAM	0.030858
LOC100507053	0.030761
TSC22D3	0.030726
SCGN	0.030688
BTLA	0.030659
OVGP1	0.030500
HEXDC	0.030429
FAM83F	0.030412
PEX2	0.030377
NLRP3	0.030342
NET1	0.030088
CYP3A4	0.029939
DNASE1L3	0.029924
LGSN	0.029917
TKTL1	0.029857
FAM117A	0.029777
CST6	-0.029756
SLC26A9	0.029698
AKAP4	0.029690
CNIH3	-0.029689
OLAH	0.029567
MUC3B	-0.029501
CPM	0.029356
KRT75	-0.029351
SNAI1	0.029285
F11	0.029270
SYT2	0.029221
ABCA6	0.029174
CADPS	0.029117
IYD	0.029058
FHL2	-0.028854
DPP4	0.028786
ARSE	0.028783
TRGV7	0.028759
OR7E91P	0.028718
ZFP36	0.028718
KRTAP2-3	-0.028706
LINC00965	0.028641
SLC19A2	0.028639
NFKBIA	0.028618
SGSM1	0.028605
ADAMTS8	0.028562
CCNB3	0.028506
RNF43	-0.028485
LPL	0.028482
CPT1A	0.028427
AGT	0.028394
TRG-AS1	0.028362
NAT1	0.028353
NLRP8	0.028307
LIMS3	-0.027960
MRVI1	0.027947
MYH7	0.027913
RAD51C	0.027895
NLRP7	0.027892
CHRDL2	0.027881
CSRP3	-0.027879
OR7E5P	0.027825
HEY1	0.027793
RAB7B	-0.027776
SLC2A14	0.027596
RNASE11	0.027571
ALPK2	-0.027566
PCYOX1L	0.027516
TGFBR3	0.027466
CCL2	-0.027445
IGFBP1	0.027400
FLJ40712	0.027396
C3orf70	0.027379
AMIGO2	-0.027347
SEC14L2	0.027122
ARC	0.027080
KIAA1324	-0.026928
PTPRR	-0.026830
CPA4	-0.026804
AQP1	-0.026793
SALL4	-0.026770
KCTD3	0.026713
NEB	0.026623
ERV9-1	0.026525
NXPH1	0.026489
TMEM130	-0.026455
FAM212B	0.026394
ITIH3	0.026379
ZNF57	0.026343
GPR56	-0.026245
IRF8	0.026230
IL1F10	0.026139
SLITRK3	0.026110
GOLT1A	-0.026108
MAP3K7CL	-0.026017
DAPL1	0.025946
B3GAT1	0.025914
NSDHL	0.025827
BMP5	-0.025817
ALDH1A1	-0.025813
MYEOV	-0.025782
MIR100HG	0.025767
HAS2	-0.025684
CCBE1	-0.025665
VWC2	0.025653
RASSF2	0.025605
MTTP	0.025589
SLAMF8	0.025587
KCNN4	-0.025581
ZBED2	-0.025579
GLYATL2	0.025569
CD70	-0.025569
ARL4C	-0.025545
KCNH2	0.025521
LEPREL1	0.025486
NOTCH4	0.025479
EDNRA	0.025458
SGK223	-0.025456
C8G	0.025423
STK31	0.025368
KLRC4	0.025343
PMEPA1	-0.025200
KLK3	0.025105
HBZ	0.025046
AXL	-0.024983
SMCP	0.024945
ZP2	0.024906
FGF1	-0.024871
ATP1A1	0.024851
KIR2DS2	0.024847
LOC100287221	-0.024838
KCTD4	-0.024804
NTF3	0.024754
OGFRL1	0.024739
MYLK	-0.024738
CDKL5	0.024725
SRGN	0.024706
FAM20C	0.024584
FRMD5	-0.024444
SERTAD4-AS1	-0.024346
MAOB	-0.024304
ARHGAP28	-0.024279
DNAJC12	0.024262
ABCG5	0.024243
KRT80	-0.024203
SYT16	-0.024161
SERTAD4	-0.024147
PTH1R	0.024145
NUDT16	0.024095
CTCFL	0.024038
PIP5K1B	0.023993
UPK1B	0.023991
TMX4	0.023989
TIGD3	0.023984
TMEM204	0.023975
PCDH8	0.023937
PTPRJ	0.023838
AMZ1	0.023834
FAM135B	0.023812
GPIHBP1	0.023811
CACNA1I	0.023778
CHIA	0.023775
SCUBE2	0.023774
SEMA3C	-0.023767
KCNG1	0.023755
GPRC5A	-0.023699
MARCO	-0.023694
LRRC56	0.023640
FABP6	0.023545
DAPP1	0.023524
RGAG1	0.023522
HSPB11	0.023520
EMP1	-0.023443
SLED1	0.023289
EFCC1	0.023277
HSD3B1	0.023273
CEACAM4	0.023262
GSTM1	0.023237
ABCD2	0.023217
APOLD1	0.023195
ITPKC	0.023192
CTGF	0.023105
ATP1A3	0.023087
BIRC3	0.023051
ABCC3	-0.023012
SCG5	-0.022977
TENM2	-0.022971
ITPKA	0.022962
SERPINF2	0.022960
GPR83	0.022954
TMEM255A	0.022953
TGFB2	-0.022949
TSPYL2	0.022942
SFTA1P	-0.022930
SHOX	0.022843
LPAR5	-0.022841
SLC35F3	-0.022798
BBOX1	0.022771
FAM104A	0.022708
ANXA10	-0.022675
RGL1	0.022675
CLIC5	-0.022669
VPREB1	0.022635
SEMA3E	-0.022608
AGRP	0.022525
MAT1A	0.022476
LRP4	0.022466
C6orf118	0.022379
CNKSR3	0.022357
ZNF365	-0.022309
TMPRSS3	-0.022275
CASP1	-0.022248
PON3	0.022230
VDR	0.022168
WDR60	0.022166
SSC4D	-0.022105
LOC646976	0.022090
BHLHE40	-0.022048
TNNC1	-0.021935
ADORA2B	-0.021921
CAPN8	0.021899
ELMOD1	0.021889
DPEP1	0.021850
ID4	0.021844
RBFOX3	-0.021835
HTR1D	-0.021770
HHAT	-0.021740
LRP2	0.021727
KRT83	-0.021703
TGFB2-OT1	-0.021657
DUSP1	0.021598
ATP1A4	0.021594
ZSCAN31	-0.021561
ACKR3	-0.021554
MT1M	0.021550
KCNQ1	-0.021535
DYSF	-0.021521
SHISA2	0.021514
KLF15	0.021453
PHYHD1	0.021422
TRPC3	0.021398
DLL1	0.021368
NELL1	0.021359
RUNX3	0.021305
EMR1	-0.021267
MYO10	-0.021259
ST3GAL6	0.021258
TBC1D10C	-0.021246
NEFH	0.021243
GPR115	0.021194
SLCO5A1	0.021184
SYT12	-0.021152
RLN1	0.021133
DRD1	-0.021096
IGSF9	-0.021090
COL18A1	0.021077
CPB2	0.021068
VLDLR-AS1	-0.021054
TNFAIP6	-0.021035
RHOU	0.021027
LIMA1	-0.021015
C1orf186	0.021008
MARC1	-0.020962
FETUB	0.020959
KRT81	-0.020957
DAW1	-0.020898
ADAMTS1	-0.020891
ANXA8L1	-0.020862
ADORA3	0.020859
SLITRK6	-0.020845
PLEKHB1	-0.020835
MFSD6L	0.020812
FCHO1	-0.020794
LAMA2	0.020767
KLRK1	0.020714
NFE2	-0.020713
FAM49A	0.020705
ANXA3	-0.020676
NDRG1	0.020611
PEX6	0.020578
PRKCG	0.020577
KRT17	-0.020574
LSM11	0.020521
EFCAB10	0.020499
TPTE2P3	0.020494
LOX	0.020477
PIWIL1	0.020476
ID2	0.020465
LIF	-0.020442
TLN2	0.020408
SLC12A3	0.020407
FGD4	0.020398
EFCAB6	0.020397
SMC6	0.020375
AK5	-0.020339
KIR2DS4	0.020316
KBTBD11	0.020296
GPR1	0.020276
CALCR	0.020255
DDO	-0.020193
LRRC4C	-0.020172
OR2A20P	-0.020163
TMEM56	0.020152
COL8A1	-0.020139
KCNJ15	-0.020129
P2RY6	0.020121
CHST3	0.020113
