!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Homo sapiens
!cell	Osteosarcoma cells (expressing hGRalpha receptor isoform C)
!perturbation	Dexamethasone
!disease	hGRalpha-C - 100nM - 12 hrs
!end_metadata
FAM90A25P	0.092385
FAM90A1	0.089294
ATP4A	0.068756
SNTG2	0.068740
ACTL8	0.064599
HBM	0.063887
SPINK13	0.061671
PNLIP	0.061128
S100P	0.060371
HBZ	0.056706
CST9L	0.054180
LINC00689	0.053573
FAM83F	0.052943
CA4	0.052875
PCBP3	0.052538
FLRT3	0.052529
KDF1	0.051881
LGSN	0.051058
WFDC11	0.050604
FLJ38379	0.049730
SOAT2	0.049642
RGS2	0.048821
KCNA4	0.048270
CSF3	0.047996
CYTIP	0.047912
CDH16	0.047841
SCGB2A1	0.047067
SYT13	0.047051
AGT	0.046983
SAG	0.046820
TDRD9	0.045861
NLRP7	0.044133
ABCG5	0.043544
ABCC8	0.043373
PDK4	0.042555
HOXD1	0.042122
FAM198A	0.041882
GRASP	0.041684
SLC6A3	0.041085
FRK	0.040789
CILP	0.040568
TMEM100	0.040168
HSD17B2	0.039907
NTF3	0.039772
FLJ40712	0.039420
CA2	0.039417
APOBEC2	0.038511
LAD1	0.038379
CASR	0.038296
SCGN	0.038067
CARD14	0.038044
CHRDL2	0.037921
SCRG1	0.037678
C8G	0.037630
NR0B1	0.037441
SNAI1	0.036990
BBOX1	0.036726
EGFLAM	0.036624
TIPARP	0.036585
SGK1	0.036519
LOC642620	0.036181
PENK	0.036176
TRIM49	0.035782
DLL1	0.035626
PTGS1	0.035626
ERV9-1	0.035269
PAGE4	0.035169
CEACAM4	0.035070
FABP6	0.035062
EDNRA	0.034937
HSD11B2	0.034744
RP1L1	0.034716
ARC	0.034413
RUNX3	0.034296
BTLA	0.034278
TEX11	0.034194
NANOG	0.033941
GUCY2F	0.033647
C11orf96	0.033564
CALB1	0.033496
SLN	0.033420
ZAP70	0.033385
CRTAC1	0.033272
LINC00880	0.033021
ID2	0.032971
VIT	0.032880
MAP1A	0.032728
FTCD	0.032609
OR7E5P	0.032479
F11	0.032273
SV2B	0.032098
ITIH3	0.031914
CA9	0.031825
GPER1	0.031654
HSPA6	0.031470
SOD3	0.031341
BAMBI	0.031338
TMEM204	0.031334
C15orf27	0.031204
TPO	0.031129
CADPS	0.031122
LOC100507639	0.030958
THBS2	0.030927
ZNF57	0.030923
CLCN2	0.030885
ADM	0.030835
TG	0.030801
GPRIN2	0.030709
PPEF1	0.030619
MRVI1	0.030501
CCL2	-0.030439
NOSTRIN	0.030363
OR7E91P	0.030362
NOS2	0.030284
ARHGAP9	0.030202
SHOX	0.029918
CACNA1I	0.029690
CRISPLD2	0.029586
CHIA	0.029579
S1PR1	0.029562
DNER	0.029502
C5orf66	0.029476
CEBPD	0.029469
DNASE1L3	0.029437
LPL	0.029413
ZNF189	0.029407
NEB	0.029399
INSL4	0.029329
FETUB	0.029223
C1orf186	0.029184
SWT1	0.029168
ATP2C2	0.029070
SHISA2	0.029036
IGKV1D-13	0.028879
DNAJC12	0.028846
FHDC1	0.028807
B3GAT1	0.028730
LINC00965	0.028648
AMIGO2	-0.028644
CDKL5	0.028527
KRT72	0.028255
SPINK5	0.028018
FRG2	0.028016
TRIM48	0.027987
NCF1	0.027961
FAM135B	0.027901
LOC100507053	0.027853
LILRA6	0.027818
SMIM3	0.027772
RASD1	0.027710
SIPA1L2	0.027634
CRYBA2	0.027552
SSR4P1	0.027539
CHRNA7	0.027442
TGFBI	-0.027441
VDR	0.027331
MYH13	0.027274
NXPH1	0.027235
IGFBP1	0.027220
TMEM130	-0.027054
FAM20C	0.027037
TXNRD1	-0.026957
NKD1	0.026872
PCSK5	0.026872
GZMA	0.026804
SLC9A2	0.026796
UBIAD1	0.026743
MYH7	0.026714
NLRC4	0.026702
SOCS1	0.026381
NET1	0.026323
CPM	0.026310
MTTP	0.026265
CAPN8	0.026256
CR2	0.026234
MISP	-0.026089
NLRP3	0.026053
NXF5	0.026031
FAM117A	0.025984
MYT1	0.025935
RADIL	0.025891
ANKRD20A9P	0.025871
KCNG1	0.025870
PSAPL1	0.025786
TRIM63	0.025773
IL18RAP	0.025759
CPT1A	0.025676
