!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Homo sapiens
!cell	Osteosarcoma cells (expressing hGRalpha receptor isoform C)
!perturbation	Dexamethasone
!disease	hGRalpha-C - 100nM - 6 hrs
!end_metadata
FAM90A25P	0.099256
FAM90A1	0.095647
SNTG2	0.081780
ATP4A	0.072440
HBM	0.069418
KDF1	0.066148
SPINK13	0.066072
CA4	0.063964
FAM83F	0.061524
SYT13	0.061152
NLRP7	0.060574
S100P	0.057075
HBZ	0.057048
SAG	0.055725
AGT	0.055516
ACTL8	0.055302
LINC00689	0.055273
CSF3	0.055219
PNLIP	0.054813
SOAT2	0.054649
FLJ38379	0.054354
FLRT3	0.054095
PCBP3	0.052058
KCNA4	0.051976
CILP	0.051893
SCGB2A1	0.051089
TDRD9	0.050155
WFDC11	0.049887
ABCG5	0.049610
ABCC8	0.049436
GRASP	0.049235
CHRDL2	0.048863
FAM198A	0.048551
CDH16	0.047422
CYTIP	0.047362
C1orf186	0.046734
RGS2	0.046330
CALB1	0.045914
MRVI1	0.045764
NANOG	0.045409
PENK	0.045124
PDK4	0.045082
VIT	0.044898
SLC6A3	0.044414
CST9L	0.044402
LGSN	0.044286
PTGS1	0.044153
FLJ40712	0.044051
CARD14	0.043562
C8G	0.042686
TFCP2L1	0.042667
MYT1	0.042404
CHST15	0.042363
HSD11B2	0.042098
GPER1	0.041683
GPRIN2	0.041423
C15orf27	0.040920
TG	0.040581
SIPA1L2	0.040424
KRT5	0.040405
FETUB	0.039952
SCRG1	0.039754
TMEM204	0.039723
APOBEC2	0.039652
THBS2	0.039446
LAD1	0.039200
FRK	0.039035
ARC	0.038876
SV2B	0.038738
HOXD1	0.038508
ZAP70	0.038340
SHC4	0.038335
FABP6	0.038326
KRT72	0.038266
NTF3	0.038039
SLC9A2	0.037963
HSD17B2	0.037312
FHDC1	0.037272
CLCN2	0.036792
EDNRA	0.036750
BBOX1	0.036649
LINC00880	0.036581
CA9	0.036581
PAGE4	0.036504
TIPARP	0.036320
CASR	0.036263
ATP2C2	0.036176
LINC01114	0.036175
SCGN	0.036131
NLRC4	0.035502
ITIH3	0.034873
TPO	0.034838
SHOX	0.034754
DNASE1L3	0.034680
SNAI1	0.034674
ID2	0.034672
MAP1A	0.034478
GLIS1	0.034409
CA2	0.034280
DOK7	0.034241
HDAC4	0.034041
B3GAT1	0.033875
HSPA6	0.033842
MYO15A	0.033778
TMEM100	0.033669
EGFLAM	0.033511
ZNF189	0.033478
CRYGC	0.033230
C2orf54	0.033092
SGSM1	0.032914
LOC642620	0.032864
PKNOX2	0.032761
DLL1	0.032680
ZCCHC5	0.032626
IP6K3	0.032620
TRIML1	0.032478
UBIAD1	0.032305
TMEM37	0.032181
PIWIL1	0.032015
NOSTRIN	0.031997
FAM135B	0.031865
RNASE11	0.031857
RP1L1	0.031847
RUNX3	0.031809
CTCFL	0.031708
CACNA1I	0.031642
CEACAM4	0.031556
OR7E5P	0.031553
ECHDC2	0.031299
ERV9-1	0.031283
CCL2	-0.031248
ZNF57	0.031241
PIK3R6	0.031149
NOS2	0.031048
ARHGAP9	0.030962
DNER	0.030726
NLRP3	0.030680
FTCD	0.030677
PHACTR3	0.030664
FAM149A	0.030664
ARHGAP22	0.030641
KCNJ16	-0.030639
TUNAR	0.030484
PSAPL1	0.030470
TERT	0.030456
AMIGO2	-0.030424
IGKV1D-13	0.030190
GRHL2	0.030102
RADIL	0.030047
NR0B1	0.029882
NEB	0.029837
CRISPLD2	0.029800
IL22RA1	0.029523
MAT1A	0.029405
SHANK3	0.029256
OR7E91P	0.029080
CX3CR1	0.028999
CAPN8	0.028988
MYOM3	0.028984
OBP2A	0.028903
ZFP82	-0.028867
TRIM49	0.028848
LINC00965	0.028745
AWAT1	0.028742
LGALS12	0.028735
SGK1	0.028605
LPL	0.028551
GZMA	0.028429
LOC100507053	0.028415
VDR	0.028351
SMIM3	0.028294
BCR	0.028287
KIF25	0.028206
LRRC56	0.028150
MAP3K15	0.028141
RGCC	0.028120
CRTAC1	0.028095
SOD3	0.028059
BTLA	0.027952
CPT1A	0.027747
CADPS	0.027656
MFSD7	0.027631
CNGA3	0.027480
FAM183B	0.027437
MEF2C	0.027226
TIGD3	0.027155
OVGP1	0.027117
TLR4	-0.027109
ABCD1	0.027099
TTLL2	0.027016
SNN	0.026999
DNAJC12	0.026915
DNM3OS	0.026791
TRPC5OS	0.026764
TLE3	0.026723
TF	0.026715
KBTBD11	0.026691
HLA-DPB1	0.026677
KLHDC9	0.026617
PMEPA1	-0.026585
SLC6A12	0.026552
GPR65	-0.026533
BHLHE40	-0.026530
MTTP	0.026470
GUCY2F	0.026447
CEBPD	0.026302
PERM1	0.026276
BRS3	0.026247
CDX1	0.026233
CCDC96	0.026175
C9orf84	0.026173
NCF1	0.026152
HOMEZ	0.026085
PRKCQ	0.026072
LYZ	-0.026009
TGFB2-OT1	-0.025926
FAM117A	0.025902
EGR1	-0.025892
PRTN3	0.025882
SWT1	0.025856
NKD1	0.025783
FAM20C	0.025757
IGFBP1	0.025688
IER2	-0.025597
NRG2	0.025501
NEU4	0.025420
LY75	0.025365
KCNG1	0.025358
MYH7	0.025312
SLN	0.025288
PTPRR	-0.025228
LOC100507494	0.025195
NET1	0.025163
SSR4P1	0.025148
CRYBA2	0.025135
C17orf74	0.025073
FHL2	-0.025043
CD38	0.025042
PIWIL4	0.025005
ADAMTS1	-0.025005
PLCB4	0.024999
ST6GALNAC5	-0.024985
CPM	0.024984
NXPH1	0.024976
GRAMD4	0.024933
KRT71	0.024931
C11orf97	0.024915
KIAA0754	-0.024903
PAK7	0.024877
KCNK10	0.024858
HSD17B3	0.024850
ABCA7	0.024850
LOC100507639	0.024829
MYLIP	0.024807
TMEM130	-0.024800
PCSK5	0.024790
TBC1D10A	0.024725
GLYATL2	0.024723
NXF5	0.024690
CLDN22	0.024643
CFP	0.024610
SSUH2	0.024527
TNFSF4	0.024445
NR1H4	0.024428
C5	0.024424
F11	0.024323
SPINK5	0.024208
SGK223	-0.024177
GABBR2	0.024136
CHRNA7	0.024058
ANO1	0.024047
DNAH10	0.023917
P2RY6	0.023848
CDKL5	0.023820
CHIA	0.023795
TRIM54	0.023764
SLC25A18	0.023724
PRKCB	0.023707
ADARB2	0.023689
LINC01133	0.023683
LINC00309	-0.023665
EDN3	0.023621
CDRT1	0.023613
TEX11	0.023406
S1PR1	0.023402
MC5R	0.023395
TRPC3	0.023393
HSD3B1	0.023387
FRG2	0.023343
C5orf66	0.023339
GPRASP1	0.023278
TSC22D3	0.023278
RUNDC3B	0.023275
CR2	0.023209
LOC729164	0.023169
AMOTL2	-0.023140
IRS1	-0.023130
SIGLEC5	0.023079
BMP4	-0.023061
GJA4	0.023059
PNLIPRP2	0.023008
EFCAB6	0.022985
ARSE	0.022962
KRTAP2-3	-0.022953
TNFRSF1B	0.022922
NPR2	0.022915
TKTL1	0.022861
MLYCD	0.022844
LRRC17	0.022843
LOC283278	0.022701
CERS3	0.022662
LOC100507022	0.022632
GPR35	0.022625
ITGB2	0.022610
ORM2	0.022609
SCNN1A	0.022468
ARMC12	0.022455
TP53I3	0.022438
PSTPIP1	0.022367
LOC440792	0.022360
OBP2B	0.022353
SERTAD4	-0.022329
CLCA4	0.022284
IER3	-0.022266
ACTN2	0.022220
S1PR5	-0.022188
GRAP	0.022170
FAM3D	0.022165
SLCO4A1	0.022159
HAS2	-0.022158
LILRA6	0.022097
RYR3	0.022070
LAIR2	0.022070
KCNH2	0.022033
GPIHBP1	0.022023
UMODL1	0.021987
TRIM63	0.021983
SHISA2	0.021918
EMR2	0.021912
SLAMF8	0.021902
MAGEB3	0.021874
PGC	0.021865
IL18RAP	0.021788
ZFP36	0.021769
PCYOX1L	0.021717
IL36G	0.021709
TRIM48	0.021695
DDC	0.021690
KLF15	0.021685
MYEOV	-0.021671
BBS12	0.021653
PEX6	0.021652
C7orf57	0.021650
JUNB	-0.021602
SLC6A11	0.021598
FAM209B	0.021536
RNASE2	0.021493
JADE1	-0.021420
SLC19A2	0.021395
DNM3	-0.021361
C11orf96	0.021352
NLRP5	0.021329
BTNL8	0.021314
NAT1	0.021312
TIGD4	0.021301
FOXL1	0.021296
PDE1A	0.021287
NAV3	-0.021265
COL18A1	0.021221
PAG1	0.021194
BATF	0.021162
LGALS9	0.021135
TBX21	0.021094
KRT17P5	0.021090
INSL4	0.021077
CSF1R	0.021030
SLC30A1	-0.021028
SLC6A1	0.021013
FHOD3	0.020975
SLA	0.020930
ADORA3	0.020906
CYP2C9	0.020899
LYG2	0.020878
PHYHD1	0.020877
RPRML	0.020864
C19orf18	0.020860
COL20A1	0.020827
NAB2	-0.020809
PGPEP1L	0.020764
GCG	0.020750
KIF19	0.020742
KCNJ15	-0.020636
ACTA1	0.020634
PRAMEF8	0.020625
LOC101928370	0.020620
PKD2L1	0.020619
CPNE7	0.020616
FAM134B	0.020605
PIP5K1B	0.020598
SEC14L2	0.020594
SEMA3G	0.020526
BTK	0.020481
SH2D4A	0.020439
TRGV7	0.020433
DIP2C	0.020413
CAMK2B	0.020387
LRIG3	-0.020375
LRRC4C	-0.020324
TXNRD1	-0.020297
CCDC42	0.020294
LFNG	-0.020268
FOSL1	-0.020241
LYPD8	0.020238
BBS1	0.020228
CCL4	0.020215
MPPED1	0.020188
P2RY8	0.020187
CNKSR3	0.020180
ARMC2	0.020174
SOCS1	0.020158
LYPD6B	0.020140
TGFBR3	0.020063
ANKRD20A9P	0.020046
FAM83A	0.020031
FAM189A2	0.020028
IRF2BP2	-0.020002
LOC727820	-0.019987
ALB	0.019971
CYR61	-0.019955
CXCL1	0.019953
PPP3CC	0.019950
CALCR	0.019946
LOC283454	-0.019920
KCTD3	0.019899
FAM213A	0.019873
TXNRD2	-0.019867
PSCA	0.019839
ZNF620	-0.019804
FAM154B	0.019803
PPP2R3B	0.019793
MYH13	0.019790
KY	0.019788
EMP1	-0.019737
MLC1	0.019734
UNC45B	0.019716
ETV7	0.019713
CDH15	0.019695
DZIP1L	0.019659
ADAMTS6	-0.019643
RIMBP2	0.019608
SPINK4	0.019551
TRIM6	-0.019528
C12orf60	0.019513
NELL1	0.019481
RGL1	0.019469
LRCOL1	0.019420
DPEP1	0.019419
TRG-AS1	0.019371
LIF	-0.019353
PGF	0.019344
PARD6B	-0.019332
IGK	0.019324
EVPLL	0.019315
CD163	0.019304
FREM1	0.019296
SERPINB4	0.019294
IL23R	0.019281
TADA2B	0.019273
TLL2	0.019263
CBLB	0.019243
DNAJB8	0.019241
RGS1	0.019209
ABCD2	0.019196
G0S2	-0.019155
ARL4C	-0.019135
SEMA5A	0.019097
C1QTNF9B	0.019057
SLC30A2	0.019040
LAIR1	0.019030
SHARPIN	0.019013
CLIP4	-0.019009
SLITRK3	0.018945
CDH22	0.018929
ERN1	0.018898
TBC1D4	-0.018883
TTC16	0.018868
SIX4	-0.018820
RPE65	-0.018793
NLRP8	0.018792
XDH	0.018783
MISP	-0.018780
NR3C2	-0.018778
NOG	-0.018768
CHST8	0.018757
DDR1	0.018750
FRMD6	-0.018749
SPAG4	0.018740
ABCA8	0.018725
PTH1R	0.018684
CDC7	0.018679
