!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Homo sapiens
!cell	Osteosarcoma cells (expressing hGRalpha receptor isoform C)
!perturbation	Dexamethasone
!disease	hGRalpha-C - 100nM - 24 hrs
!end_metadata
FAM90A25P	0.092738
FAM90A1	0.089695
ACTL8	0.069177
PNLIP	0.064312
SPINK13	0.063825
S100P	0.062223
ATP4A	0.058627
HBM	0.057189
SNTG2	0.057045
CST9L	0.054096
PCBP3	0.052089
WFDC11	0.051109
RGS2	0.049715
CYTIP	0.049395
FLRT3	0.048965
HBZ	0.048771
CSF3	0.048283
SCGB2A1	0.047699
LINC00689	0.047372
TDRD9	0.046562
LGSN	0.046150
FLJ38379	0.044657
TMEM100	0.044275
CDH16	0.044038
SOAT2	0.043908
CA4	0.043717
SCGN	0.043180
HOXD1	0.043079
SLC6A3	0.042852
KCNA4	0.042597
TRIM49	0.042465
KDF1	0.042369
FLJ40712	0.042270
PDK4	0.041884
SYT13	0.041847
SNAI1	0.041195
C11orf96	0.040683
AGT	0.040638
SGK1	0.040480
FRK	0.040429
FAM83F	0.040062
CASR	0.039991
DLL1	0.039471
ADM	0.039393
TEX11	0.039123
TRIM63	0.038913
SAG	0.038860
SLN	0.038564
RASD1	0.038128
LAD1	0.037976
RP1L1	0.037923
FRG2	0.037544
GRASP	0.037162
CILP	0.037001
NR0B1	0.036618
APOBEC2	0.036606
LOC642620	0.036460
ERV9-1	0.036308
TIPARP	0.036266
TRIM48	0.036226
GUCY2F	0.035615
EGFLAM	0.035584
NTF3	0.035553
SCRG1	0.035520
PCDH8	0.035440
ARC	0.035350
CRTAC1	0.035225
PPEF1	0.034857
USP17L2	0.034773
ABCC8	0.034429
INSL4	0.034352
BAMBI	0.034304
HSD3B1	0.034284
PENK	0.034212
CHIA	0.033832
CA2	0.033830
PAGE4	0.033816
NANOG	0.033676
BTLA	0.033213
LINC00965	0.033074
DNER	0.032757
OR7E5P	0.032691
SHISA2	0.032686
ID2	0.032351
CEACAM4	0.032320
NEB	0.032017
ARHGAP9	0.031981
ABCG5	0.031542
DNAJC12	0.031507
LINC00880	0.031406
SWT1	0.031314
SOD3	0.031246
OR7E91P	0.031152
FAM198A	0.031130
SV2B	0.031124
GPER1	0.031122
RUNX3	0.031089
NEFH	0.030977
CARD14	0.030750
CXCL1	0.030740
CALB1	0.030530
PTX3	0.030337
FTCD	0.030274
C5orf66	0.030243
CA9	0.030095
ZNF57	0.030077
HSD17B2	0.030008
LOC100507639	0.029935
ZFP36	0.029926
BBOX1	0.029882
TMEM204	0.029795
RRAD	0.029556
TPO	0.029474
ZNF189	0.029474
PTGS1	0.029420
MAP1A	0.029410
CADPS	0.029223
NET1	0.029009
CEBPD	0.028967
CYP26A1	0.028841
MYH13	0.028817
TGFBI	-0.028807
F11	0.028700
SMIM3	0.028683
SLAMF8	0.028664
IL18RAP	0.028561
FAM135B	0.028548
GAL3ST3	0.028526
S1PR1	0.028491
HSD11B2	0.028420
NKD1	0.028304
GZMA	0.028240
HLA-DPB1	0.028233
C8G	0.028220
VASN	0.028196
HSPA6	0.028077
MTTP	0.027908
LPL	0.027840
CRISPLD2	0.027838
HEY1	0.027807
ADRB2	0.027640
CLCA4	0.027575
AMIGO2	-0.027435
MISP	-0.027330
FABP6	0.027283
NPPC	0.027257
EDNRA	0.027206
FZD7	0.027185
GLI1	-0.027183
LRRC56	0.027162
NLRP5	0.027069
DUSP1	0.027026
SLC25A18	0.026954
RGCC	0.026898
KCNK5	0.026791
NOS2	0.026776
OVGP1	0.026761
NXF5	0.026723
NELL1	0.026625
CPM	0.026525
PCSK5	0.026430
FAM222A	0.026405
CYP2C9	0.026403
UBIAD1	0.026392
SPINK5	0.026388
SOCS1	0.026338
CD163	0.026335
GLYATL2	0.026333
USP24	0.026329
C1orf186	0.026241
FOSB	0.026164
NLRP3	0.026039
IL2RB	-0.026021
FAM213A	0.025900
PPP1R3C	0.025863
MYH7	0.025856
PHLDA2	0.025837
GSTM3	0.025804
CTNND2	0.025741
CDKL5	0.025732
CR2	0.025693
LOC101927598	0.025625
SLC7A8	0.025615
SLC19A2	0.025614
MAP1LC3C	-0.025516
THSD1	0.025513
BCL2L14	0.025358
B3GAT1	0.025320
IGFBP1	0.025295
C15orf27	0.025236
IGSF10	0.025187
NAT1	0.025180
CYP3A4	0.025126
CHRNA7	0.025046
IL1F10	0.025029
GADD45B	0.024988
CALCR	0.024863
FAM183B	0.024852
THBS2	0.024839
DAPL1	0.024768
NCF1	0.024765
FAM117A	0.024738
TMEM130	-0.024716
SSR4P1	0.024574
VDR	0.024567
KIAA1683	0.024482
ATP6V0A1	-0.024479
LOC79160	-0.024408
CCL4	0.024367
KCNN4	-0.024344
SLPI	0.024248
NXPH1	0.024217
TRIM6	-0.024178
SHOX	0.024168
CCL2	-0.024153
LILRA6	0.024123
ARL4D	0.024068
KIAA1324	-0.024067
PRTN3	0.024047
TRPC3	0.024042
LOC729164	0.024029
CHRDL2	0.023992
TRGV7	0.023951
ID4	0.023925
MAP3K8	0.023923
ABCA8	0.023915
SERTAD4	-0.023872
KCNG1	0.023846
TG	0.023817
SLC26A3	0.023815
RGS1	0.023769
CTCFL	0.023748
FAM20C	0.023736
IGKV1D-13	0.023735
TCEB3B	0.023716
BTK	0.023574
SYT2	0.023563
SSUH2	0.023516
LOC100507053	0.023497
CACNA1I	0.023341
CAPN8	0.023336
PLAC8	-0.023299
F2RL2	-0.023258
TSC22D3	0.023173
RGL1	0.023169
MYLIP	0.023088
MRVI1	0.023051
CPNE7	0.023038
MLYCD	0.023028
YTHDF1	0.022966
TBC1D4	-0.022941
CHST8	0.022937
LOC100287221	-0.022907
FAM46A	0.022892
SRGN	0.022891
PGF	0.022886
NLRP7	0.022879
CLCN2	0.022864
TKTL1	0.022840
CPT1A	0.022822
FETUB	0.022822
IL13	0.022814
LOC100507494	0.022812
PEX6	0.022790
ITIH3	0.022759
CPA4	-0.022752
HSD3B2	0.022662
MUM1L1	0.022651
ZFAND5	0.022599
LOC100507022	0.022574
FOXJ1	0.022545
TRBC1	0.022542
PIWIL1	0.022535
EPHB3	0.022454
ANKRD20A9P	0.022452
ARSE	0.022416
GPRIN2	0.022404
CRYBA2	0.022370
PKIB	-0.022341
SGSM1	0.022280
CCBE1	-0.022278
NSDHL	0.022236
CHGB	0.022179
H1FOO	0.022087
NR4A2	0.022038
ACTN2	0.022038
AKAP4	0.021931
NFKBIA	0.021914
CLDN22	0.021894
ZAP70	0.021885
COL18A1	0.021871
GRM7	0.021826
C9orf84	0.021805
TGFBR3	0.021774
TCEB3C	0.021717
MYO10	-0.021688
PHACTR3	0.021684
SLC38A4	0.021667
HSPA2	0.021659
AMZ1	0.021612
ZNF404	-0.021598
AGRP	0.021597
IL6	0.021535
NPTX2	0.021519
ST3GAL5	-0.021500
NPY1R	0.021436
TNFRSF10A	0.021422
PCYOX1L	0.021397
RASA3	0.021336
OLFML3	0.021306
SLC4A8	0.021280
SERTAD4-AS1	-0.021272
TRPC5OS	0.021263
TF	0.021255
ZNF280A	0.021220
KCNJ4	0.021108
BMP5	-0.021106
LRRC20	-0.021069
RASL11B	0.021056
ATP2C2	0.021050
PLK2	0.021043
ACRC	0.021035
DNASE1L3	0.020945
CYP24A1	-0.020930
HBEGF	0.020921
FAAH2	0.020906
SERTAD1	0.020880
P2RY6	0.020828
ARMC12	0.020821
AWAT1	0.020800
BCAS1	0.020787
VWC2	0.020784
ZFP82	-0.020756
SLITRK3	0.020750
FGD5	0.020720
MAP3K15	0.020683
MARC1	-0.020673
ST6GALNAC5	-0.020664
TMEM71	-0.020647
OGFRL1	0.020620
NUDT10	0.020618
TXNRD1	-0.020611
TUBA3D	0.020597
SLC35F3	-0.020582
KCNJ16	-0.020565
MMP10	0.020540
SLC2A14	0.020532
SEC14L2	0.020531
SLC22A3	0.020504
RNF148	0.020503
ABCD2	0.020479
MYLK	-0.020350
MAP3K7CL	-0.020345
RNASE11	0.020267
IFNA21	0.020259
TGIF1	0.020238
BBS12	0.020220
CNKSR3	0.020213
RYR3	0.020149
FHDC1	0.020136
EFCAB6	0.020124
OLAH	0.020119
AXL	-0.020065
PNLIPRP2	0.020065
LINGO2	0.020046
NKX6-2	0.020041
LRCOL1	0.020034
BSN	0.019993
NR1H4	0.019953
POTEG	0.019941
MUC3B	-0.019908
FGD6	-0.019904
LIMCH1	-0.019903
TLE3	0.019876
SPAG4	0.019867
LOC100128164	-0.019775
RIMS3	-0.019765
OPRD1	0.019747
PSAPL1	0.019731
ACTA1	0.019727
KRT35	0.019724
ALPK2	-0.019717
NLRC4	0.019710
SLCO4A1	0.019708
C12orf60	0.019702
KLF15	0.019691
PLAU	-0.019665
ANXA2R	0.019662
KBTBD11	0.019636
WDR47	0.019617
KRT80	-0.019595
KLK1	-0.019535
PRR16	-0.019501
LOC101928370	0.019448
C1QTNF1	0.019430
PRAMEF1	0.019418
ERVH48-1	0.019418
C11orf45	-0.019372
MSX2P1	0.019364
ALDH1A1	-0.019364
PLCB4	0.019358
RCAN1	0.019348
RPA4	0.019336
ERN1	0.019334
ITPKC	0.019329
GCG	0.019307
IRX5	0.019290
DKFZP586K1520	-0.019270
C1QTNF2	-0.019251
TSPAN3	0.019243
DNAJB9	0.019223
RNF152	0.019193
ABCA6	0.019184
C1orf132	0.019180
TUBA3FP	0.019174
ZSCAN31	-0.019169
IL23R	0.019155
LPAR5	-0.019111
IGSF9	-0.019109
LOC101929762	0.019108
DLL4	0.019106
SYT17	-0.019071
SLC9A2	0.019062
TNNC1	-0.019061
FRMD5	-0.019032
ARHGAP28	-0.019025
POMC	0.019021
RPRML	0.019019
TBX21	0.018997
DOK2	0.018986
BRS3	0.018975
S100A13	0.018972
SNN	0.018963
AP1M2	-0.018956
SLC6A12	0.018952
VIPR1	0.018942
RND1	0.018906
KIAA1522	-0.018866
FCHO1	-0.018844
GREB1	0.018815
SLC15A2	0.018812
SERPINF2	0.018808
BIRC7	-0.018785
KCTD3	0.018771
CCDC96	0.018755
PANX1	0.018751
PBX1	-0.018736
IL1RL1	0.018728
TNFRSF10B	0.018727
CX3CR1	0.018680
CHST3	0.018658
AREG	0.018654
CXCL2	0.018640
TRG-AS1	0.018617
PTPRR	-0.018607
ZBTB20	0.018593
VIT	0.018576
WNT11	0.018575
LNX1	0.018573
PRICKLE2	0.018572
TIGD3	0.018564
DNM3OS	0.018559
ORM2	0.018549
OLR1	-0.018542
KRT75	-0.018536
SIPA1L2	0.018499
HBA1	0.018478
RSRP1	0.018456
SMCP	0.018414
RAG1	0.018411
TXNRD2	-0.018408
PRAMEF8	0.018379
TEK	0.018378
RNF149	0.018345
HDAC4	0.018345
TBC1D10A	0.018329
LRTM1	0.018325
RPTOR	0.018310
KCNH2	0.018239
STRBP	0.018226
MATN2	-0.018220
CDCA7	-0.018218
GPRC5A	-0.018202
CNN1	-0.018186
ZNF385B	0.018179
DNAH10	0.018166
XDH	0.018159
PLD1	-0.018156
NOSTRIN	0.018151
GPR1	0.018145
HEXDC	0.018139
TM4SF4	0.018104
LIMS3	-0.018049
BBS1	0.018040
NR1I3	0.018022
ZNF79	0.018020
FAM46C	0.018012
MC5R	0.017999
ARL4C	-0.017986
MAT1A	0.017977
