!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Homo sapiens
!cell	Osteosarcoma cells (expressing hGRalpha receptor isoform A)
!perturbation	Dexamethasone
!disease	hGRalpha-A - 100nM - 6 hrs
!end_metadata
FAM90A25P	0.099419
FAM90A1	0.097340
HBM	0.078050
ACTL8	0.073269
HBZ	0.069208
FLJ38379	0.067815
SAG	0.066379
PCBP3	0.065315
SPINK13	0.063322
ATP4A	0.062218
CA4	0.062038
LINC00689	0.059803
NANOG	0.057329
S100P	0.056694
CST9L	0.055847
CALB1	0.055211
CSF3	0.055161
SLC6A3	0.054905
SNTG2	0.053766
CA2	0.053662
WFDC11	0.053618
FLRT3	0.052682
KDF1	0.052589
RGS2	0.052297
FAM83F	0.051778
KCNA4	0.050885
CYTIP	0.050647
GRASP	0.050198
LRRC56	0.049405
NLRP7	0.048918
LGSN	0.048851
CARD14	0.048809
ABCC8	0.045237
GPER1	0.044944
ZAP70	0.044586
ARC	0.044247
ABCG5	0.043855
CCL2	-0.042358
CHRDL2	0.041967
C8G	0.041812
FRK	0.041692
DNASE1L3	0.041668
SYT13	0.041667
CDH16	0.041372
CRYBA2	0.041275
SOAT2	0.040904
TERT	0.040895
LINC00880	0.040532
FHL2	-0.040346
GPRIN2	0.040282
PTPRR	-0.039771
PNLIP	0.039622
AMIGO2	-0.039608
SHOX	0.039476
RUNX3	0.039348
HLA-DPB1	0.039289
NR0B1	0.039135
SCGB2A1	0.039073
CILP	0.039051
PTGS1	0.038956
CXCL8	-0.038938
EDNRA	0.038562
SHC4	0.038554
TGFB2-OT1	-0.038261
GZMA	0.038177
RADIL	0.037584
TF	0.037275
NTF3	0.037169
FAM149A	0.037111
EFCAB6	0.036967
CHST15	0.036951
PDK4	0.036664
COL18A1	0.036590
C1orf186	0.036293
SGSM1	0.036249
NXPH1	0.035839
B3GAT1	0.035736
TIPARP	0.035720
LOC642620	0.035683
LOC401317	-0.035681
APOBEC2	0.035622
SCRG1	0.035531
KRTAP2-3	-0.035512
CA9	0.035385
DLL1	0.035327
CASR	0.035301
NEB	0.035272
RYR3	0.034975
CRTAC1	0.034911
HSPA6	0.034892
FAM135B	0.034680
THBS2	0.034620
TLR4	-0.034494
CLCN2	0.034463
MYT1	0.034388
CNGA3	0.034077
CSF2	-0.033880
CACNA1I	0.033874
FLJ40712	0.033652
CAPN8	0.033589
KCNG1	0.033531
MISP	-0.033476
DNM3	-0.033291
EGFLAM	0.033079
CYP2C9	0.032974
C11orf96	0.032919
ECHDC2	0.032697
NPPC	0.032667
IGKV1D-13	0.032651
ABCD1	0.032592
FHDC1	0.032584
LAD1	0.032508
LOC100507639	0.032342
VIT	0.032265
BCL3	-0.032232
SGK223	-0.032098
KRT5	0.032008
CADPS	0.031934
SLC9A2	0.031788
C15orf27	0.031696
ARHGAP39	0.031686
SGK1	0.031638
IER3	-0.031573
LPL	0.031551
MARCH4	-0.031516
FAM49A	0.031481
RASA3	0.031403
CD163	0.031364
ERV9-1	0.031343
BHLHE40	-0.031142
PIWIL4	0.031095
RNASE11	0.031001
SNAI1	0.030960
SWT1	0.030859
ITIH3	0.030820
PMEPA1	-0.030746
SNN	0.030721
VDR	0.030637
ACTN2	0.030562
UMODL1	0.030310
LOC100507053	0.030182
MRVI1	0.030169
ANKRD20A9P	0.030129
CEACAM4	0.030118
NOS2	0.030091
TFCP2L1	0.030064
ZNF189	0.029965
ATP2C2	0.029912
HOXD1	0.029865
GUCY2F	0.029762
NLRP3	0.029670
KRT72	0.029635
LOC100131532	0.029628
OR7E91P	0.029628
ARHGAP22	0.029597
AGT	0.029471
JUNB	-0.029225
MYEOV	-0.029035
CEBPD	0.028992
LINC00965	0.028881
LOC100128035	-0.028879
NAB2	-0.028841
PPP2R3B	0.028724
FRG2	0.028707
MTTP	0.028616
MYH7	0.028488
PRKCQ	0.028470
HSD11B2	0.028450
KBTBD11	0.028444
ACSBG1	0.028317
EFCC1	0.028278
IER2	-0.028270
TGFB2	-0.028239
RP1L1	0.028133
FRMD5	-0.028126
KIF25	0.028091
TG	0.028000
SLC2A14	0.027920
TIGD3	0.027890
SORCS2	0.027833
CAMK2B	0.027794
CAPS2	0.027776
CPT1A	0.027672
CHRNA7	0.027660
CLIP4	-0.027654
GPIHBP1	0.027573
TRPC5OS	0.027300
NAV3	-0.027279
GRAMD4	0.027265
PCSK5	0.027227
ZNF57	0.027173
IGFBP1	0.027093
SMIM3	0.027090
LOC100507494	0.027080
PAG1	0.027066
ID2	0.027041
KIF19	0.027039
SCGN	0.026957
PIP5K1B	0.026922
AJUBA	-0.026905
FTCD	0.026856
FETUB	0.026818
LOC100507022	0.026817
ARHGAP9	0.026725
CYP24A1	-0.026663
AIFM3	0.026591
S1PR1	0.026452
MBOAT4	-0.026450
VILL	0.026437
CRISPLD2	0.026380
ARMC12	0.026380
KCNJ4	0.026358
ANKRD1	-0.026352
VPREB1	0.026316
SV2B	0.026250
PENK	0.026208
CDH15	0.026146
TEX11	0.026134
SLC6A12	0.026117
RGAG4	0.026096
KCNJ15	-0.025970
IRS1	-0.025950
BTLA	0.025897
TNFRSF1B	0.025881
CDKL5	0.025869
TSC22D3	0.025760
DPEP1	0.025724
MAP1A	0.025666
IP6K3	0.025529
LIF	-0.025496
HOMEZ	0.025457
TRIM49	0.025440
PNLIPRP2	0.025404
TMEM204	0.025398
C5orf66	0.025397
TUNAR	0.025319
BBOX1	0.025197
PSAPL1	0.025183
MLYCD	0.025121
SIPA1L2	0.025079
CYR61	-0.025022
FAM46A	0.025003
PLD1	-0.024996
