!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Homo sapiens
!cell	Osteosarcoma cells (expressing hGRalpha receptor)
!perturbation	Dexamethasone
!disease	hGRalpha - 100nM - 24 hrs
!end_metadata
FAM90A25P	0.081781
FAM90A1	0.079307
ACTL8	0.073706
HBM	0.054766
LINC00689	0.054243
ATP4A	0.053109
S100P	0.052462
SPINK13	0.051966
PCBP3	0.051116
TRIM49	0.050082
CST9L	0.048835
FLJ38379	0.048602
MMP10	0.045759
CA2	0.044530
HBZ	0.044489
LOC100507639	0.043106
WFDC11	0.042783
DLL1	0.042626
FLRT3	0.042160
RGS2	0.041575
SAG	0.041133
ANXA10	-0.041004
LGSN	0.040892
RP1L1	0.040075
CALB1	0.040021
RASD1	0.039888
GRASP	0.039743
ARC	0.039511
TGFBI	-0.038677
BTLA	0.038498
SHOX	0.038353
NEFH	0.038334
LINC00965	0.038228
GPER1	0.037900
SNAI1	0.037873
ADM	0.037668
CASR	0.037550
MAP3K7CL	-0.037416
PTPRR	-0.037101
SLC6A3	0.036441
PCDH8	0.036415
SNTG2	0.036165
GLI1	-0.036113
C11orf96	0.035472
TRIM63	0.035086
GSTM3	0.034691
SCGB2A1	0.034052
LPL	0.033904
HOXD1	0.033795
SWT1	0.033633
F11	0.033513
ANXA3	-0.033501
NR0B1	0.033493
FRK	0.033300
PLAC8	-0.033157
PLEK2	-0.033046
OR7E91P	0.033007
MYH13	0.032378
IGKV1D-13	0.032264
PNLIP	0.032074
CRTAC1	0.032047
MYLK	-0.032023
DNM3	-0.031952
TRIM48	0.031826
F2R	-0.031672
LOC100507022	0.031587
FRG2	0.031521
FGF1	-0.031412
F2RL2	-0.031265
FHL2	-0.031263
CYTIP	0.031107
GUCY2F	0.031003
KCNA4	0.030775
RNF43	-0.030670
CADPS	0.030654
FLJ40712	0.030643
USP17L2	0.030514
DAPL1	0.030492
TIPARP	0.030458
COL18A1	0.030143
OR7E5P	0.030082
BMP5	-0.029992
FOSB	0.029784
CLDN1	-0.029681
ARHGAP9	0.029619
ALPK2	-0.029585
ANKRD20A9P	0.029573
KRT75	-0.029520
KRT34	-0.029479
RASA3	0.029444
FTCD	0.029379
POTEG	0.029377
IL18	-0.029224
CRYBA2	0.029181
AMIGO2	-0.028950
CYP24A1	-0.028921
AXL	-0.028751
FOXJ1	0.028726
RGCC	0.028639
SLC15A2	0.028635
GZMA	0.028599
USP24	0.028585
SLCO1B3	-0.028395
LIMA1	-0.028274
KRT80	-0.028144
TBC1D4	-0.028120
SEMA3C	-0.028083
CARD10	-0.028001
TCEB3C	0.027977
CYP2C9	0.027976
SERTAD4-AS1	-0.027837
TEX11	0.027803
DEFB103B	-0.027795
AP1M2	-0.027675
PKIB	-0.027662
KCNN4	-0.027566
SGK1	0.027546
BAI1	0.027542
EGFLAM	0.027438
MYO10	-0.027308
NEB	0.027221
DAW1	-0.027219
SLC35F3	-0.027152
PTX3	0.027102
C5orf66	0.027073
NTF3	0.026960
CDKL5	0.026928
KIAA1257	0.026919
CSF3	0.026903
TPM1	-0.026739
TGFB2-OT1	-0.026734
GAL3ST3	0.026640
KDF1	0.026571
SERTAD4	-0.026558
NELL1	0.026537
B3GAT1	0.026465
CXCL8	-0.026178
ABCG5	0.026112
HBA1	0.026095
LINC00707	-0.026061
NKD1	0.026050
IL7R	-0.025943
MC5R	0.025868
ATP6V0A1	-0.025833
PDK4	0.025774
CEACAM4	0.025657
SCGN	0.025645
MTTP	0.025567
CNN1	-0.025544
ADORA2B	-0.025530
ACTN2	0.025508
CDH15	0.025461
PDE6A	-0.025367
ERV9-1	0.025317
TRIM43	0.025207
MLLT11	-0.025147
PLIN5	0.025083
LINC01111	-0.025064
FAM104A	0.024987
KREMEN1	0.024912
