!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Mus musculus
!cell	Bone marrow derived macrophages
!perturbation	Dexamethasone
!disease	10h  - 100nM
!end_metadata
DUSP1	0.260451
RNASE4	0.170646
BASP1	-0.160234
TGFBI	0.151440
S100A10	0.135808
SEPP1	0.130817
ADAM8	0.129830
LIPA	-0.122855
MS4A6A	0.120071
TSC22D3	0.114757
LPXN	0.112249
FABP5	-0.104612
MRC1	0.103904
FABP4	0.102332
FKBP5	0.100062
MMP12	-0.097498
LMO2	-0.097313
IGF1	-0.093923
H2AFZ	-0.093263
WNK1	0.090529
GLRX	0.088748
ELOVL5	0.086180
C1QB	0.085085
FCGR2A	0.084021
STK17B	0.083358
HMOX1	0.080939
PLIN2	0.078136
NFKBIA	0.075177
PRDX1	-0.072507
EVI2A	-0.072355
LPL	-0.071184
ACTG1	-0.070954
GDE1	0.070754
CAPZB	0.069738
PCNA	-0.069214
LGALS3	-0.068358
CCL13	-0.067501
FTL	-0.066925
SLC9A3R1	0.066750
RAB31	0.066323
EIF4A1	-0.065846
CLIC4	-0.065340
RGS2	-0.064950
CCND1	-0.064606
SLA	0.063288
RNH1	0.060963
MAN2A1	0.060411
ALCAM	-0.060316
GPX1	0.060165
LCP1	-0.059520
KLF9	0.059388
ATP6V1A	-0.057089
SNX5	0.057006
MERTK	0.056832
RANBP1	-0.056516
PID1	0.055790
KLHL6	0.055726
CTSV	0.055358
STX7	0.055307
OSBPL8	-0.055189
CREG1	-0.054931
TBCA	-0.054856
B4GALT1	0.054695
FDPS	-0.053301
PSMB6	-0.053167
GNS	0.052775
KCNK6	0.052602
SERINC3	0.052423
SDC4	0.052366
METRNL	-0.051028
CYB5A	-0.050989
CTSZ	-0.050817
TIGD2	0.050805
LILRB4	-0.050640
IFRD1	-0.050561
BLNK	-0.050497
NPC1	0.050343
YPEL5	0.049862
ADSSL1	0.049331
EMP3	-0.048640
VDAC2	-0.048254
PLK2	-0.048057
AKIRIN1	0.047837
VIM	0.047752
ARPC2	0.047547
PEX13	0.047529
CD9	-0.047274
RHOJ	0.047174
LAPTM4A	0.046589
CD72	-0.046583
TUBA1A	-0.046578
SLC15A3	-0.046372
S100A6	0.046166
MGST3	0.045919
LDHA	-0.045838
TM6SF1	0.045833
KLF6	0.045403
SLC43A2	0.045370
SPOP	0.045132
ATP1B3	0.045055
TPI1	-0.044768
GDA	0.044761
GYG1	-0.043883
CD5L	-0.043814
DUSP6	0.043580
PLA2G7	0.043283
CD164	0.043120
STAP1	-0.042140
C1QA	0.041985
SAMHD1	0.041745
ALOX5AP	0.041642
IGSF6	0.041553
PSMD8	-0.041170
SGK1	0.041076
GLIPR1	0.040949
CTSD	-0.040680
VAPA	0.040483
SPP1	-0.040412
C1orf54	0.040165
RRAGC	-0.039752
CD300LB	-0.039603
C1QC	0.039245
HSP90B1	-0.039021
HEXB	0.038963
MPEG1	0.038750
JDP2	0.038422
HECTD1	0.038383
CSTB	-0.038214
IFITM3	-0.038188
DDIT4	0.037986
APOBEC1	0.037935
CD44	-0.037922
SH3KBP1	0.037590
TLR7	0.037561
PSME2	-0.036941
RAN	-0.036848
ATF3	-0.036792
DAB2	0.036733
CNBP	-0.036727
CD300C	-0.036691
MID1IP1	-0.036624
DYNLL1	-0.036523
LAT2	-0.036401
AHSA1	-0.036113
B3GALNT1	0.035485
RPS27L	-0.034881
LRP12	-0.034771
CD28	-0.034716
PAOX	0.034597
