!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Mus musculus
!cell	Bone marrow derived macrophages
!perturbation	Dexamethasone
!disease	1h  - 100nM
!end_metadata
DUSP1	0.748787
NFKBIA	0.151253
TSC22D3	0.137425
ZFP36L2	0.112798
SGK1	0.110767
GLIPR1	0.093133
PLP2	-0.091961
FOS	0.084817
SPP1	-0.083085
PMP22	0.077868
MPEG1	0.075387
RPS7	-0.073443
FTH1	0.063800
KLF6	0.063631
RGS2	-0.063231
STK17B	0.063057
RPS27A	0.062140
MYLIP	-0.061582
BASP1	-0.061135
VIM	0.058259
IFITM3	-0.057790
SAT1	-0.056892
RPL7A	-0.054749
LPL	0.054198
EIF3F	0.053727
KPNA2	-0.051723
EEF1A1	-0.051356
LGALS3	-0.050474
LILRB4	0.050015
PF4	0.048943
RGS1	0.048869
FCER1G	-0.047613
KLF4	0.046817
ARPC2	0.046304
FNIP2	-0.045875
METRNL	-0.044441
PER1	0.044439
FDPS	-0.044055
MKI67	-0.043817
PLK2	-0.043506
ZFP36L1	0.043168
PFN1	-0.042810
CD300LB	-0.042282
FABP4	0.041259
TIGD2	0.041111
GAPDH	-0.040714
ACTG1	0.040681
EFHD2	-0.040676
UBC	-0.040621
ITM2B	-0.039739
S100A10	0.039482
CITED2	0.039403
RHOB	0.038276
GLTP	-0.038174
CYFIP1	-0.038015
ARL6IP1	-0.038002
ATP6V1A	-0.036333
COX4I1	-0.036215
FABP5	-0.035839
GPNMB	-0.035526
TUBA1A	-0.035386
TUBA1B	0.035176
RPS18	0.034365
RPS5	-0.034274
HMGCS1	-0.034243
SEPP1	-0.033914
SLC6A6	-0.033583
RPL3	-0.033555
RPLP2	0.033532
TCP1	-0.033017
RPL19	0.032356
RPL35	0.032335
FAU	-0.032183
MCL1	0.032096
IER3	-0.031938
HMOX1	0.031899
RPS25	-0.031663
ADRB2	0.031148
HINT1	0.030984
CLIC1	0.030947
RPS2	-0.030871
RPS11	0.030745
MID1IP1	-0.030437
LMO2	-0.029922
RAB7B	0.029836
SLA	0.029720
RILPL2	-0.029634
LYZ	-0.029526
RRAGC	-0.029259
DUSP6	0.029251
PPP1CA	0.028887
RPL6	0.028882
GPX1	-0.028777
XBP1	-0.028439
RPL35A	-0.028020
LGALS1	0.027851
SHISA5	-0.027832
GPR65	0.027619
C1QB	-0.027436
CYB5A	-0.027298
TYROBP	-0.027237
ALCAM	-0.027143
SH3BGRL	0.026895
ABRACL	0.026848
RPS6	-0.026606
RNASE4	-0.026574
COX6A1	-0.026496
PGD	-0.026338
FCGR2A	0.026259
WSB1	-0.026185
DPYSL2	-0.026117
H2AFZ	-0.026115
HSP90AB1	-0.026082
CCL3L3	-0.025866
PLIN2	0.025793
TMEM256	-0.025652
SNX5	0.025482
CEBPB	0.025169
APP	-0.025168
LIPA	-0.024951
BHLHE40	-0.024938
CCT2	0.024883
ATP5G3	0.024785
SQLE	-0.024701
PGK1	0.024583
CYBA	-0.024553
LAMTOR1	-0.024532
C4orf27	0.024288
SERPINB6	0.024207
RPS17	-0.024009
IFRD1	0.024008
HHEX	-0.023860
CTSV	0.023835
RTP4	-0.023832
ATPIF1	0.023452
TNF	-0.023281
PTPLAD2	-0.023234
PSME2	-0.023143
PTGR1	-0.022973
CD36	0.022930
EVI2A	-0.022849
ARL4C	-0.022847
RNF149	0.022797
RPS29	-0.022725
MDFIC	0.022622
LAMP1	-0.022566
ATP6V1F	-0.022367
ABCG1	-0.022337
KIAA0101	-0.022299
VDAC3	-0.022189
RPL9	-0.022165
PRDX1	-0.022048
PPIB	0.021844
ITGB2	-0.021809
RPS26	0.021768
CST3	-0.021637
REXO2	-0.021620
BLNK	0.021542
CCL4	-0.021312
GRN	-0.021199
TAGAP	0.021048
RASGEF1B	-0.021008
CD14	0.020946
RPL12	-0.020789
RNF128	-0.020655
FTL	0.020606
COX5A	-0.020378
RPL13A	-0.020271
EEF1B2	-0.020263
CDC42EP3	-0.019841
TRPT1	0.019831
ACTR3	0.019815
ELOVL1	-0.019799
BMS1	-0.019717
LDHA	-0.019665
DDIT4	0.019618
AZIN1	0.019567
PEX13	0.019551
MMP12	0.019537
ZFAND2A	-0.019438
ANXA2	0.019362
LEPROT	0.019347
GNS	0.019314
HN1	-0.019312
CD53	-0.019305
UQCRFS1	-0.019303
RPL11	0.019300
GLRX	0.019285
RPL37	0.019243
GCLM	-0.019197
KLF9	0.019124
RPL13	0.019091
SORD	-0.019069
SNRPD1	0.019064
SCD	-0.018975
ALDOA	-0.018971
MAN2B1	-0.018896
TAF9	-0.018842
DYNC1H1	-0.018831
PSMB2	-0.018823
GABARAP	-0.018736
CERS2	-0.018687
RPS4Y1	0.018636
THBD	0.018631
BTG1	-0.018630
MS4A7	-0.018607
PNP	-0.018505
RPL10	-0.018448
FDFT1	-0.018416
BRK1	-0.018391
ATP5O	-0.018384
KCNK6	0.018377
ADSSL1	0.018329
RAB31	0.018067
CTSS	0.018045
CD9	-0.018041
RGS10	-0.017707
SNRPB	-0.017689
HADH	0.017674
NCOA4	-0.017597
JTB	-0.017561
NRROS	-0.017470
ELL2	0.017416
RPS15	0.017405
PSMB6	0.017326
UBE2A	-0.017313
LAPTM5	-0.017288
GNAI2	-0.017258
RPL37A	-0.017254
COTL1	0.017177
RPL39	0.017165
RAB9A	-0.017133
C14orf2	-0.017087
EIF1AD	0.017075
H2AFY	-0.017061
NDUFA2	0.017050
NDUFA4	-0.017043
RPL18	-0.017034
YPEL5	0.016959
EIF3G	0.016874
PCNA	-0.016844
MSN	-0.016842
CCL13	-0.016785
WDR7	-0.016769
APPBP2	-0.016758
YBX3	-0.016756
MAP7D1	-0.016501
TNFAIP8L2	-0.016449
UQCRC2	0.016401
PPP2R1A	-0.016376
JDP2	0.016354
DDX6	-0.016295
IDH1	-0.016228
CYTIP	0.016227
PCBP1	-0.016188
GPX4	-0.016136
TP53INP1	0.016124
CRIP1	-0.016116
PTGER2	0.016089
S100A4	-0.016074
BLVRA	-0.016049
TFG	-0.015945
SLC30A5	-0.015929
FAM129B	0.015892
TGFBI	0.015866
NDUFV2	-0.015792
EIF5	-0.015731
NARS	-0.015701
COX6B1	-0.015624
LPXN	0.015605
ZC3H11A	-0.015579
SMDT1	-0.015565
STK38	-0.015564
CTSC	-0.015559
BACH1	-0.015469
OXCT1	-0.015448
DYNLL1	-0.015422
TKT	0.015387
MFSD1	-0.015385
OSER1	-0.015359
TP53INP2	-0.015309
CAPG	-0.015278
UQCRC1	-0.015208
TIPARP	0.015150
LAMP2	-0.015134
MRPS21	-0.015121
SFR1	-0.015043
MSMO1	-0.015021
CMTM3	-0.014986
ATP5H	-0.014980
CLEC4D	0.014969
MINOS1	0.014901
PSENEN	-0.014891
DDX5	-0.014886
HPRT1	-0.014886
SARNP	0.014815
LRRC58	0.014790
PLEK	0.014786
RHOQ	-0.014771
UQCR11	-0.014762
SH3BGRL3	-0.014723
C16orf54	-0.014694
WEE1	0.014679
ZCRB1	0.014663
STARD4	-0.014657
LPAR6	-0.014656
POLR2J	-0.014645
FXYD5	-0.014630
NDUFA8	-0.014615
PSMC3	-0.014608
SSB	-0.014548
CSNK2B	0.014535
CTSZ	0.014518
SLC37A2	0.014479
ALOX5AP	-0.014468
RPS16	-0.014432
RASSF4	-0.014426
PFDN1	0.014417
ATP5G2	-0.014407
GDF15	-0.014356
TRAPPC3	-0.014351
GPR183	0.014333
TCIRG1	-0.014321
ASAH1	-0.014310
ATP1B3	-0.014292
SLC38A2	-0.014285
DEGS1	-0.014248
HAVCR2	0.014231
C9orf3	0.014199
RPS14	-0.014086
GDE1	0.014082
WWP1	0.014070
NDUFA3	-0.014067
LYL1	-0.014029
SCPEP1	-0.014013
NDUFB11	-0.013961
ETFA	0.013957
SEC11C	0.013951
TBK1	0.013938
IDI1	-0.013925
DTNBP1	-0.013923
KIAA0196	-0.013855
MAD2L1	-0.013847
ATP6AP2	-0.013827
B4GALT1	0.013786
EMP1	0.013741
FAM96A	0.013724
TNFAIP3	0.013671
COMMD3	-0.013649
RGS19	-0.013628
DOCK11	-0.013610
C11orf31	-0.013585
RHEB	-0.013558
RPS23	-0.013542
CNIH1	-0.013527
EEA1	-0.013512
RANBP1	-0.013491
CCT6A	-0.013463
PTPN6	-0.013446
ITGAM	-0.013379
NDUFB9	0.013358
BRI3	-0.013288
GNG10	-0.013240
HMGN1	-0.013213
CD28	-0.013123
CTSB	-0.013093
SARAF	-0.013092
PLCG2	-0.013086
ATP5C1	-0.013072
VIPAS39	0.013054
DYNLT3	0.013047
PTPRC	-0.013037
SUMO3	-0.013016
DNAJC8	-0.013005
NDUFS6	0.012948
ACADM	0.012869
SGMS1	0.012867
ROCK1	-0.012857
TOP1	-0.012850
TRIAP1	0.012838
CD5L	-0.012836
AGGF1	0.012766
CAPZB	0.012765
B3GNT2	-0.012715
NCAPG2	-0.012707
TMEM165	-0.012683
SET	-0.012658
VPS29	-0.012642
CTSD	-0.012641
ARHGDIA	-0.012591
CSE1L	0.012582
DAD1	-0.012581
TPP1	-0.012547
RPL27	0.012546
PRMT1	0.012537
NPC1	0.012519
ATP6V0C	-0.012493
C20orf24	-0.012464
ANAPC5	-0.012443
TSPO	-0.012439
