!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Mus musculus
!cell	Bone marrow derived macrophages
!perturbation	Dexamethasone
!disease	4h  - 100nM
!end_metadata
DUSP1	0.400292
LPXN	0.153095
TSC22D3	0.147949
SLA	0.133608
GLIPR1	0.133078
FKBP5	0.120351
CCL13	-0.118879
FABP4	0.111993
SGK1	0.108923
KLHL6	0.100627
S100A10	0.100330
KCNK6	0.099375
ZFP36L2	0.096876
STK17B	0.096370
OSBPL8	-0.094683
EVI2A	-0.093462
TIGD2	0.091652
WNK1	0.091025
METRNL	-0.090499
KLF4	0.089328
STX7	0.083036
CYTIP	0.081913
KLF9	0.081127
MS4A6A	0.080613
ADAM8	0.077888
B4GALT1	0.074430
HMGCS1	-0.074406
YPEL5	0.074218
FOS	0.073520
TGFBI	0.072588
RGS2	-0.072571
NFKBIA	0.071111
ELOVL5	0.069437
PEX13	0.068654
ATF3	-0.068633
BASP1	-0.067898
DUSP6	0.067145
MID1IP1	-0.066683
CD300LB	-0.064322
RAB7B	0.063741
FABP5	-0.063629
PID1	0.062951
LIPA	-0.062182
LMO2	-0.061406
APOBEC1	0.061185
MERTK	0.060529
SDC4	0.060503
EIF4A1	-0.059404
IGF1	-0.059330
NPC1	0.058324
HMOX1	0.057917
DDX5	-0.057537
PLK2	-0.057102
CEPT1	0.055133
DDIT4	0.054261
RHOB	0.053567
RAB31	0.053522
INSIG1	-0.052292
TP53INP1	0.052259
ETS2	-0.052129
SEPP1	0.052094
JDP2	0.051969
SLC9A3R1	0.051699
MAF	0.051609
KLF6	0.050633
MPEG1	0.050477
RNASE4	0.050460
SGMS1	0.050154
VAPA	0.050130
GDE1	0.049135
LRP12	-0.048968
SASH1	-0.048726
MKI67	-0.048221
PLIN2	0.048123
ATP6V1A	-0.047769
PRDX1	-0.047632
RPS27A	0.047494
GNS	0.047130
MRC1	0.046314
VIM	0.045823
SPOP	0.045642
RHOJ	0.045491
CCL3L3	-0.045278
FCGR2A	0.044266
PER1	0.044170
HECTD1	0.044069
RNH1	0.043773
GLRX	0.042847
AKIRIN1	0.042717
TM6SF1	0.042186
FTL	-0.041625
RPS4Y1	0.041599
ARL4C	-0.041449
TLR7	0.041293
FMNL2	0.040863
OSBPL11	0.040428
PFN1	-0.039586
SPRYD7	0.039580
CD44	-0.039538
GPR65	0.039498
CCL4	-0.039055
IFRD1	-0.038926
CD28	-0.038799
PCNA	-0.038701
LCP1	-0.038270
WEE1	0.038255
RAPGEF2	0.037774
RBMS1	-0.037463
CYB5A	-0.036996
FRMD4B	0.036993
CPEB4	-0.036960
FDPS	-0.036951
BLNK	-0.036775
KCTD12	-0.036754
FNIP2	0.036561
RAMP2	-0.036527
ARPC2	0.036456
NRP1	-0.036436
SAMHD1	0.036086
IRG1	-0.036051
VDAC2	-0.035979
RPS7	-0.035670
RGS18	0.035609
SERINC3	0.035388
B3GALNT1	0.035376
SPDL1	-0.034774
GYG1	-0.034532
DRAM2	0.034439
BRI3	-0.034419
PLAU	-0.034115
CAPZB	0.034106
CKAP4	0.034095
SNX2	-0.034024
FOXRED2	0.033827
MSMO1	-0.033800
PTPN6	-0.033786
MYLIP	-0.033604
MAN2A1	0.033584
KCNK13	0.033411
KPNA2	-0.033235
CD164	0.033127
H2AFZ	-0.032942
CCND1	-0.032734
ATP1B3	0.032734
TUBA1A	-0.032704
HEXB	0.032676
RPS29	-0.032646
JADE2	0.032465
KIAA1522	0.032399
B4GALT6	-0.032356
RRAGC	-0.032343
CCT6A	-0.032311
RASSF4	-0.032291
PTPRE	-0.032087
RAB8B	-0.032045
NCEH1	-0.032007
GLTP	-0.031899
HNRNPH1	-0.031633
MKNK2	0.031522
PMP22	0.031483
PTPLAD2	-0.031436
AZIN1	0.031406
CD300LF	0.031309
RPS25	-0.031206
COX4I1	-0.031126
TRIM25	-0.030907
CTSV	0.030862
TAF9	-0.030573
IDI1	-0.030540
PPIA	0.030448
SNX5	0.030190
SQLE	-0.029982
RPL6	0.029908
LAMTOR1	-0.029871
EFHD2	-0.029851
LAPTM4A	0.029658
PCBP1	-0.029639
TXNRD1	-0.029587
CD300C	-0.029508
CTSZ	-0.029444
LGALS1	0.029392
NRROS	-0.029324
HSP90AB1	-0.029159
LRRC58	0.029117
SLC15A3	-0.029106
KIAA1598	0.029054
LYN	0.028990
RAB21	0.028934
UVRAG	0.028929
RILPL2	-0.028695
NCOA4	-0.028662
GAB3	0.028608
ZFAND2A	-0.028563
WDFY2	0.028418
C1QB	0.028377
GDF15	-0.028343
FAM111A	-0.028276
FCER1G	-0.028211
RPS27L	-0.028185
PTPRC	-0.028107
EMP3	-0.028029
ACTR2	0.027848
SLC28A2	0.027790
WDR3	0.027649
PSAP	-0.027611
MAT2A	-0.027503
PIK3R1	0.027478
TMEM256	-0.027357
C1orf54	0.027048
LARP4B	0.026962
PICALM	0.026869
TBK1	0.026790
C3AR1	-0.026743
SH3BP5	0.026713
GUSB	0.026658
TDRD7	0.026627
RPS5	-0.026486
SH3BGRL	0.026103
GAS2L3	-0.026095
MCL1	0.026076
PLEK	-0.025858
PTGER2	0.025755
ATF4	-0.025743
WDR26	0.025673
SAP30	0.025636
RAPGEF5	-0.025582
TRPT1	0.025572
PLP2	-0.025482
RDX	0.025437
KLF13	0.025421
DYNLL1	-0.025377
CENPQ	0.025123
STAP1	-0.025046
TRIM2	0.025021
IRF2	0.024904
CEBPB	0.024901
CDC42EP3	-0.024837
GAPDH	-0.024825
CAPG	-0.024778
TBC1D14	0.024749
TGFBR1	0.024728
ANXA1	-0.024727
CNBP	-0.024719
ARL6IP1	-0.024672
GPNMB	0.024638
NOP58	-0.024596
