!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Mus musculus
!cell	Bone marrow derived macrophages
!perturbation	Dexamethasone
!disease	2h  - 100nM
!end_metadata
DUSP1	0.500909
CCL13	-0.212508
ZFP36L2	0.196820
TSC22D3	0.176211
STK17B	0.125164
SGK1	0.119544
KLF4	0.117530
CCL3L3	-0.111012
GLIPR1	0.110151
METRNL	-0.108359
SLA	0.105804
TIGD2	0.105672
RGS2	-0.093073
CCL4	-0.090549
NFKBIA	0.089244
KCNK6	0.087916
FTH1	0.086287
EVI2A	-0.076416
SPP1	-0.074985
FCGR2A	0.074371
PLK2	-0.071126
RPS19	-0.070307
FOS	0.069709
LPXN	0.067442
KLF9	0.067061
CD300LB	-0.066259
RAPGEF2	0.066138
ATF3	-0.065910
RHOB	0.063680
CYTIP	0.063450
TUBA1B	0.063316
MPEG1	0.062617
PER1	0.062223
FABP4	0.062072
ARPC2	0.061889
MYLIP	-0.059214
PEX13	0.057432
SGMS1	0.056897
RPS4Y1	0.056443
FKBP5	0.056195
KLHL6	0.055013
YPEL5	0.054887
EIF3F	0.054528
FAU	-0.053866
RAB7B	0.053774
BASP1	-0.053757
TP53INP1	0.052763
S100A10	0.052760
MID1IP1	-0.052684
DDIT4	0.052275
RPS7	-0.051888
RPS26	0.050810
WNK1	0.050604
PFN1	-0.049134
SLC20A1	0.047349
MCL1	0.047241
CTSD	-0.046948
ATP6V1A	-0.046919
PLIN2	0.046805
RASGEF1B	-0.045274
STX7	0.045220
CEBPB	0.045215
MRC1	0.045192
ACTR2	0.044441
JDP2	0.044395
GPR65	0.043507
B4GALT1	0.043150
COX4I1	-0.043081
ARL4C	-0.042908
WEE1	0.042640
PTPRE	-0.042526
SEPP1	0.042328
H2AFZ	-0.042110
PMP22	0.041931
PPIA	0.041520
ZFP36L1	0.040780
RAMP2	0.040550
LRP12	-0.040356
PLP2	-0.039802
RILPL2	-0.039399
CAPZB	0.039391
KLF6	0.039268
TGFBI	0.039244
ZFAND2A	-0.038861
LMO2	-0.038458
GNS	0.038433
KCNK13	0.037669
ELOVL5	0.037555
WSB1	-0.037360
GAPDH	-0.036973
MS4A6A	0.036912
SLC6A6	-0.036742
RPL19	0.036626
PIK3R1	0.036288
GAB3	0.036274
TRPT1	0.035649
LIPA	-0.035623
HHEX	-0.035363
BRI3	-0.034952
ANXA5	0.034360
EEF1A1	0.034300
MERTK	0.034187
RPS27A	0.034179
CDC42EP3	-0.034177
RNH1	0.034143
WBP5	0.034085
ALCAM	-0.033960
ALDOA	-0.033701
IGF1	-0.033431
ETS2	-0.033288
GDE1	0.033267
ACTR3	0.032938
CD9	-0.032742
SNX3	0.032707
PCNA	-0.032492
PSMD8	-0.032416
FABP5	-0.032212
C9orf3	0.032016
PCBP1	-0.031424
HMOX1	0.031352
NRROS	-0.031163
NACA	-0.031105
BLVRB	-0.031016
RPLP2	0.030908
UBC	-0.030663
FTL	-0.030607
SPOP	0.030571
CD68	0.030541
RPS25	-0.030487
TAGAP	0.030407
TIPARP	0.030368
IER3	-0.030162
PTGER2	0.030036
WDR3	0.029833
MKI67	-0.029795
SASH1	-0.029781
ATP5J	-0.029766
CTSZ	-0.029680
CD300LF	0.029677
RPS17	-0.029651
KPNA2	-0.029596
RNF169	0.029559
SNX2	-0.029543
RAB31	0.029478
HEXA	0.029359
PLAU	-0.029292
TBCA	-0.029228
HMGCS1	-0.029219
APOBEC1	0.029141
CITED2	0.029073
SDC4	0.028858
JADE2	0.028568
TMEM256	-0.028565
VIM	0.028494
C3AR1	-0.028477
TLR7	0.028313
SLC9A3R1	0.028277
LAMTOR1	-0.028215
SQLE	-0.028147
GAS2L3	-0.028126
ADAM8	0.028091
PRDX1	-0.027904
MAF	0.027366
CPEB4	-0.027291
HECTD1	0.027272
STXBP3	0.027166
RPL30	-0.027084
THBD	0.026947
ABL2	0.026590
RPS16	-0.026289
TUBA1A	-0.026220
ABCG1	-0.026211
BTG1	-0.026196
B3GNT2	-0.026150
TRIM25	-0.026131
FDPS	-0.026084
NFE2L2	-0.026059
VAPA	0.026005
DDX5	-0.025789
GPX1	-0.025650
CST3	-0.025647
KIAA1551	0.025636
NDUFA3	-0.025585
RPL12	-0.025575
MAP7D1	-0.025347
LYZ	-0.025334
CBFB	0.025305
AKIRIN1	0.025304
RPS21	-0.025263
TPT1	0.025217
SPRYD7	0.025206
KIAA1522	0.025167
EEF1B2	-0.024997
ADRB2	0.024920
NCOA4	-0.024841
TBK1	0.024795
OSBPL11	0.024725
RPS29	-0.024684
SUMO3	0.024608
MAN2B1	-0.024431
TNF	-0.024345
CIPC	0.024226
BHLHE40	-0.024216
ALOX5AP	0.024111
ACADM	0.024068
AP3S1	-0.024009
ACSL5	0.023997
BRK1	-0.023933
FRMD4A	0.023840
MCM6	0.023735
TM6SF1	0.023653
ELOVL1	-0.023624
DUSP4	-0.023603
RPL18	-0.023588
SNX5	0.023531
CD53	-0.023477
EMR1	0.023368
CTSS	0.023348
KLF13	0.023314
S100A4	-0.023312
TCP1	-0.023298
CPEB2	0.023222
ATP5O	-0.023090
PTPLAD2	-0.022940
CD28	-0.022916
FOXRED2	0.022891
PICALM	0.022883
DYNLL1	-0.022875
RNF7	0.022863
SORD	-0.022837
NRP1	-0.022762
HSP90AB1	-0.022613
B4GALT6	-0.022501
PSAP	-0.022481
ZFC3H1	0.022463
NDUFA1	-0.022438
RAB9A	-0.022357
COX6A1	-0.022313
KCNN4	-0.022302
GLRX	0.022243
RPS13	-0.022205
ANXA2	0.022161
SLC25A5	-0.022084
MLXIP	0.022081
SLC28A2	0.022075
IRF2	0.021906
BTBD1	0.021902
AMD1	0.021870
MDH1	0.021775
LYN	0.021727
EID1	-0.021701
PSME2	-0.021679
CKAP4	0.021573
ATP5A1	0.021555
KIAA1598	0.021461
CCND1	-0.021381
SNX17	0.021377
EMP1	0.021300
GNAI2	-0.021223
HPCAL1	0.021213
CEPT1	0.021186
P4HB	0.021170
CCT2	0.021094
YBX3	-0.021090
MMP12	0.021023
RPL6	0.021021
ANXA4	0.020948
TMA7	0.020931
BIRC3	0.020807
CRIP1	-0.020791
FRMD4B	0.020767
SAMHD1	0.020610
QDPR	0.020604
EFHD2	-0.020577
TOP1	-0.020567
PPP2CA	0.020392
VPS35	0.020365
GADD45A	-0.020323
FCER1G	-0.020284
RASSF4	-0.020276
RPL26	-0.020252
CMAS	0.020243
MKNK2	0.020041
C11orf31	-0.020019
CTSB	-0.020007
RPS23	-0.019911
HINT1	0.019874
SLC39A1	-0.019762
FAM111A	-0.019709
BACH1	-0.019680
VBP1	-0.019677
ATP6V0C	-0.019669
DSTN	0.019661
MAN2A1	0.019649
TFG	-0.019648
ZEB2	-0.019606
REXO2	-0.019573
C7orf60	-0.019544
IDI1	-0.019508
NPC1	0.019506
PTPN6	-0.019450
UQCRC1	-0.019392
NDUFA4	-0.019338
AZIN1	0.019212
ATP6V1F	-0.019201
