!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Mus musculus
!cell	Bone marrow derived macrophages
!perturbation	Dexamethasone
!disease	24h  - 100nM
!end_metadata
SEPP1	0.256519
MMP12	-0.215574
RNASE4	0.193155
LPL	-0.181072
CD9	-0.178157
PLA2G7	0.153482
DUSP1	0.151925
C1QB	0.139843
MRC1	0.134442
MS4A6A	0.129133
LIPA	-0.120734
BASP1	-0.120038
FCGR2A	0.111888
S100A10	0.110296
IGF1	-0.102577
ADAM8	0.102296
F13A1	0.101562
CLEC4D	0.098059
C1QC	0.096212
TGFBI	0.092010
TSC22D3	0.089544
SMPDL3A	0.089305
CREG1	-0.089271
LMO2	-0.087064
LDHA	-0.079944
CD5L	-0.079736
FABP4	0.079149
WNK1	0.078499
STK17B	0.076910
CLIC4	-0.076538
PRDX1	-0.073907
FKBP5	0.073876
MAN2A1	0.072831
LPXN	0.071882
PCNA	-0.071261
RGS2	-0.070425
CTSV	0.069349
SERPINB6	0.068361
STAB1	0.067732
EVI2A	-0.067115
TUBA1A	-0.065016
ANXA1	-0.064500
GLIPR1	-0.064242
SPP1	-0.062746
FTL	-0.062689
LGMN	0.061579
NPY	-0.061059
CCND1	-0.059977
CD36	-0.059212
GPX1	0.059024
EIF4A1	-0.059010
LGALS3	-0.057856
C1QA	0.057817
KLF9	0.055750
PLK2	-0.054762
IFITM3	-0.054501
RNH1	0.053583
NFKBIA	0.053535
SERINC3	0.052941
SLC9A3R1	0.052572
CD72	-0.052531
KCNK6	0.052188
APOE	0.051968
ACTG1	-0.051967
CAPZB	0.051661
MERTK	0.050862
TPI1	-0.050577
PSMB6	-0.050339
FCER1G	-0.050328
MARCO	0.049620
PAOX	0.049507
PSAP	0.049248
CCL13	-0.048683
METRNL	-0.048254
CTSH	0.047833
GAPDH	-0.047524
TRPT1	0.046799
JDP2	0.045971
ARPC2	0.045168
GDE1	0.044920
TIGD2	0.044861
STX7	0.044647
LCP1	-0.043906
H2AFZ	-0.043689
