!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Mus musculus
!cell	LUNG (cultured lung explant)
!perturbation	Dexamethasone
!disease	100 nM - 24 hrs
!end_metadata
DLK1	0.270599
HBG2	0.245850
MGP	0.218273
WFDC2	0.201441
CTSH	0.198835
ATP1B1	0.150163
LOX	0.136854
CYTB	0.129688
MFAP4	0.111628
ALDH2	0.107063
SFTPC	0.104891
ADH1C	0.102678
IGF2	-0.099792
TGM2	0.099503
TUBA1B	-0.093593
RPS8	-0.092383
IFITM2	0.091467
ANXA2	0.091242
F2R	0.091156
GPX3	0.085993
ZYX	0.085586
HBB	-0.080697
PSAT1	0.076133
CTNNA1	0.075894
CSTB	0.074555
EIF4H	0.073997
BTG1	0.071480
ETS2	0.070493
UQCRHL	0.069804
NDUFA6	0.067502
PPP1R3C	0.066316
CEBPB	0.066221
ERRFI1	0.064688
CD9	0.064344
BGN	0.063544
GSTM1	0.063471
SFTPB	0.063383
DRAM1	0.062476
BEX4	0.061893
NREP	-0.061093
KLF9	0.060530
HOPX	0.060115
ND4	-0.059992
COL4A1	0.059978
HOXB5	-0.058725
LLGL2	0.058704
HIST1H2AG	-0.058239
AGRN	0.057954
EMP2	0.057300
HERPUD1	0.056360
RPL39	-0.054342
APOE	0.054330
HIST1H2AH	-0.054139
ATP6AP1	0.054121
RPS25	0.053541
RPS2	0.053480
RPS14	-0.052646
DUSP1	0.052122
RPS7	-0.052047
ZFYVE21	0.051950
MORF4L2	0.050874
DNTTIP1	0.050520
PSAP	0.049304
CSRP2	0.048809
RPL36AL	0.048749
RPS12	0.048316
ABCA3	0.048273
NT5DC2	0.048190
ASS1	0.048133
IGFBP5	-0.047618
ATP1A1	0.047183
RPLP2	-0.046924
CAPN6	-0.046911
ATP6V1E1	0.046384
MDK	-0.045576
ND1	-0.045556
HSD11B1	0.045366
MMP2	0.045299
LAMC1	0.045159
TXNIP	0.045017
SPON2	-0.044302
PIM3	0.042624
RPS6	0.041973
PPP2CA	0.041560
STAB1	0.041371
HIGD2A	0.041089
LGALS1	-0.040938
IRF2	0.040916
CLIC6	0.040772
ATP5G3	0.040152
RPS21	-0.040051
NME7	0.039693
LAMA5	0.039487
RPS15	0.039463
FKBP5	0.039284
VCP	0.039083
HBZ	0.038897
TCF21	0.038759
HNRNPC	0.038723
IMP3	0.038495
CDH16	0.038494
HN1	-0.038442
ISCU	0.038341
LGI3	0.038328
SERPING1	0.038176
RASL11B	0.038095
LOC728392	-0.037942
RPL18	0.037917
CPM	0.037466
NAPSA	0.037189
GAS6	0.037122
HIF3A	0.036777
TMEM213	0.036771
CYTH3	0.036764
WDR45	0.036314
PTTG1IP	0.036300
FXYD6	-0.035906
SLC25A5	0.035414
ARMCX2	-0.035095
COL4A2	0.035024
HSPB8	0.034991
C11orf31	-0.034768
RPL10A	0.034737
ANXA3	0.034392
HIST1H2AE	-0.034218
SLMO2	0.034043
COL18A1	0.034001
CLDN3	0.033974
EMCN	0.033924
LXN	-0.033893
FAM129B	0.033890
ELOVL5	0.033710
PDLIM1	0.033702
XBP1	0.033513
SBK1	-0.033486
TACSTD2	0.033456
WBP5	0.033413
AGER	0.033115
LYPLA2	0.032891
PGM1	0.032818
SSR4	0.032381
BCL6	0.032319
EEF2	0.032307
PLAGL2	0.032162
PPP1R3B	0.031984
TGFBI	-0.031826
ACTA2	-0.031821
RPL3	0.031663
TAGLN2	0.031645
NUPR1	0.031633
H19	0.031582
ACTN1	-0.031581
HNRNPM	-0.031497
RNPEPL1	0.031374
PGS1	0.031348
SUDS3	0.031279
HJURP	-0.031096
KLF5	0.031027
CAV1	0.030937
CLDN10	0.030935
MYL6	0.030795
AKAP5	0.030546
COX4I1	0.030415
SUMO2	-0.030331
WBP2	0.030080
ADCY2	0.030035
RAB25	0.029871
IGFBP4	0.029854
RBP1	-0.029794
PPAP2B	0.029785
ITM2B	0.029751
CSRP1	-0.029310
STT3B	0.029288
HSP90AB1	0.029204
PSMA2	-0.029196
TST	0.029092
AKR1A1	0.029074
EGR1	-0.028898
ACTB	0.028845
GADD45G	0.028820
PRNP	0.028755
FSTL1	0.028749
LMO2	-0.028694
OSBPL9	0.028626
SCAMP1	0.028621
HEY1	0.028551
ODC1	-0.028547
LRP10	0.028472
NDUFA4	-0.028417
RABAC1	0.028322
NDUFA13	0.028296
MIF	0.028278
TRIM8	0.028067
PYGL	0.027958
UQCC2	-0.027654
RNF181	0.027468
KRTCAP2	0.027451
ALAD	0.027310
TF	0.027255
GUK1	-0.027082
YPEL3	0.027081
