!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Homo sapiens
!cell	MM1S (GC sensitive)
!perturbation	Dexamethasone
!disease	1µM
!end_metadata
DDIT4	0.153919
FKBP5	0.094202
LY86	0.077975
ZC3H12A	0.071420
BCL6	0.067938
PIK3IP1	0.060684
FBXO32	0.060112
TSC22D3	0.057591
SMAP2	0.056803
HES6	-0.053750
MIAT	0.053080
TMSB15A	-0.050655
PBK	-0.048934
CXCL13	0.048337
TRIM31	0.046813
GFOD1	0.046807
HMMR	-0.046628
SCD	-0.046603
BUB1	-0.045948
INSIG1	-0.045535
KLF9	0.045503
ASPM	-0.045144
HJURP	-0.044591
CCNB2	-0.044499
HNRNPL	-0.044437
RAB32	0.044295
TOP2A	-0.044157
NCAPG	-0.043994
CDC20	-0.043437
RRM2	-0.042844
KIF14	-0.042689
CDC45	-0.042377
DLGAP5	-0.042118
CKAP2L	-0.042072
APOBEC3B	-0.042048
FANCI	-0.041896
SESN1	0.041886
PRC1	-0.041704
CCNA2	-0.041424
CCL3L3	-0.041135
MELK	-0.041082
PTTG1	-0.041079
RAD51AP1	-0.041029
ANKRD37	-0.040897
TTK	-0.040861
CXCR4	0.040746
SLC22A23	0.040598
PHGDH	-0.040559
LDLR	-0.040552
OIP5	-0.040321
CDCA3	-0.040316
CEP55	-0.039630
PLK4	-0.039589
TPX2	-0.039543
KIF20B	-0.039498
CDK1	-0.039235
CCL3	-0.039234
SLC9A9	0.039155
CD53	0.038809
AURKA	-0.038630
CDCA2	-0.038527
PTTG3P	-0.038362
TRAPPC6A	0.038311
CDCA5	-0.038103
CCND3	0.037856
CDKN3	-0.037846
CREB3L2	0.037629
TYMS	-0.037421
AURKB	-0.037303
CHEK1	-0.037173
UBE2T	-0.037086
CENPM	-0.036979
TRIP13	-0.036872
CCDC58	-0.036847
PARD3	0.036782
RGL1	0.036701
CCL3L1	-0.036697
CENPA	-0.036629
C16orf59	-0.036591
PNOC	0.036563
RRM1	-0.036460
TMEM150A	0.036186
CCNB1	-0.036116
DDIAS	-0.036103
TLE1	0.036016
MCM4	-0.035935
GINS2	-0.035927
SPC24	-0.035883
MYB	-0.035713
KIF20A	-0.035683
DHCR24	-0.035542
GCSAM	0.035451
POC1A	-0.035325
KIF2C	-0.035262
NUSAP1	-0.035049
BARD1	-0.034835
KIF11	-0.034802
CENPF	-0.034734
UBE2C	-0.034731
BRSK1	-0.034532
CDT1	-0.034428
WDR34	-0.034326
KDM5B	0.034225
GMNN	-0.034144
TGFBR2	0.034020
S100A9	0.033940
NUAK1	0.033896
CHAF1B	-0.033888
DTL	-0.033813
HSPA4L	-0.033780
TK1	-0.033719
IQGAP2	0.033596
KIF15	-0.033521
NUDT16	0.033424
KIFC1	-0.033222
CKS1B	-0.033165
SPDL1	-0.033132
SERTAD2	0.032942
SAPCD2	-0.032881
FAR2	0.032868
ATAD2	-0.032788
ARHGEF3	0.032785
ISG20	0.032748
