!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Homo sapiens
!cell	Mononuclear cells
!perturbation	Dexamethasone
!disease	Epilepsy - glucocorticoid dexamethasone (20 mg/m2) - 24 hrs
!end_metadata
VSIG4	0.128340
IL1R2	0.084046
DDIT4	0.081178
NOG	-0.078825
LGALS2	-0.070805
HRASLS	0.070310
FCER1A	-0.067296
IFI44L	-0.064900
LPL	0.061570
CD163	0.060870
ZBTB16	0.060238
CLEC10A	-0.058889
MYL9	0.058825
TREML1	0.056373
PTGDS	0.053777
CMPK2	-0.049565
CDKN1C	-0.049514
EPHX2	-0.048987
IFIT1	-0.048553
ALOX12	0.048302
NAT8B	0.047659
FLT3	0.047653
ELOVL7	0.046597
MMRN1	0.045617
SH3BGRL2	0.045552
NEXN	0.044906
LRRN3	-0.044809
NELL2	-0.044386
FKBP5	0.044218
RHOBTB1	0.044126
FHIT	-0.044101
SLC16A10	-0.043900
CLEC1B	0.043801
LCN2	0.043475
B3GALT2	0.042976
CES1	0.042960
STAT1	-0.042883
PROS1	0.042761
RSAD2	-0.042348
SLC35E2	0.041915
LHFPL2	0.041628
HSPB1	-0.041480
STAG3	0.041243
TRBV27	0.041209
TTC7B	0.041089
ITGA2B	0.041076
LEF1	-0.040708
LOC100130938	0.040230
TNFSF4	0.040028
MAN1C1	-0.039804
HIST1H2BC	0.039471
CMTM5	0.039356
MAL	-0.039130
TRABD2A	-0.039054
FAM179A	0.039023
PDZK1IP1	0.038897
P2RY12	0.038618
SIGLEC16	0.038448
GAS2L1	0.038228
XK	0.038102
FCGR1B	-0.038084
HEXIM2	0.038074
MLH3	0.037992
ANXA1	0.037934
FOSB	0.037298
LOC101928307	0.037262
RBP7	0.037207
CD83	-0.037130
LINC00282	-0.036759
SPARC	0.036708
CXCR6	0.036708
NR3C2	-0.036601
PTGS1	0.036578
C2orf88	0.036396
HIST1H2AE	0.036345
NME8	0.036074
LTBP1	0.035848
RNASE2	0.035766
BEND2	0.035640
EGF	0.035562
LGALS3BP	-0.035520
SNORA72	-0.035439
EGR2	-0.035247
A2M-AS1	0.034913
RNASE6	0.034674
ADTRP	-0.034210
POLE2	-0.034105
GP9	0.034041
LEF1-AS1	-0.033981
LILRA4	-0.033757
TRIM58	0.033540
IFIT3	-0.033527
KCNJ2	0.033318
CEBPD	0.033222
THBS1	0.033050
ASAP2	0.033008
SCML1	-0.032925
MARCKSL1	-0.032917
GFOD1	0.032782
LOC100130872	0.032767
HIST1H2BJ	0.032721
NRGN	0.032699
MCEMP1	0.032678
IRX3	0.032564
HIST1H2BE	0.032559
SPC25	-0.032514
C19orf33	0.032466
CCL4	0.032457
H2BFS	0.032445
CHI3L2	-0.032444
FAM81B	0.032443
HIST1H2BI	0.032407
ADRB2	0.032335
PRKAR2B	0.032218
FAM213A	-0.032118
UGT2B17	0.032101
MARC1	0.032024
EPSTI1	-0.032001
ARMCX2	-0.031924
TMEM158	0.031904
DDX11L2	0.031897
ADAMTS2	0.031827
TUBB1	0.031821
RAB27B	0.031784
TMEM40	0.031777
LOC100505650	0.031617
AQP10	0.031350
MARCH2	0.031239
CTTN	0.031215
TNFRSF17	0.031163
HOOK1	-0.031140
SELP	0.030912
TCF7L2	-0.030888
PVALB	0.030856
HIST1H2BF	0.030625
PRTFDC1	0.030600
TMEM140	0.030586
TSPAN33	0.030571
PDCD4-AS1	-0.030318
EMR1	-0.030312
DCHS1	-0.030204
GUCY1B3	0.030114
FKBP1B	0.030080
CA2	0.030077
HTRA1	0.030017
FN1	0.030013
SESN1	0.029977
PF4V1	0.029966
TMEM45A	0.029962
MX1	-0.029961
ST6GALNAC3	0.029931
JADE3	0.029820
PGRMC1	0.029796
ZNF185	0.029752
CLHC1	0.029681
GP1BA	0.029629
GPR34	0.029604
TCN2	0.029603
PKHD1L1	0.029591
ABLIM3	0.029525
RPH3A	-0.029473
FRMD3	0.029442
HCAR3	-0.029419
TCF7	-0.029389
GRHL1	0.029287
HIST1H2BH	0.029254
HIST1H2BD	0.029057
GPR25	0.029039
NFIL3	0.028781
