!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Homo sapiens
!cell	Mononuclear cells
!perturbation	Dexamethasone
!disease	Epilepsy - glucocorticoid dexamethasone (20 mg/m2) - 2 hrs
!end_metadata
DDIT4	0.129153
ZBTB16	0.117488
EGR2	-0.089825
FKBP5	0.088907
SLC1A3	0.078249
CD163	0.074096
SESN1	0.073008
IL1R2	0.068183
KCNJ2	0.065562
TNFSF8	0.064328
LGALS2	-0.061414
JADE3	0.060233
FCGR1B	-0.059326
C5AR1	-0.058446
GFOD1	0.058359
EGR1	-0.057842
NOG	-0.055469
CD14	-0.055328
CD83	-0.053292
CD300LF	-0.052973
CEBPA	-0.052681
CLEC4E	0.051077
CSF1R	-0.050702
PDZK1IP1	0.050239
OLIG1	-0.050118
CXCL8	-0.048922
CLEC10A	-0.048336
CLIC3	0.048106
CCL4	0.048026
MMRN1	0.046551
ANKRD55	0.046086
TREML1	0.046036
PTGS2	-0.045724
JUNB	-0.044964
FBXO32	0.044899
DUSP6	-0.044744
MARCKS	-0.044724
SPI1	-0.044411
AGPAT9	-0.044371
CXCR4	0.044124
CACNA2D3	-0.044018
YPEL1	0.043582
RHOBTB1	0.043488
LPL	0.043373
C15orf54	0.043009
IGSF6	-0.042461
LOC285812	0.042374
CCND3	0.042141
KIR2DS2	0.042080
GRAMD3	0.041875
FCER1A	-0.041485
IL6ST	0.041121
ELOVL7	0.041081
ARL4A	0.040673
DMXL2	-0.040436
TLE1	0.040198
TTC7B	0.040198
LOC100505650	0.040133
SPON2	0.039986
KLRD1	0.039916
EVA1C	0.039753
TYMP	-0.039517
LOC100130872	0.039412
ENPP5	0.039132
SOCS1	0.039117
XK	0.039025
TXK	0.038797
SLC2A6	-0.038759
HCAR3	-0.038521
SLA	0.038481
LCN2	0.038436
KIR3DL1	0.038309
SH3BGRL2	0.038104
LIMD2	-0.037959
KLF4	-0.037951
KIR2DL2	0.037792
PROS1	0.037749
HMOX1	-0.037716
HIST1H2AE	0.037709
CCR1	-0.037669
CPVL	-0.037414
NFIL3	0.036455
PIK3IP1-AS1	0.036285
PRDM1	0.036242
HIST1H2BC	0.036175
LMO2	-0.036007
MEIS3P1	0.035993
P2RY12	0.035954
CD200	0.035943
MLH3	0.035895
SGK1	-0.035804
CXCR6	0.035759
CPM	0.035600
SMAP2	0.035451
SRGAP2	0.035351
ID3	-0.035331
SCO2	-0.035079
GVINP1	0.034978
SPARC	0.034806
PBX4	0.034697
ANXA1	0.034465
TLR1	-0.034445
ADAP2	-0.034400
SLC46A2	-0.034181
HIST1H2BO	0.034150
MNDA	-0.034074
MS4A14	-0.034015
LOC149401	0.034000
RIN2	-0.033889
KIAA0485	0.033871
