!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Chlorocebus aethiops; Homo sapiens
!cell	COS1 cells (transfected with mCCRP-V5)
!perturbation	Dexamethasone  6 hrs
!end_metadata
RPS20	0.236777
PLK2	-0.214157
RPLP0P2	-0.185023
MT1L	0.160680
UBB	-0.155623
RPS6P6	0.154917
MT1X	0.154435
MT1H	0.153942
DNAJC7	-0.148078
CYR61	-0.145674
TUBA1B	-0.141929
OAZ1	0.132982
ANKK1	0.127557
COX8A	-0.127172
UBC	-0.126710
CD63	-0.116215
RPL19	-0.116036
MT1B	0.111538
RPS18	-0.110069
HMGN2P46	0.104623
MT1G	0.103400
MT1A	0.096585
RPS6	-0.092793
HCN2	0.084799
AMOTL2	-0.082532
RPL8	0.081666
MANF	0.080749
SERTAD1	-0.080274
RPL27	-0.080253
TNFRSF12A	-0.080248
RPL31	-0.079833
GAPDH	-0.079712
IER2	-0.078510
ACTB	-0.078333
HSPA8	-0.076518
TIPARP	0.076426
HSPA1A	-0.074205
VIM	0.071941
BCAM	-0.069826
C14orf166	0.067829
TUBA1A	-0.067010
RPL36AL	0.066656
C1QBP	-0.065019
RPL26	0.064839
MT2A	0.064450
PHOX2A	-0.064311
GDF15	-0.064171
SERPINA3	-0.063896
ARPC2	0.063544
EIF1	-0.063092
MYL12B	0.062197
H3F3C	-0.061914
LDHB	0.059865
RPL19P12	0.058335
PHB2	-0.058195
ATP5H	-0.058118
RPL14	0.057968
RCOR2	-0.056484
HLA-J	-0.056194
AQP1	-0.056075
SNORA78	-0.054803
HLA-C	-0.054676
TUBA1C	-0.054523
RPS11	-0.054136
ATP5A1	-0.053553
RPS4X	0.053478
IER3	-0.053457
YWHAB	0.053019
NCOR2	0.051580
ALDOA	-0.050237
MT1E	0.050147
RPLP2	-0.049898
RPL32	-0.049236
TMEM14B	0.049083
IFITM3	-0.048933
SREBF1	-0.048533
MAT2A	-0.047700
CDKN1C	0.047495
RPS13	0.047005
H2AFX	-0.046609
RPS15	0.046376
MVD	-0.046131
PRDX1	0.046028
DCUN1D5	-0.045966
HSP90AA1	0.045357
DBI	0.044921
RPLP1	-0.044824
ATP5G2	-0.044759
RPSA	0.044738
UBE2S	-0.044585
HSPE1	-0.043786
EDARADD	-0.042820
EDN1	0.042424
ENO3	-0.042318
LGALS1	-0.041930
RASD1	0.041226
PPIAP30	-0.039117
RPS21	-0.038555
LOXL1	-0.038476
RPL23	0.038197
PPDPF	-0.038064
ACTG1	-0.037905
TXN	0.037558
COX7A2	0.037518
GSTP1	-0.037429
DNAJB1	-0.037380
MYL12A	-0.037169
SEC61G	-0.037113
HLA-G	-0.036781
JUND	-0.036758
SNRPD1	-0.036268
RANBP1	0.035982
PPIA	-0.035827
RPS3	0.035807
PSMA5	0.035775
ANXA11	0.035374
CD24	0.035348
TUBB2A	0.035229
PABPC1	0.035161
TRIB3	-0.035157
GRN	-0.034851
NFE2L1	-0.034682
FOXC1	0.034542
IGFBP7	-0.034463
RPLP0	-0.034344
HOXA3	-0.033609
ZNF579	-0.033419
MRFAP1	0.033054
ENC1	-0.032859
FHIT	-0.032343
NDUFS5	0.032080
TMEM258	0.032030
CNNM4	0.031856
HSPB1	-0.031520
RPL12	-0.031387
DEXI	0.031218
ANXA2	-0.030745
BMP8B	-0.030735
MINOS1	0.030606
VDAC3	0.030572
PRR5	-0.030496
CWC15	0.030383
KLC3	-0.029964
TMEM205	-0.029801
TRIM24	0.029615
ATP1B3	0.029512
CTPS1	-0.029427
FOLR1	0.029090
CNPY2	-0.028673
TROAP	-0.028645
RPS25	0.028594
S100A2	-0.028592
H3F3B	-0.028435
HLA-F-AS1	-0.028367
PFN1	-0.028313
FHL2	-0.028276
RPS2P32	-0.028190
PPIF	-0.028168
DLGAP3	0.028042
HSPH1	-0.028038
RPL7A	-0.028025
HSP90AB1	-0.027999
MYL6	-0.027900
JUN	-0.027678
RPS24	0.027648
CD81	-0.027619
HLA-B	-0.027205
MRPL14	-0.027041
RPS16	0.026982
MRPL51	0.026852
CAPG	-0.026828
ATP5B	-0.026609
NDRG1	0.026521
GFPT2	0.026240
FBL	-0.026238
RPL11	-0.026236
NOP56	-0.026166
NDUFB8	-0.026150
PRDX4	0.025977
EEF1A1	-0.025950
EEF1G	-0.025902
TMSB4X	-0.025715
UQCRH	0.025708
RPL41	0.025682
TUBB6	0.025579
SLC35E4	-0.025539
PSMA6	0.025422
PSMA7	0.025401
RPS19	0.025284
HERPUD1	-0.025282
NDUFA4	0.025273
ATXN2L	-0.025236
PSMA3	0.025198
TMEM175	-0.025177
RPS23	0.025120
KTN1	0.025095
FSTL1	-0.024985
PNP	-0.024979
HAX1	-0.024899
CAPN2	0.024878
C11orf73	0.024872
HSPD1	-0.024791
GPER1	0.024638
MCM7	-0.024620
HNRNPM	0.024480
LOC644936	-0.024466
GTF3C6	0.024435
PCDHB13	-0.024331
BRD2	-0.024312
BCL2L12	-0.024298
U2AF1	0.024278
PLOD3	-0.024162
FAM129B	-0.024098
HIST1H3C	-0.024058
VARS2	0.023895
PRNP	-0.023861
CFL1P1	-0.023785
MFN2	0.023671
PFN1P2	-0.023662
CDK4	0.023658
FKBP2	0.023603
SAT2	-0.023592
RPS8	-0.023592
FUT6	-0.023504
SERF2	-0.023491
LAMB1	-0.023447
B2M	-0.023394
ATP5G3	0.023387
GALR3	-0.023355
PTTG1	-0.023291
MRFAP1L1	0.023259
EIF4A1	-0.023244
RPL3	0.023107
IGFBP2	-0.023074
C6orf48	0.022991
MRPL9	-0.022932
DUSP1	0.022850
THOP1	-0.022827
HMGN1	0.022783
PARP10	-0.022725
HSP90B1	-0.022633
RPL5	0.022588
NAA38	-0.022587
TAF15	0.022586
ATP6V0C	-0.022555
RPL27A	-0.022500
EDN2	-0.022495
RPL36	0.022450
LAPTM4A	-0.022398
ERP29	-0.022376
CEBPD	0.022342
METRNL	0.022338
COPB2	0.022317
PSMA2	0.022285
AXL	-0.022256
VHL	-0.022235
PCBD1	-0.022190
RPL13A	-0.022108
SNRNP70	-0.022070
EIF6	-0.021959
H2AFV	0.021929
EEF2	-0.021898
S100A13	-0.021771
MRPL47	0.021689
ATP1A1	0.021681
SMIM3	0.021680
CTBP2	0.021478
TRIP6	-0.021399
PALM2-AKAP2	-0.021035
BTF3	0.021035
PLSCR3	-0.021021
RPL37A	-0.020932
NCSTN	-0.020906
RAP1A	0.020885
DHCR7	-0.020807
NDUFV2	0.020761
EIF4G2	-0.020625
ZNHIT1	-0.020623
PFKP	-0.020547
HN1	-0.020510
KIAA0020	-0.020500
RPS29	0.020494
COA4	-0.020314
CALR	-0.020225
FLJ22184	-0.020154
ENO1	-0.020133
MIF	-0.020123
NDUFC1	0.020083
KRT81	-0.020081
RPSAP52	-0.020073
KBTBD11	0.020046
CKB	0.020036
ATP5E	0.020027
PABPC3	-0.019871
H2AFZ	0.019719
DDOST	-0.019714
MRPL18	0.019703
LAMP1	-0.019610
AKR1B1	-0.019608
EGR1	-0.019504
NDUFA8	0.019225
TRMT5	0.019200
TUFM	-0.019176
UBXN1	-0.019163
LIG1	-0.019135
TMEM191B	-0.018992
CTSL	-0.018848
SYCE1L	0.018761
RAX2	-0.018751
CCT7	-0.018728
UQCRQ	-0.018689
PCBP1	-0.018597
RPL7	-0.018596
TUBA3D	-0.018477
ASNS	-0.018390
ALPK2	-0.018385
SRP72	0.018316
S100A10	-0.018293
PTTG1IP	0.018267
CHCHD10	-0.018243
NDUFB4	-0.018226
LMCD1	0.018062
FKBP10	-0.018036
NOP16	-0.018016
COL4A2	-0.017947
CCT3	0.017856
INAFM1	0.017831
TCEB1	0.017816
SF3B6	0.017778
COL18A1	-0.017706
AP3D1	0.017658
TECR	-0.017614
HCN4	-0.017550
PDCD5	0.017505
ILDR1	-0.017422
CKS1B	0.017353
CASKIN1	-0.017259
EFTUD2	-0.017248
HIST1H4C	-0.017161
SLC25A5	0.017114
TOMM6	0.017078
NFKBIA	0.017039
EDF1	-0.017005
BEX1	-0.016918
RNF149	-0.016904
RPL28	-0.016821
BCAP31	-0.016816
BAD	-0.016726
VDAC2	0.016724
MALAT1	-0.016720
TRAM1	0.016710
UCHL1	0.016677
HNRNPF	-0.016663
HMGB2	-0.016638
FTL	-0.016618
TPI1P2	-0.016601
RBBP7	0.016526
HIST1H3A	-0.016489
GPR150	-0.016425
NDUFS8	-0.016346
OGFOD1	0.016318
DCTPP1	-0.016133
AASDHPPT	-0.016103
SAE1	-0.016039
ATP5G1	0.016032
NUDC	0.016003
CSRP1	-0.015992
ARHGAP33	-0.015972
SSR4	-0.015889
MEA1	-0.015868
SGK1	0.015866
POP7	-0.015820
ATF4	-0.015785
PTTG2	0.015782
SLC25A39	-0.015780
OST4	-0.015725
NPM1	0.015673
RPL13AP3	-0.015657
BOLA2B	-0.015654
PSMD7	0.015629
ATP5L	0.015616
SEPT9	0.015554
HIST3H3	-0.015467
MRPS6	0.015426
FAT1	-0.015406
EEF1B2	-0.015371
LCE1D	-0.015315
PIEZO1	-0.015304
RARS	-0.015267
C11orf31	-0.015253
PSMA4	0.015205
CRTC1	-0.015183
VASN	-0.015150
CLNS1A	0.015143
HLA-E	-0.015133
MAP7D1	-0.015083
TMEM132A	-0.015070
TEX40	0.015000
CAPNS1	-0.014921
SNRPG	0.014916
TGFB2	-0.014892
HAT1	0.014888
LCE5A	0.014853
DNM1P35	0.014848
WIPI2	0.014828
IL4R	-0.014768
HLA-H	-0.014679
PTMA	0.014645
ACTN1	-0.014608
BBC3	-0.014592
ATPIF1	-0.014570
PUF60	-0.014520
PSAT1	-0.014495
DDX23	-0.014387
TUBB	-0.014335
MRPS36	0.014334
DPF2	-0.014267
RAB34	0.014261
DNAJB11	-0.014245
RPL35A	-0.014241
CYC1	-0.014210
MLEC	0.014199
PIN1	-0.014199
UBL5	0.014186
ATF3	-0.014157
MTA1	0.014127
NDUFAB1	0.014117
RPS2	-0.014056
PTRF	-0.014047
SRSF5	0.014040
FCRLB	-0.014035
GCN1L1	0.014016
KRTAP2-4	-0.014012
ANXA2P1	0.013979
EIF3H	0.013973
DBN1	-0.013915
TPI1	-0.013909
EIF3C	-0.013907
ZNF593	-0.013905
C17orf96	-0.013894
ZWINT	0.013849
ANAPC13	0.013848
CYP51A1-AS1	-0.013846
OGFR	-0.013807
CDC42EP5	0.013803
CDKN2C	0.013774
MBOAT7	-0.013761
COX6B1	0.013728
NEDD8	-0.013719
KIAA1522	-0.013693
HSPA4	-0.013641
FUS	-0.013623
DSTN	0.013613
MRPL13	0.013595
KLF16	-0.013562
SLC25A4	0.013537
RPL9	0.013456
PITPNA	0.013426
MAFG	-0.013418
MAGOH	0.013374
ERRFI1	0.013309
MYO1C	-0.013301
PTDSS1	0.013231
RPL21	0.013172
ODC1	0.013157
COPS5	0.013156
RHOC	-0.013147
MYPOP	-0.013133
SLC12A7	0.013080
YAP1	-0.013071
PRDX6	0.013051
VPS28	-0.013031
GGT6	-0.013021
RIC8A	0.012941
CLIC1	-0.012891
PRCP	0.012889
EMG1	0.012878
KMT2C	-0.012865
KIF2C	-0.012835
UBALD2	0.012787
PHGDH	-0.012763
EIF4G1	-0.012734
RIPK1	0.012703
PSMB1	-0.012699
MDH2	-0.012652
PWP1	0.012644
GSK3A	-0.012635
IFFO2	-0.012627
HTRA3	0.012574
LONP1	-0.012550
FKBP3	0.012545
HSF1	-0.012535
HYPK	0.012523
UBOX5	-0.012511
STAU1	-0.012463
HS2ST1	0.012403
TSPAN10	-0.012401
SPATA2L	-0.012359
EFHD2	0.012337
CFL1	-0.012306
