	GeneSymbol	ENS96	baseMean	log2FoldChange(Ctr/Dexa)	lfcSE	stat	pvalue	padj
ENSMUSG00000000001	Gnai3	ENSMUSG00000000001	4617.36814719652	-0.0766793139204628	0.138259083840432	-0.554605974454164	0.579164201632805	0.999923294692819
ENSMUSG00000000028	Cdc45	ENSMUSG00000000028	907.79706925481	0.00318418743388685	0.511690362054885	0.00622287944040912	0.995034892615773	0.999923294692819
ENSMUSG00000000031	H19	ENSMUSG00000000031	111.433705749676	0.200823407669506	0.769395470992642	0.261014543548602	0.794081291789269	0.999923294692819
ENSMUSG00000000037	Scml2	ENSMUSG00000000037	213.070481101863	-0.667142909198157	0.225566965482188	-2.95762683056016	0.00310017182224966	0.382442100219329
ENSMUSG00000000049	Apoh	ENSMUSG00000000049	1.67011563716271	-0.860670320431363	1.27796774560102	-0.673467952062118	0.500649630739508	NA
ENSMUSG00000000056	Narf	ENSMUSG00000000056	1520.97237990485	0.0376513575843648	0.220830269945217	0.170499078743622	0.864617658812446	0.999923294692819
ENSMUSG00000000058	Cav2	ENSMUSG00000000058	533.794852387169	0.203558210809973	0.207436314277463	0.981304606760885	0.326442551670478	0.999923294692819
ENSMUSG00000000078	Klf6	ENSMUSG00000000078	2406.75072277966	0.168177139376003	0.186882003574262	0.899910832287142	0.368167705023875	0.999923294692819
ENSMUSG00000000085	Scmh1	ENSMUSG00000000085	487.248394918826	0.0243369989673076	0.257435528353159	0.094536286902565	0.924683158726117	0.999923294692819
ENSMUSG00000000088	Cox5a	ENSMUSG00000000088	2083.69297908575	-0.0665671424104452	0.26434224529414	-0.25182180902025	0.801178799275171	0.999923294692819
ENSMUSG00000000093	Tbx2	ENSMUSG00000000093	5.04905449904097	-0.103388981165574	0.700500739881015	-0.147592964974078	0.882664007430681	0.999923294692819
ENSMUSG00000000120	Ngfr	ENSMUSG00000000120	9.57319245559108	-0.552244249678282	0.485859773715735	-1.1366329948554	0.25569174085858	0.999923294692819
ENSMUSG00000000125	Wnt3	ENSMUSG00000000125	23.7262915372623	0.173364704099248	0.303849196150529	0.570561667747054	0.568296808708978	0.999923294692819
ENSMUSG00000000126	Wnt9a	ENSMUSG00000000126	12.0775419606201	0.118018588700276	0.449574152462349	0.262511952819973	0.79292677138456	0.999923294692819
ENSMUSG00000000127	Fer	ENSMUSG00000000127	1167.28081711889	-0.0704873904312962	0.104541322549427	-0.674253861653316	0.500149931630996	0.999923294692819
ENSMUSG00000000131	Xpo6	ENSMUSG00000000131	4039.48605910303	0.135616336192775	0.0791890789071218	1.71256362701017	0.0867928496813105	0.999923294692819
ENSMUSG00000000134	Tfe3	ENSMUSG00000000134	1194.93219575266	0.103907997674299	0.127933648944592	0.81220225117867	0.416675588017564	0.999923294692819
ENSMUSG00000000142	Axin2	ENSMUSG00000000142	726.175988979417	0.0792411054858123	0.381113989807332	0.207919697531628	0.835291668852671	0.999923294692819
ENSMUSG00000000148	Brat1	ENSMUSG00000000148	1474.74021381444	0.0160365922344591	0.104813025683115	0.153001901528376	0.878396775745036	0.999923294692819
ENSMUSG00000000149	Gna12	ENSMUSG00000000149	7312.27575807043	-0.0368979687462884	0.158479066839171	-0.232825504858213	0.815896907086847	0.999923294692819
ENSMUSG00000000167	Pih1d2	ENSMUSG00000000167	38.1996787819693	-0.357809918242836	0.286634663648506	-1.24831349317057	0.211916274744764	0.999923294692819
