gene_short_name	CD-coefficient	Significance
Mup20	0.31244930328772413	-0.03614476590786353
Hp	0.23790842431538067	-0.027409694537485485
Apoc3	0.2258870981974655	0.02017013605782536
Serpina1e	0.2213663801870872	-0.03025150196472437
Apoa1	0.16251838068101299	0.020201059209954533
Cyp2e1	0.1440548723915614	-0.00039078492454236446
Mug1	0.13609496931203668	-0.0361146660951418
Cyp3a11	0.09351043529526303	-0.0005231591254655776
Serpina1c	0.07068813389803509	-0.030265394967379233
Ttr	0.07004179793949411	-0.014751051713873475
Serpina1b	0.06454475643452884	-0.030272326704216312
Cyp2b10	0.04869300269876032	-7.70020119724435e-05
Saa1	0.0484282700161602	-0.03161325912457458
Mt1	0.047540701495010974	-0.035966819621566004
mt-Nd6	0.044125712808886365	4.440892098500626e-15
Apoh	0.04315862751086927	0.02015866533138777
Serpina1d	0.04181687817755606	-0.030258432625926868
Tat	0.03759435646730091	-0.022915247427548247
Lcn2	0.036083277583250174	-0.03251202944888765
Hpd	0.03532580696614081	-0.027436263214680123
Saa4	0.03282183470723019	-0.031594584658299785
Fmo5	0.03208869724439347	-0.017137856697453435
mt-Nd1	0.03207497231375038	-0.003487515059818369
Gc	0.02819996906589638	-0.01919072249276388
Sdc4	0.02680975379271299	-0.03098856634063396
Cyp4a14	0.02615001828021322	-0.00064014095196821
2015-09-15 00:00:00	0.025954389021061536	0.0009883401190199756
Cps1	0.02587354674575204	0.0030341716410859088
Mt2	0.025162711124626494	-0.03596951785049751
Gpx4	0.024078152573460066	-0.023881633319549178
Lrg1	0.024036409552813703	-0.03329448772095539
Tdo2	0.022752271805573335	-0.022039901354819702
Apoa4	0.0225806716728662	0.020192564849703748
Cyp4a10	0.021595249518732804	-0.0005962237561985273
Agt	0.02108072716758407	0.020033620810691717
Por	0.02068006209976843	-0.03632872296107892
mt-Nd4	0.020025737449351537	-0.00178236798947784
Serpina3n	0.019154556489667858	-0.030211822828219992
Rbp4	0.017572954230892755	-0.03410866774890131
Tmbim6	0.017140369004368557	-0.01996283319861969
Cdo1	0.01712345178048117	0.009415672465325958
