gene_name	CD-coefficient	Significance
Abcb1b	0.2825148826897315	-0.013347178828739335
Srd5a2	0.23636326838409033	-0.015256463833059786
Hspa8	0.1630510323185914	-0.05186643772595739
Hsp90ab1	0.15898398951457215	-0.05193562790021261
Scg2	0.14235965681139187	-0.019691987374095832
Chgb	0.1349073300607969	-0.04200442534974491
mt-Nd5	0.12842687502708228	-0.0002823456244656075
Eef1a1	0.1280384421530462	-0.059478251524364034
Tsc22d1	0.12551295560259815	-0.012133688595246994
Cyp11b1	0.12303664156352276	-0.05036773370274608
Scd2	0.11519169231953705	-0.019720135448936027
Serinc3	0.1085607150130193	-0.01891347437094215
Me1	0.10298262849283213	-0.04292791139875285
Malat1	0.0942970621411291	-0.044143392279478055
Abhd2	0.08822124394484311	-0.013768864499085487
Glul	0.07979985746939608	-0.06717854791831793
Eef2	0.07725541015015616	-0.059576103534845964
Trank1	0.07265704308200077	-0.01234205843284597
Hsp90aa1	0.07119109909063849	-0.05194094341374844
Timp3	0.062266109208619275	-0.013097354436675146
Kcnk3	0.06101654354870939	-0.04854866862163676
Nedd4	0.059825857139049456	-0.03725799847143274
Hspa1b	0.058371213730139086	-0.05189839324036272
Mbnl1	0.05664955822420752	-0.04330265914592779
Peg10	0.05555663778645318	-0.031318287808027034
Tns1	0.054447503734507595	-0.01239845288084962
Sptbn1	0.05438279020914137	-0.015307772924273433
Hsd3b1	0.053162987102160386	-0.05200473633605185
Txnip	0.05291195772308108	-0.011715792468948494
Col4a1	0.05182618487580761	-0.04575902667432685
Fosl2	0.05180470055794033	-0.06614268183984659
Tgfbr3	0.049560575086697166	-0.013321996167711236
Abca1	0.049036435000188	-0.013229747798981
Scd1	0.048269361692277024	-0.019724776506190644
Kcnk9	0.04781356901658013	-0.04852092165582389
Chga	0.046321110066568624	-0.04199227940251424
Lrp1	0.04427484615103495	-0.04542192422442559
Sqstm1	0.04342241128277329	-0.015277432290125792
Hsph1	0.04291550923128036	-0.05178119327978992
Greb1	0.042859802211001684	-0.054919212392627814
Pnmt	0.04265679978972608	-0.028825486547962464
Cyb5b	0.04261395090723434	-0.05013007972182715
Dync1h1	0.04210430999291148	-0.05826710807793628
Prss35	0.04180694603334523	-0.026492500661121854
Fkbp5	0.04002074216413564	-0.06584858950375583
Ccnd2	0.03876818792690198	-0.03666278086310258
Zbtb20	0.03808551299073476	-0.008106292361721223
Psap	0.03765298747195304	-0.026428326676165792
Tbc1d9b	0.03749300009372104	-0.013874502507686626
Fasn	0.03468272094227004	-0.06480449655480267
Abhd4	0.034264727448397696	-0.013788627632245962
Prrc2b	0.03387297715811313	-0.026591114499027402
Rere	0.03296553975102467	-0.02335263357618178
Cfh	0.03268402068671379	-0.041433370023227084
Sptan1	0.03263320529690411	-0.015313383938693081
Acsbg1	0.03230287575495228	-0.014612028048303298
Tacc1	0.03164281242336267	-0.01421254995883936
Sparc	0.03146710598889063	-0.015621477382144255
Parm1	0.03113977211747021	-0.0328003388830177
Hspg2	0.03094595865284538	-0.051786519973463285
Ctnnb1	0.030856938835844484	-0.04923806916165968
Slc6a6	0.03084224012332252	-0.016839435346624576
Spred1	0.030656140282262337	-0.015362565518542759
Cpe	0.03036787592452705	-0.047050125366299905
Hspb1	0.030231015726673627	-0.0518557811845905
Cobll1	0.030229824251836426	-0.04538790575972165
Acsl4	0.030044471570443366	-0.014667023556925986
Aplp2	0.029860972631760237	-0.02040153215292949
Tbx3	0.02985427491119315	-0.01378919712140414
Dlk1	0.02967288486150901	-0.05554412869839684
Son	0.029599063278723244	-0.01582134296322768
Iqgap2	0.029372636019764555	-0.0499416162827343
Mlec	0.028793264648418998	-0.041337427420994666
Epas1	0.028728326098349608	-0.06170814200324401
Glg1	0.028339814196606923	-0.06713708979733532
Osbpl3	0.028113323037453716	-0.0336973091309013
Tln1	0.02804354075654605	-0.013027586471132002
Lnpep	0.027610474358114086	-0.045728205445041636
Dnaja1	0.027531100356168462	-0.056060120438954975
Rhob	0.027518674932301902	-0.022919463448737742
Il6st	0.02714619716113394	-0.05054511481320778
Nfe2l1	0.027099416565184112	-0.03690136532725774
Eif4g2	0.02692781749923384	-0.06062102774053843
Wnk1	0.026757741514256795	-0.009015183058169285
Ern1	0.026564022986090615	-0.06244440776412069
Arhgef12	0.02650502874546078	-0.021800028126122417
Rabep1	0.02633650820633412	-0.02474524598583705
Akr1cl	0.026105477076374457	-0.01742563928516367
Caprin1	0.0259208218588791	-0.03349883448827776
Meg3	0.02574536760597101	-0.04267532776844141
Eif4a2	0.02551899836588275	-0.06051777511307127
Canx	0.025454049799329505	-0.033305316514910324
Huwe1	0.025438337128132715	-0.05168518904185415
Kif1b	0.024794483407080355	-0.047996486688945295
Aebp1	0.024762746047684633	-0.016249708349902303
Srrm2	0.024760559001951604	-0.015166738888262477
App	0.02466514936399083	-0.02075836154779373
Jun	0.02422001859281976	-0.04911324060987732
Serpinh1	0.024082190682522757	-0.01874051401132837
Ywhag	0.023930248517406643	-0.008215806221890554
mt-Rnr2	0.0239250583788555	-0.00024163242575137023
Col4a2	0.02377711584872102	-0.045770504210113666
Nisch	0.02369198210977375	-0.03653915958315468
