Geneid	CD-coefficient	Significance
THBS1	0.6892667678987786	-0.00028406229257016413
SERPINE1	0.23106901610050132	-0.015687880090633266
ANKRD1	0.18209059804147945	0.02385085342792253
ANXA2	0.1167739825650362	0.02585860244901521
ACTB	0.11253388898967853	0.009169482933428322
DKK1	0.11071568711841767	0.02266668428618293
KRT7	0.10986345299606087	-0.04104857575385723
CPD	0.10693777676316191	0.03034954348405966
MT2A	0.08873444501245624	-0.04956810184619498
NNMT	0.0871137585216372	-0.045775665555115586
MT1E	0.0855560628618875	-0.04961623091805101
ALCAM	0.08074699955150638	0.02035085153942592
BIRC3	0.07823079184695134	0.035672784880815
LDHA	0.07571973239277027	-0.04264875514879002
FLNB	0.07154897190339427	-0.0006794843154838692
PEG10	0.07144136034258902	-0.03903451876752695
CAV1	0.06774806703656545	0.03694307572280965
ERRFI1	0.06545075845760555	0.01160740501160995
TGM2	0.06281962058386119	-0.000372699864131687
SLC38A2	0.06013131470162179	-0.011227058016766933
SORT1	0.05987100366220931	-0.006026805014703651
FN1	0.05723761891136324	-0.0011779532592779418
RPL6	0.054340161231256276	-0.02104002718423459
ACSL3	0.05252857637392295	0.00855100007473138
FKBP5	0.04299393410287739	0.000261114377893612
HIF1A	0.03995555569668312	-0.020509959275332945
KRT81	0.03954214184615883	-0.04112713071435947
DUSP1	0.03794872344644813	0.018775969078856758
TMSB10	0.03741621807432612	0.0011794176298794978
EFEMP1	0.03384164812223988	0.016719044928396654
SLC26A2	0.032979142951481674	-0.012060935154152186
PLOD2	0.03266840940672102	-0.035701236068412245
TLR4	0.032591405812243686	0.00013984232357799886
NAP1L1	0.030835443903804043	-0.048144995489321496
GCNT1	0.0284439634945103	-0.006928858084330969
CALM2	0.028215003086855952	0.03727817473470997
CNN3	0.0270890506247157	0.03196084433551982
ATP13A3	0.026930698248981314	0.03267077277944118
FTH1	0.026307186063892155	-0.0034055400322592355
ANKRD28	0.026034708687147346	0.024366022934721197
PGK1	0.025693529583979212	-0.03848351490897417
TRAM1	0.025502393046017917	0.001565889625185335
COL8A1	0.025489621071227906	0.031168380067193163
MCL1	0.025460194359700376	-0.05259065548526348
ENAH	0.025008464030732636	0.013975200831950807
IGFBP4	0.02394999783576061	-0.02855107415188385
RPL18A	0.02366896624539719	-0.021488430483782572
PRDX6	0.02348081803420929	-0.03239795537771184
SLC38A1	0.02342105957024585	-0.011245925576069182
PPME1	0.023247924215565912	-0.03348608516121887
TGFB2	0.021928715442989497	-0.0004198560694312903
ITGA5	0.02190743903774225	-0.033037838180022316
HSP90B1	0.0218910192893317	-0.025614190216173227
DSTN	0.021646119727144322	0.019131049366350183
SDC4	0.02138030411507097	-0.017218167835767684
HSPA5	0.02089500783064285	-0.02582655086499852
PTK2	0.01974546877654893	-0.029570236626282775
TGFBR2	0.01969859734449628	-0.000399940886419925
FSTL3	0.018900942169345156	-0.0033141263845730684
ADAM9	0.018854027185142494	0.011812981301298858
PTTG1IP	0.018727762223099582	-0.029022228873059275
S100A10	0.018504184193544253	-0.019173545303251327
RPS6	0.01838650551059632	-0.020477235856530607
MGST1	0.018309677754364987	-0.05227111278218066
SLC16A3	0.01786307200405021	-0.013073954767494511
MAOA	0.017785986311624688	-0.05271663319476083
DDIT4	0.01768828005687719	0.02528545670218771
COL12A1	0.017478117833567865	0.03150587279438444
CTNNB1	0.017047496052684293	0.028285144213541474
SAA1	0.016885631256294196	-0.01898744213530501
SRGN	0.01674023318990457	-0.004504209642308021
BICC1	0.016657569026208262	0.03559685034417277
CANX	0.016518653157428658	0.037198519119698084
VSTM2L	0.01650453442081029	0.0010441528179592208
EIF4B	0.016272257721854547	0.015363676294944006
ACTN1	0.015293493826859267	0.009695582349697616
IMPDH1	0.0151550490370709	-0.03050331237398113
SQRDL	0.014943738404970784	-0.004665145785183178
LIMCH1	0.014686493242149377	-0.043628976757176585
ALPP	0.014508725234160368	0.021992868218299582
CDC42EP3	0.014457545361787335	0.03551988152844826
ACSL1	0.014264875943910581	0.008505569768106406
LTBP1	0.01412167301297865	-0.052703147389142946
ERGIC1	0.014091293822145311	0.01206955776292934
DHCR24	0.013659587389917455	0.023742177713182544
CYP51A1	0.013582860491354378	0.02673439702693456
CD9	0.013186651217775512	0.03565375491247838
PTPRJ	0.012998436167210916	-0.029192505705456506
TBL1XR1	0.01280695465687623	-0.0012578868726172976
STOM	0.01278963412673234	-0.003174119288600785
ATP2B1	0.012752338805658162	0.03286425729326724
KLHL5	0.012680544784522933	-0.04003594313574321
