!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Homo sapiens
!cell	Granta519 B-cell mantle cell line
!perturbation	Dexamethasone
!disease	1uM - 16hrs
!end_metadata
RN7SK	0.089834
APOD	0.072012
CLIC3	0.060663
TP53INP1	0.060539
RNA5S9	0.055615
SNORD3A	0.054332
SNORD3C	0.054084
RNU4-2	0.054071
SERPINA9	0.052290
SNORD3D	0.052172
RNU1-3	0.051330
RNVU1-7	0.050024
RNVU1-18	0.049581
ZFP36L2	0.048930
SCARNA8	0.048255
CHAC1	-0.047022
C3orf52	0.046894
FKBP5	0.046376
SNORD13	0.045862
DDIT3	-0.045606
GLIPR2	0.044334
LRRC16A	0.043131
TSC22D3	0.042833
STS	-0.040933
RNASET2	0.040857
RGS1	0.040495
SPATA13	0.040179
TMEM2	0.039873
MYB	-0.039613
ALPK2	-0.039543
SNORD46	0.039012
RNU1-1	0.038543
SESN2	-0.038165
PLCH2	0.037762
SESN1	0.036844
RRM2	-0.036837
FCER1G	0.036449
VLDLR-AS1	-0.036181
PLEK	-0.036148
TMEM100	0.036101
SCARNA14	0.035917
SGK1	-0.035860
BMP7	0.035846
METTL7A	0.035800
PELI1	-0.035626
RNU1-28P	0.035192
NAPSB	0.035005
RNA18S5	0.034982
GVINP1	0.034765
PNPLA7	0.034471
ESPNL	0.033945
KCNH4	0.033931
LINC00936	0.033845
CTH	-0.033622
WDR76	-0.033503
LPIN1	0.033444
PIK3IP1	0.033440
RNU11	0.033399
STMN3	0.032682
RELB	-0.032632
NFE2L1	-0.032435
MIR181A2HG	0.032415
GPT2	-0.032366
TXNIP	0.032338
NEK8	0.032306
STC2	-0.032266
MYBL1	0.032169
ZNF831	0.032113
VTRNA1-1	0.031880
PPP1R15A	-0.031868
PIM1	-0.031673
GDPD5	0.031548
PCK2	-0.031366
SORT1	0.031328
RNU6-15P	0.031100
SLC16A3	0.031078
ZNF223	0.030833
FAM172A	0.030791
WARS	-0.030747
DTL	-0.030684
DUSP2	0.030675
CGN	0.030002
TNFRSF13B	0.029934
ULBP1	-0.029897
LONP1	-0.029640
SLC39A9	-0.029520
TMEM106A	0.029473
HELLS	-0.029001
RAB11FIP4	0.028827
SLX4IP	0.028809
SCARNA11	0.028803
KIAA0226L	-0.028712
SAPCD2	0.028028
RABL3	-0.028022
CCDC24	0.027990
SLC7A3	-0.027909
SLC7A1	-0.027887
KIAA0513	0.027854
SLC5A8	0.027607
HOXA6	0.027593
CFLAR	0.027474
DUSP19	0.027389
BASP1	0.027369
PLAGL2	-0.027268
HAUS2	0.027244
TSPAN33	0.027143
SOCS1	0.027110
OSCAR	-0.027096
PKMYT1	-0.027000
SCN4A	-0.026899
CHRAC1	-0.026883
ZNF738	0.026824
CD72	0.026818
CEBPG	-0.026793
LINC00426	0.026765
SNORD56	0.026749
HES4	-0.026740
TRIB3	-0.026685
