Gene	GSM4819286	GSM4819287	GSM4819288	GSM4819289	GSM4819298	GSM4819299	GSM4819300	GSM4819301
DDX11L1	61	23	32	32	49	26	38	41
WASH7P	75	134	69	121	113	161	69	120
MIR6859-1	6	7	7	12	7	13	7	9
MIR1302-2	0	0	1	0	0	0	0	0
FAM138A	0	0	0	0	0	0	0	0
OR4F5	0	0	0	0	0	0	0	0
LOC729737	236	211	440	449	269	232	438	489
DDX11L17	20	10	16	18	25	9	15	10
WASH9P	49	151	84	181	66	183	86	149
MIR6859-2	0	0	1	0	0	0	0	0
OR4F29	0	0	0	0	0	0	0	0
LOC100132287	17	25	41	60	24	35	27	63
LOC105378947	0	0	0	0	0	0	0	0
LOC101928626	0	0	0	0	0	0	0	0
OR4F16	0	0	0	0	0	0	0	0
LOC100288069	13	11	12	28	15	8	16	11
FAM87B	7	1	1	5	3	10	2	3
LINC00115	13	16	21	39	16	38	26	32
LINC01128	809	553	884	1332	1040	826	1048	1387
FAM41C	0	0	0	1	0	0	0	0
LINC02593	2	8	1	1	3	5	1	0
SAMD11	0	6	5	5	3	10	2	7
NOC2L	1149	1340	1169	1471	1269	1728	1226	1316
KLHL17	259	397	287	437	310	460	351	354
PLEKHN1	67	117	37	91	95	167	56	81
PERM1	0	0	0	0	0	0	0	0
HES4	22	20	51	102	56	50	48	101
ISG15	278	259	252	445	364	437	331	400
AGRN	248	292	426	364	356	442	458	371
LOC105378948	41	37	69	71	60	51	86	60
RNF223	0	0	0	0	0	1	0	0
C1orf159	385	421	480	552	440	534	550	484
LINC01342	0	0	2	4	1	0	2	2
MIR200B	0	0	0	0	0	0	0	0
MIR200A	0	0	0	0	0	0	0	0
MIR429	0	0	0	0	0	0	0	0
TTLL10	6	5	5	8	4	3	2	7
TNFRSF18	159	373	307	458	327	897	451	585
TNFRSF4	228	236	294	623	676	672	511	1152
SDF4	2982	3711	2860	4313	3912	5342	3048	3805
B3GALT6	283	413	331	545	359	615	306	384
C1QTNF12	7	6	12	9	7	1	18	7
UBE2J2	1017	1279	1077	1395	1219	1531	1006	1256
SCNN1D	172	162	271	303	224	194	253	238
ACAP3	1170	1380	1285	1750	1271	1718	1365	1538
MIR6726	0	0	0	0	0	0	0	0
PUSL1	153	177	185	236	215	219	189	205
INTS11	1603	1617	1582	2247	1787	1953	1682	1732
MIR6727	0	0	0	0	2	2	1	0
CPTP	418	458	452	675	433	395	464	505
TAS1R3	26	22	26	25	39	18	20	35
DVL1	1215	1320	1039	1613	1518	2061	1179	1509
MIR6808	0	0	1	0	0	1	0	0
MXRA8	56	16	229	165	66	17	284	119
AURKAIP1	677	884	707	976	855	1046	741	946
CCNL2	4781	4969	5306	6979	5074	5617	4926	5357
MRPL20-AS1	461	465	547	694	511	560	515	534
MRPL20	916	937	846	1110	1031	1241	884	937
ANKRD65	1	0	1	1	2	2	5	5
TMEM88B	0	0	0	0	0	0	0	0
LINC01770	0	0	0	0	0	1	0	0
VWA1	1	0	0	0	0	0	1	0
ATAD3C	102	91	94	155	124	132	85	111
ATAD3B	1192	1163	1477	1897	1413	1728	1289	1494
ATAD3A	539	588	614	825	682	1066	619	657
TMEM240	1	0	0	1	0	1	2	1
SSU72	1071	986	951	1265	1189	1141	1124	1126
FNDC10	30	29	48	69	28	25	48	61
MIB2	406	458	537	728	577	603	773	740
MMP23B	16	20	27	22	20	20	38	27
CDK11B	1729	1633	2110	2814	1959	1944	2145	2172
SLC35E2B	2949	2773	3841	4181	2935	2649	3225	3224
MMP23A	25	40	55	56	33	35	61	51
CDK11A	1840	1399	2247	3119	2128	1688	2182	2610
SLC35E2A	1377	644	1700	2881	1323	556	1486	2100
NADK	997	1157	1242	1450	1251	1719	1444	1327
GNB1	9402	12196	7191	10974	9226	12623	7379	8677
GNB1-DT	4	7	3	6	2	2	1	2
CALML6	16	8	17	24	6	6	20	15
TMEM52	4	0	2	2	0	0	0	3
CFAP74	0	0	0	2	0	0	0	2
GABRD	0	0	0	3	0	0	0	1
PRKCZ	192	146	165	261	198	141	171	213
PRKCZ-AS1	8	9	8	7	4	13	9	12
FAAP20	321	382	361	369	335	453	399	368
SKI	7518	8737	6812	11808	9184	8482	8333	10875
MORN1	32	48	42	41	31	36	53	34
LOC100129534	13	8	12	19	13	14	13	10
RER1	2447	2792	2500	3496	2563	2958	2550	2674
PEX10	146	228	176	241	134	213	169	189
PLCH2	655	553	597	757	842	672	602	575
PANK4	875	1014	1063	1270	1028	1026	1120	1192
HES5	0	0	0	0	0	0	0	0
TNFRSF14-AS1	125	122	119	136	137	121	154	119
TNFRSF14	2435	2845	3418	4317	3165	3644	3856	3840
LOC100996583	12	16	18	34	22	24	22	32
PRXL2B	147	194	224	301	334	353	445	384
MMEL1	3	1	1	9	2	2	4	2
TTC34	13	12	23	22	11	13	16	15
ACTRT2	0	0	0	0	0	0	0	0
PRDM16-DT	0	4	0	0	0	3	0	3
PRDM16	0	2	0	4	2	8	0	4
MIR4251	0	0	0	0	0	0	0	0
ARHGEF16	3	1	1	1	1	1	1	8
MEGF6	868	736	1673	2338	1138	929	1781	1949
MIR551A	0	0	0	0	0	0	0	0
TPRG1L	1810	1709	1670	2522	1689	1486	1711	1917
WRAP73	562	709	754	930	604	553	666	710
TP73	6	7	10	7	1	3	7	11
TP73-AS1	471	395	691	860	565	436	611	630
CCDC27	0	0	0	0	0	0	0	0
SMIM1	2	2	1	6	3	4	8	7
LRRC47	1037	1094	1119	1567	1106	1150	1028	1203
CEP104	832	755	850	1139	849	690	849	882
DFFB	317	286	374	447	309	248	317	340
C1orf174	731	829	743	744	668	794	607	589
LINC01134	7	5	6	5	7	1	5	4
LINC01346	0	0	0	0	0	0	0	0
LINC01777	0	0	0	0	0	0	0	0
AJAP1	10	4	23	17	25	2	34	17
MIR4689	0	0	0	0	0	0	0	0
NPHP4	494	523	614	768	448	372	479	527
KCNAB2	4116	7357	5538	6043	3668	4823	4334	3723
CHD5	14	3	7	3	6	9	6	10
RPL22	8874	7242	9431	13249	9360	7205	9441	9564
RNF207-AS1	0	0	0	0	0	0	0	0
RNF207	15	19	16	24	30	35	8	20
ICMT	917	788	767	1100	837	691	807	725
ICMT-DT	1	1	2	3	1	2	0	2
HES3	0	0	0	0	0	0	0	0
GPR153	171	299	259	176	155	296	225	111
ACOT7	185	148	156	205	260	198	242	239
HES2	0	0	0	0	0	0	0	0
ESPN	22	14	21	52	48	25	42	68
MIR4252	0	0	0	0	0	0	0	0
TNFRSF25	3506	2513	4238	6707	5696	4339	5637	7358
PLEKHG5	70	66	101	184	83	98	112	218
NOL9	681	575	732	868	671	684	708	732
TAS1R1	1	0	2	0	0	0	2	0
ZBTB48	961	1019	945	1311	1004	1151	1004	1062
KLHL21	833	1033	902	1239	1026	1024	1016	979
PHF13	454	491	395	568	474	624	404	458
THAP3	368	368	305	501	395	356	357	370
DNAJC11	689	779	909	1108	807	957	788	941
LINC01672	0	0	0	0	0	0	0	0
CAMTA1	296	316	264	386	325	376	299	268
VAMP3	1860	2140	1269	1995	1637	1989	1104	1428
PER3	139	125	125	112	165	107	130	81
UTS2	130	8	6	188	109	10	9	113
TNFRSF9	42	84	68	63	101	331	82	92
PARK7	1954	1863	1787	2500	2074	2049	1819	1833
ERRFI1	330	255	186	464	513	228	129	365
LINC01714	0	1	0	0	0	0	0	0
SLC45A1	22	27	20	39	16	14	17	24
RERE	986	1165	1209	1806	1190	1163	1350	1724
RERE-AS1	7	9	6	6	4	7	4	13
ENO1	14622	21736	8954	13604	13132	24064	9051	10393
MIR6728	1	0	0	1	2	0	0	0
ENO1-AS1	4	3	2	4	1	3	1	0
CA6	41	33	203	115	94	75	352	203
SLC2A7	22	8	16	16	28	6	36	40
SLC2A5	87	131	237	256	102	112	318	267
GPR157	49	60	53	76	126	139	78	111
MIR34A	0	0	0	0	0	0	0	0
H6PD	1620	1290	1683	2336	1541	1111	1648	1774
SPSB1	174	80	106	303	349	203	189	500
LINC02606	1	1	0	0	0	2	0	1
SLC25A33	211	212	192	202	204	271	185	189
TMEM201	149	138	136	220	174	189	136	128
PIK3CD	3792	3716	5185	5477	6499	6401	7670	7148
PIK3CD-AS1	5	7	3	5	5	4	8	9
PIK3CD-AS2	6	3	5	8	3	1	5	3
