!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Mus musculus
!cell	Thymocytes (CD4/CD8 double positive   DP)
!perturbation	Dexamethasone
!disease	3 hrs
!end_metadata
ATP1B3	0.317988
PPP1R21	0.311392
FKBP5	0.272808
DDIT4	0.224529
ZFP36L2	0.165126
SOCS1	-0.150697
RPLP0	0.138075
TSSC1	0.115351
RPS27A	0.114854
TPT1	0.112905
PSMA6	0.099713
TUBA1A	-0.094784
NHP2L1	0.094321
TUBB2A	-0.090980
CD8B	-0.089641
DESI1	0.087056
JAK1	0.086565
GNB2L1	0.083785
RPS10	0.083207
XRCC6	0.081973
PTGR1	0.081170
HDAC7	-0.079989
MEF2D	-0.079133
H2AFX	-0.077683
CMC2	0.077370
CCND3	-0.075308
RPS23	0.073654
ACTG1	0.073528
LMO4	0.073497
SERINC3	0.073091
LGALS1	-0.072131
SATB1	0.071221
EEF1A1	0.069575
RPS24	0.069098
CDC20	-0.068714
RPS15A	0.068219
RPL7	0.067871
RNF145	-0.067483
TXNIP	0.066747
EPB41	0.066700
LTB	-0.066289
RPS7	0.064196
BTG2	-0.062851
RAC2	-0.061830
RPL19	0.061456
RMND5A	-0.060815
TRPC4AP	0.058713
MDH2	-0.058637
NCL	0.056585
ACLY	0.055248
ITK	0.053827
CYB5A	0.053732
PNPLA2	0.053498
ARL6IP1	0.053146
TUBB3	-0.050831
MORF4L1	0.050663
YWHAZ	-0.050584
RPS2	0.049411
SELPLG	-0.049345
SEMA4D	-0.048939
CHCHD3	0.048282
RPS11	0.047687
ARHGDIB	0.047392
HAUS3	0.047147
SPTSSA	0.047009
ID3	-0.046759
JUND	-0.046709
CSRP1	-0.046579
HERPUD1	0.046040
TSC22D4	-0.045564
ETS2	-0.045193
LAPTM5	0.044504
ELOVL5	0.044193
PDCD4	0.044124
LRWD1	-0.044011
RPL10A	0.043608
RPL21	0.043589
PCBP2	0.043500
SSRP1	0.043474
UBE2S	-0.042590
PPIA	0.041961
RPS12	0.041548
RPL3	0.041159
CTSV	-0.040773
RAD21	-0.040658
SPATA13	0.039413
SMC4	0.039105
SEPT9	-0.038982
MXD4	0.038720
CD27	-0.038205
STMN1	0.038056
CKS2	0.038028
