gene,CD-coefficient,Significance
Rbp7,0.016617481431955645,-0.09914370974820974
LOC102556144,0.016617481431955645,-0.1437168253157688
Selp,0.01613595844929327,-0.08241679587206907
LOC102550122,0.016067049260987815,-0.1376370064748083
Slc18a3,0.01603864039563004,-0.0747314539113918
LOC102551873,0.01600588186064184,-0.13990213088134373
LOC102548674,0.015968687018266002,-0.1358774341324226
LOC102547807,0.015967522152385928,-0.13450852499906435
LOC102552834,0.015965656957968026,-0.1409239606550554
LOC102552912,0.01585359719302898,-0.14098572100996232
Mgam,0.01580224431136605,-0.1454029451906536
LOC103691972,0.015684559686581022,-0.14568422021015903
LOC100909886,0.015653904013037324,-0.12830453784839774
LOC691320,0.015648110557882573,-0.14702217285173602
LOC103694329,0.01563603782196197,-0.146832040336289
Htr1a,0.01559177019361353,-0.11620926119447689
RGD1566053,0.015578878935223051,-0.10534147946117867
Lrg1,0.015575363559901308,-0.1468373008336763
Csn2,0.01556380147743704,-0.07057724160683777
Drd3,0.015530999133593572,-0.08291474191642018
Isl2,0.015493578809141486,-0.12019004066388578
Aqp3,0.015385072960327232,-0.02395425594025087
Ect2l-2,0.015368497323953272,-0.08520234158652422
Il20rb,0.015322448528179974,-0.11836255929680098
Asgr2,0.015317907954509049,-0.029508747132645074
LOC103694375,0.015298233682527917,-0.14684524649737435
Trnas-cga-2,0.015267827001076142,-0.030013006881754012
LOC103692252,0.015263507828860387,-0.14586943308678085
Mug2,0.015262432061239653,-0.14269816154021875
LOC103691914,0.015194808477878189,-0.14563655082219495
LOC102548829,0.015163614070968376,-0.13606976353615743
LOC103693354,0.015138460282339904,-0.14652706337549298
Hist1h2an,0.015137710167955494,-0.11361495259812002
Hpd,0.015074263231908415,-0.11514227843814182
LOC102547241,0.015056425476826797,-0.13371145316776634
LOC103693241,0.015033404600723183,-0.14647407787023575
LOC102556212,0.01501620553048213,-0.14375237330762625
Trpc4,0.01498902479602987,-0.029320261393996905
LOC103694251,0.014986747432762028,-0.14681458039959033
Gys2,0.01498444245567879,-0.11126521524743666
Tex40,0.014936479450888478,-0.04629723722540924
