!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Homo sapiens
!cell	Acute lymphoblastic leukemia cell line, RS4;11
!perturbation	Dexamethasone
!disease	10 nM - 24 hrs
!end_metadata
TMEM100	0.105268
MORC1	0.102931
P2RY14	0.101896
IL1R2	0.095177
FAM171A1	0.088335
MYRIP	0.086700
FMO5	0.081620
ZBTB16	0.077852
KLF2	0.073588
TACC2	0.070915
SPRY1	0.069456
GINS2	-0.068221
LILRA1	0.067181
KLF7	0.066376
DPEP1	0.064353
SPAG4	0.064044
OR7A5	0.064036
PTPN3	0.063367
SGK1	0.063329
CD52	0.061959
EPS8	0.061910
INPP1	0.061681
MCM10	-0.061309
CDC6	-0.061208
PIK3IP1	0.060475
SMAD7	0.060364
RIN2	0.059959
DTL	-0.057493
TNS3	0.057455
CHRNA1	0.056931
UNG	-0.056436
SIK1	0.054321
MCM4	-0.054303
FGD2	0.053930
MAP3K6	0.053877
MXRA7	0.053169
FKBP5	0.052476
SESN1	0.051657
GLDC	-0.051036
POLE2	-0.050910
MS4A4A	0.050597
CDC45	-0.050154
GNAI1	0.049878
MCM2	-0.049371
GSN	0.049307
CHEK1	-0.049134
EXO1	-0.048679
ITGA9	0.048357
WDHD1	-0.048051
PLCB4	0.047981
P2RX5	0.047954
CSGALNACT1	0.047372
ORC1	-0.047123
FEN1	-0.047058
SLC31A2	0.046649
MNS1	-0.046593
NINL	-0.046460
WDR76	-0.046348
FBXW7	0.045857
TMEM2	0.045464
TSC22D3	0.044924
TGFB1I1	0.044816
LILRB2	0.044708
ISG20	0.044250
MX1	0.044138
MTUS1	0.043975
NDRG2	0.043964
ASS1	-0.043792
TIPIN	-0.043665
ARNT2	0.043247
RBL1	-0.043230
IL6ST	0.043180
FJX1	-0.043068
MCM6	-0.041943
NFIL3	0.041752
TK1	-0.041673
EHD3	0.041597
RHOC	0.041295
MAP3K5	0.041279
CPQ	0.041241
CHST2	0.041209
SCRG1	0.041132
RFC5	-0.040639
MCM3	-0.040158
IL1R1	0.040143
SLC44A1	0.040089
RFC4	-0.039979
DIP2C	0.039859
ALOX5AP	0.039748
MTHFD1	-0.039586
CLN8	0.039585
CHAF1A	-0.039528
CCNE1	-0.039364
MCM5	-0.039227
BYSL	-0.039090
PCNA	-0.038944
PLEKHF2	0.038830
MIR22HG	0.038784
OGFRL1	0.038633
STAG3	0.038616
HIST1H2AC	0.038428
HELLS	-0.038365
CST3	0.037947
SNX29P2	0.037904
NRGN	-0.037636
IGJ	-0.037608
PIEZO1	0.037456
CARD9	-0.037071
BRIP1	-0.037061
SH3TC1	0.036946
ITPKA	-0.036708
SYBU	0.036552
TNFSF8	0.036359
GSAP	0.036199
LGR5	-0.035878
EMR2	0.035824
DNAJB2	0.035689
CDT1	-0.035674
BLNK	-0.035670
SERPINI1	0.035548
DDIT4	0.035536
RAD51	-0.035303
SLA	0.035254
PHGDH	-0.035246
RRM2	-0.035158
E2F8	-0.035073
DPY19L2P2	-0.035018
ODC1	-0.034931
SRD5A1	0.034848
CDC25A	-0.034725
NME1	-0.034650
OPTN	0.034549
VDR	0.034508
BANK1	-0.034486
RBMS3	0.034022
MCM7	-0.033994
DNA2	-0.033948
GINS1	-0.033916
AUNIP	-0.033909
IMPA2	-0.033741
CDC7	-0.033612
RFC2	-0.033612
BAALC	0.033500
RASSF4	0.033410
SLC20A1	-0.033408
POLA1	-0.033381
PUS7	-0.033331
NELL1	-0.033293
ASF1B	-0.033259
RAD54L	-0.033156
GNA12	0.032743
ATF3	-0.032640
B4GALT4	0.032504
RFC3	-0.032394
ID2	0.032314
BRCA1	-0.032257
RPS6KA2	0.032069
LILRA2	0.032035
PIGV	0.031982
COL5A1	0.031891
POLD1	-0.031759
HIST2H2BE	0.031725
LIG1	-0.031616
MYBL2	-0.031600
CSPG4	-0.031600
RAD51AP1	-0.031521
CD99	0.031480
SLC43A3	-0.031437
TUBA4A	0.031434
TIPARP	0.031418
EIF4EBP1	-0.031298
VWA5A	0.031226
FZD6	0.031050
NID2	-0.030945
POLD3	-0.030912
MXD4	0.030831
CDK4	-0.030753
FERMT2	0.030614
TXNIP	0.030582
CHAF1B	-0.030555
TCTN1	0.030532
CREB3L2	0.030506
MAP7	0.030504
RGL1	0.030483
CCR1	0.030373
CHKA	0.030340
LOC100505650	0.030315
METTL1	-0.030272
MAP3K8	0.030264
ID3	-0.030255
NDRG1	0.030086
PFAS	-0.030075
IRX5	-0.030032
NLGN4X	-0.029964
FAM53B	0.029893
C16orf59	-0.029876
FANCI	-0.029774
SPTA1	0.029749
DFNA5	0.029721
MTHFD2	-0.029688
PRIM1	-0.029682
CHRNA5	-0.029561
IFRD2	-0.029372
TMEM97	-0.029132
RSRP1	0.029125
NFKBIA	0.029047
IL1B	-0.029033
RCAN1	0.028985
RECQL4	-0.028811
DONSON	-0.028790
MARCH2	0.028767
PIDD1	-0.028697
FANCG	-0.028657
CCL5	-0.028623
DAAM1	0.028489
RAD54B	-0.028474
PARD3	0.028462
SRM	-0.028458
IARS	-0.028456
CD3EAP	-0.028446
EXOSC5	-0.028445
BTG1	0.028436
CA2	0.028421
KNTC1	-0.028420
CLIC5	0.028348
DSTN	0.028292
SLC27A2	-0.028202
BHLHE41	-0.028073
MRTO4	-0.027983
GREM1	-0.027900
WIPI1	0.027857
BRCA2	-0.027835
WDR37	0.027832
CTSB	0.027812
EYA4	0.027765
AHDC1	0.027703
TTLL12	-0.027668
PPP1R16B	0.027608
TLE1	0.027563
ADRA2C	0.027465
PTP4A3	0.027430
PYCR1	-0.027144
PSAT1	-0.027119
CTPS1	-0.027114
POLD2	-0.027108
CENPM	-0.027103
KIAA0101	-0.027088
NPTX2	0.027087
YARS	-0.026996
MACROD1	-0.026938
ORC6	-0.026890
PPIF	-0.026881
MSH2	-0.026735
TERT	-0.026711
PDPN	-0.026701
ELOVL6	-0.026701
WARS	-0.026677
NASP	-0.026615
ABLIM1	-0.026578
LGALS1	0.026551
SMURF1	0.026512
IRAK3	0.026509
RPGRIP1L	-0.026497
LAIR1	0.026352
MYBL1	-0.026281
DNMT1	-0.026273
ALCAM	-0.026242
RYR3	0.026220
RRM1	-0.026214
FAM69A	0.026210
TNFRSF21	0.026198
LMO2	0.026124
KCNMB1	0.026113
CHAC1	-0.026016
DPT	-0.026010
CAD	-0.026004
OLAH	0.025987
GZMA	0.025953
BCL2L11	0.025943
GGCT	-0.025935
RAPGEF5	0.025783
HSPA9	-0.025755
RFWD3	-0.025723
LDLRAD4	0.025714
RRAS	0.025685
NMRK1	0.025680
CENPU	-0.025637
BLM	-0.025626
PDE2A	0.025621
RNASE6	0.025603
ANKRD55	0.025596
DHFR	-0.025561
ATAD5	-0.025510
HERC5	-0.025452
RPH3AL	0.025377
DSN1	-0.025366
SOCS1	0.025335
ABCC4	-0.025313
BTG2	0.025266
SPAG11B	0.025249
FUT7	0.025227
PCTP	0.025181
PSPH	-0.025141
CC2D2B	-0.025139
MYO10	0.025073
RNASEH2A	-0.025065
OSBPL1A	-0.025054
HIST1H2AG	0.025000
DOK4	0.024945
DCTPP1	-0.024894
MREG	0.024874
FANCE	-0.024828
POLE	-0.024823
GMNN	-0.024752
