!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Homo sapiens
!cell	MCF7
!perturbation	Dexamethasone 
!cell_type	MCF7
!drug_name	Dexamethasone - 4hr
!drug_id	DB01234
!organism	Human
!end_metadata
CYP1A1	-0.106578
MAFB	0.092706
SGK3	0.085036
SGK1	0.084302
SLC26A2	0.073989
STEAP1	0.069256
PSCA	0.063777
NR4A2	0.056526
FKBP5	0.056292
EMP1	0.055879
RHOU	0.051074
XKRX	0.049179
PLCXD3	0.047690
BCL6	0.047566
CEBPD	0.045109
HERC5	0.044326
SYBU	0.043269
RASD1	-0.043087
IL6R	0.042897
SOCS2-AS1	0.042018
STEAP2	0.041918
PKHD1L1	0.041852
SNAI2	0.041762
ARL14	-0.040996
CALML5	0.040460
SOCS2	0.040221
MCEE	0.039259
CDC42EP3	0.039120
LOC285556	-0.038951
CHPT1	0.038929
PPM1K	0.038644
KLF9	0.038630
PER1	0.038543
ST8SIA4	-0.038230
PNPLA3	0.037684
JAK2	0.037441
ARC	0.037269
LOC154761	0.037118
PISD	0.036996
C12orf60	0.036860
PKIB	0.036589
AGR3	0.036228
FAM43A	0.036004
MCCC2	0.035675
VAT1L	-0.035273
ALDH1A3	-0.034485
KLK11	0.034376
CXCL12	0.034038
GREB1	0.033869
RGS2	0.033853
DUSP6	0.033674
HEY2	0.033397
C1orf116	0.033061
CCR1	-0.033037
FGF18	0.032977
TBC1D8	0.032976
C1orf226	0.032705
GMPR	0.032645
CEP120	0.032638
COL4A2	0.032491
FAM46C	0.032425
KIAA1377	0.032333
NBPF4	0.032160
TRIM16	-0.032035
PGR	0.031803
ENPP1	0.031678
RERG	0.031665
STYK1	0.030858
YPEL3	0.030313
GPR133	-0.030143
EGLN3	0.029996
SPRYD7	0.029947
MSMB	0.029799
AKR1C3	0.029721
TRAM1L1	-0.029700
CA2	0.029621
EEF2K	0.029571
CXorf58	-0.029530
CREG2	0.029523
DRD1	-0.029429
PHKA1	0.029405
PHACTR3	0.029354
SGCA	-0.028962
ARRB1	0.028898
BMP5	0.028719
