!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Rattus norvegicus
!cell	Hepatocytes
!perturbation	Dexamethasone
!disease	456 uM - 1 d
!end_metadata
IL1R2	0.110051
CYP1A1	0.088935
VIM	0.088018
GPR64	0.084701
STEAP4	0.079232
UGT2B17	0.078820
SLC25A29	0.078323
FER1L5	0.075977
GUCY2C	0.075051
FKBP5	0.070082
DHCR24	0.069416
B4GALNT1	0.067981
ACAT2	0.067886
GBP2	-0.066754
PLA2R1	0.066280
FAM117B	0.065999
SESN1	0.064423
ACOX2	0.063524
IGFALS	-0.061872
SLC13A5	0.061025
ZNF189	0.060535
PFKFB1	0.060455
PRND	-0.060056
FMO3	0.059800
HDC	0.058670
PLA2G12A	0.058461
SOWAHC	0.056812
TAT	0.056384
CYTL1	0.056169
TDO2	0.054685
LSS	0.054494
AASS	0.053820
GRK5	0.053791
PROSER2	0.053525
ECE1	0.053422
SLC10A2	-0.053338
HAO1	-0.052250
MFSD2A	0.051862
ID3	-0.051157
A2M	0.051113
GPX2	-0.050411
CD36	0.050259
IDI1	0.049832
MVD	0.049677
GUCD1	0.049551
PPL	0.049528
BBOX1	0.049439
POLG2	0.049434
ACSS2	0.049360
PPARA	0.048690
FAM220A	0.048195
VOPP1	-0.048106
B3GALNT1	0.047964
PRKAR1B	0.047300
GPD1L	0.047261
ADH1C	0.046945
AKR1B10	-0.046876
MARCKSL1	-0.046783
HSD17B7	0.046426
TMEM2	0.045910
RAB11FIP5	0.045228
LPL	0.045190
FGA	0.044963
LRP3	0.044672
ELOVL6	0.044641
DAPK1	0.044527
FLNC	-0.044216
SLCO1B3	-0.043647
GCK	0.043090
SERPINE1	0.043065
SOX4	-0.042555
DBP	-0.042473
CLDN1	0.042429
CXCL10	-0.042415
SLC22A8	-0.042389
CYP26A1	0.042022
ALPL	0.041964
EDEM1	0.041846
HMGCS1	0.041663
OMD	0.041651
PLEKHB1	-0.041544
TM7SF2	0.041298
GALE	0.041262
SQLE	0.041017
TSKU	0.040963
CPS1	0.040788
SPNS2	0.040711
MYL7	0.040695
CLSPN	-0.039662
GREM2	0.039549
ABCA1	0.039347
CD9	0.039313
