!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Mus musculus
!cell	Lung 
!perturbation	Dexamethasone
!end_metadata
WDR92	0.329317
CEBPD	0.197850
GPX3	0.186135
ADH1C	-0.183145
SELENBP1	0.179304
HOPX	0.158312
CTSH	0.150710
ACAA2	0.139072
TUBA1A	-0.130416
FKBP5	0.098991
TUBA1C	-0.098615
PLK2	-0.097557
DUSP1	0.094289
NREP	-0.093814
NAPSA	0.093733
RPS19	-0.092561
LMO7	0.090632
HPCAL1	0.088679
SFTPC	0.088407
SERINC3	0.086341
MXD4	0.085330
PRDX6	0.079258
RGCC	0.078139
ERRFI1	0.078114
EEF1A1	-0.075337
TINAGL1	0.075003
NPC2	0.074502
SFTPB	0.071814
RPLP0	-0.071484
RPS23	-0.071344
TUBA1B	-0.071261
TIMP3	0.069823
JUND	-0.067675
GSTO1	-0.067210
ACTC1	-0.065983
PLAC8	-0.064830
FSCN1	-0.064769
RPL21	-0.064557
ANXA2	0.064472
ZBTB16	0.063828
RPS11	-0.063816
ACTG2	-0.063548
YBX1	0.063030
CSRP1	-0.062612
FOXO3	0.061451
NFKBIA	0.061187
LAPTM4A	0.061063
TSC22D1	0.059742
CYP4B1	0.059020
CSRP2	0.058854
LGALS1	-0.058702
MARCKSL1	-0.058366
COL4A2	0.057943
ADRB2	0.057192
CD74	-0.057187
RPL28	-0.056584
CA2	-0.056561
DDIT4	0.056306
RIN2	0.055967
TXN	0.054997
ELOVL5	0.054974
GSN	0.054947
PLA2G12A	0.054623
NDUFA7	0.054466
CTGF	0.054395
PNPLA2	0.053723
DPEP1	0.053623
NEK7	0.053615
RHOB	0.052895
IDH2	0.052583
TMOD3	0.052449
TRIM28	-0.051685
ACTG1	-0.051355
BEX4	0.050603
AGER	0.049763
COL1A1	-0.049325
GNAI2	-0.048442
YWHAZ	-0.045849
SGK1	0.045623
ENG	-0.045552
ITM2B	0.045388
SOX4	-0.044382
LPCAT1	-0.044013
SESN1	0.043734
RPL18	-0.043713
RPL19	-0.043410
PEG3	0.042592
NT5DC2	0.042482
MEOX2	-0.041815
MAGED2	-0.041331
RALB	-0.041261
