!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Homo sapiens
!cell	Airway smooth muscle (ASM) cells
!perturbation	Dexamethasone  4 hrs
!end_metadata
IER3	-0.119871
CSF2	-0.118475
IL6	-0.114807
IL11	-0.109055
LIF	-0.107001
CLDN14	-0.094065
CCL2	-0.090516
FKBP5	0.089888
ENC1	-0.088804
TIPARP	0.084453
PTGS2	-0.082943
PNMT	0.080768
BDKRB1	-0.080636
HEYL	0.076673
GDF15	-0.075241
HBEGF	-0.074451
DUSP6	-0.071785
NEURL1B	0.067759
TSC22D3	0.067336
XIRP1	0.066752
FOXO1	0.066254
NGF	-0.065779
ARHGEF26	0.063998
KLF15	0.063178
CCL7	-0.062909
MT1JP	0.061974
E2F7	-0.061655
PLK2	-0.061453
BDKRB2	-0.060748
PAQR9	-0.058983
SOX9	-0.058981
F3	0.058868
PRICKLE2	0.058459
EGR3	-0.058328
AXIN2	0.057495
PPM1L	0.057433
HSPB3	0.057206
RGCC	0.055617
IRAK3	0.055614
IFNE	-0.055155
FGD4	0.054862
FOSB	-0.053929
C10orf10	0.053790
DDIT4L	-0.053119
HAS2	-0.052761
EDN1	-0.052614
BAMBI	-0.051936
NFKBIA	0.051408
TXNIP	0.051071
LHX4	0.050998
GLUL	0.050897
FZD5	0.050751
GATA6	-0.050368
PDK4	0.050327
ALOX5AP	0.050294
CXCL8	-0.049929
CD274	-0.049912
TNFAIP6	-0.049215
SPARCL1	0.049123
TSLP	-0.049098
FASLG	-0.048927
PER1	0.048685
EGR2	-0.048532
RGMB	-0.047839
PRRG4	0.047778
ANKRD1	0.047688
HS3ST1	0.047547
CNKSR3	0.047529
MMP15	0.046992
RGS4	-0.046636
ESM1	-0.046452
CLDN4	-0.046359
RASD1	0.046129
SOCS3	-0.045698
FAM84A	0.045656
INHBA	-0.045462
ZNF189	0.045080
THBD	-0.044879
FAM216A	-0.044729
IMPA2	0.044723
RGS16	-0.044528
TNFSF4	-0.044449
ARRDC2	0.044146
YPEL2	0.043801
KRTAP1-5	-0.043321
SOCS5	-0.043116
VEGFA	-0.042852
NEDD4	0.042811
HS6ST1	0.042406
SPDL1	-0.042393
PTGER2	0.042136
HK2	-0.041994
SOST	-0.041939
IRS2	0.041612
PMAIP1	0.041438
CLCF1	-0.041371
CNNM4	-0.041361
ZBTB16	0.041210
MSC	-0.041048
MT1M	0.041038
FHDC1	0.040980
REV3L	0.040809
EPHA2	-0.040627
TNFAIP8L3	0.040563
MEDAG	0.040546
WISP1	0.040258
OSR1	0.040086
CILP	0.039940
PIM2	0.039646
LRRC38	-0.039425
IRF1	-0.039314
EGR4	-0.039263
FAM107A	0.039235
GAS1	0.039127
BMF	-0.038966
METTL7A	0.038886
SLAMF8	0.038782
FAM196A	0.038660
RHOU	0.038569
GZMK	-0.038458
TGFBR3	0.038425
NPPB	-0.038410
IP6K3	0.038372
FAM198A	0.038364
KCNE4	0.038301
KCNJ2	-0.037858
FRMD5	-0.037477
LINC00161	-0.037468
NT5DC3	0.037195
PCSK5	0.037166
RASL11A	0.036770
CH25H	-0.036748
HES1	-0.036694
KDM6B	-0.036577
PTHLH	-0.036550
B3GNT5	0.036431
CXCL1	-0.036190
AMER1	0.036135
KCTD11	-0.036128
HIVEP1	-0.035980
IL22RA1	0.035836
CCK	0.035345
PLK3	-0.035292
