!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Homo sapiens
!cell	A549
!perturbation	Dexamethasone 
!disease	Lung adenocarcinoma - 100 nM - 6 hr
!end_metadata
DUSP1	0.101070
CIDEC	0.094201
SYBU	0.091839
PRR15L	0.091444
ACSL1	0.083513
GDF15	-0.078675
FAM43A	0.074224
MT2A	0.072817
IFI27	0.072593
KLF9	0.072335
PTGER4	0.071275
EMP1	0.069876
TRIML2	-0.069842
TSC22D3	0.068662
ETNK2	0.068399
MT1A	0.065930
MT1X	0.061596
FAM105A	0.059907
ARRB1	0.059531
MT1G	0.058433
FLVCR2	0.057486
S100P	0.057052
GMPR	0.056372
SOX2	-0.055916
NR0B1	-0.055614
PKP2	0.054569
THBD	0.054118
SH3PXD2A	-0.053480
EDN3	0.053380
SLC45A4	0.053155
CIDECP	0.052760
CDC42EP3	0.052254
ZFP36	0.051229
IER3	-0.051105
SGK1	0.050805
IFI6	0.050448
PYGB	0.050205
SHROOM3	0.049713
BEST2	0.049426
NAV3	-0.049180
EFHD1	0.048829
RGS2	0.048591
PAQR7	0.048125
GALNT18	0.047940
NNMT	0.047939
IFITM1	0.047649
SOX9	-0.047590
IFI44L	0.047140
EPSTI1	0.046934
ANXA2R	0.046830
PTGS2	-0.046791
ISG15	0.046638
RGCC	0.046283
FBXL16	0.046038
VIPR1	0.046002
CRY2	0.045940
PDE7B	-0.045881
PDK4	0.045817
AKAP13	0.045064
IRAK3	0.044967
GRAMD4	0.044720
STOM	0.044653
PLEKHA7	0.044408
ANGPTL4	0.044143
IRX3	0.043120
CYP24A1	-0.043114
FSTL3	0.042715
RAP1GAP	-0.042591
SDPR	0.042264
JUN	-0.042229
SLC4A11	0.042081
ERRFI1	0.042078
TNFAIP8L3	0.042064
SLC45A1	0.042023
MAOA	0.041923
SIK1	0.041691
CITED2	0.041445
GADD45B	0.041325
APOD	0.041277
CKB	0.041001
MT1F	0.040991
CCL5	0.040294
DDIT4L	-0.040112
DDIT4	0.040047
TBC1D2B	0.039870
MX1	0.039688
TMEM43	0.039687
HEG1	0.039378
SRXN1	-0.038954
PRRX2	0.038944
RBM20	0.038883
MT1H	0.038541
NOL3	0.038541
KLF6	0.038433
CHST7	0.038419
EBF1	-0.038353
KIAA1683	0.038339
CEBPD	0.038326
PARP10	0.038053
ATOH8	0.038036
C6orf58	-0.038022
XKRX	0.037737
CORO2A	0.037712
NFKBIA	0.037078
RARRES3	0.037038
SOX4	-0.036997
IRS2	0.036898
CIART	0.036865
NBL1	0.036766
PDLIM1	0.036288
P2RY6	-0.036068
SERPINA3	0.035818
PPM1E	0.035813
SRGN	0.035521
FZD4	0.035388
HMOX1	-0.035310
ABCC8	0.035180
ZNF281	0.035162
KRT80	-0.034886
NDRG1	0.034815
FOXD2	0.034791
PARP9	0.034689
AHNAK	0.034485
GPR64	0.034275
LMCD1	-0.034199
STBD1	0.034105
FST	-0.033939
CTGF	0.033784
SCG5	0.033630
FRMD3	0.033628
SIPA1L2	-0.033373
CBR3	-0.033346
RGS17	-0.033340
FOS	0.033270
RASSF9	0.033231
TNFRSF12A	-0.033173
ZBTB20	0.032999
HPGD	0.032915
MAFG	-0.032905
EBF4	0.032727
CGNL1	0.032721
SOX13	0.032615
GCLM	-0.032386
C9orf152	0.032292
CCL2	-0.032257
IFI35	0.032093
GFOD1	0.032046
UNC5A	0.031805
OLAH	0.031756
GPT2	0.031708
BMP6	0.031689
HELZ2	0.031540
HLA-B	0.031470
FGFBP1	-0.031442
IGFBP1	0.031369
IFITM3	0.031311
BIRC3	0.031300
CEACAM1	0.031239
KRT8	0.031179
CDKN1C	0.031173
FGD4	0.031109
CXCL8	-0.031098
SOX21	-0.030851
IFI44	0.030754
BCL6	0.030704
ENC1	-0.030511
PPARGC1B	0.030465
RHOB	0.030430
RHOBTB3	0.030354
CCND3	-0.030341
A4GALT	0.030260
ANPEP	0.030247
DDX60	0.029988
ADRA1B	0.029966
PHLDA2	-0.029819
ARHGEF3	-0.029805
YPEL2	-0.029798
GPR126	0.029788
CFB	0.029583
TGFB2	-0.029560
CILP	0.029559
CACNA2D3	0.029491
REEP1	0.028995
AHI1	-0.028994
MPP6	-0.028897
WWC3	0.028797
PTHLH	-0.028684
WDR60	0.028662
DIO3OS	-0.028656
ATAD2	0.028561
PSORS1C3	0.028531
JAK1	0.028467
SCNN1G	0.028392
LAMP3	0.028367
ARL4A	0.028253
TPST1	-0.028250
MMP24	0.028231
PLK2	-0.028079
FBRSL1	0.028008
CXCL5	-0.027834
RSAD2	0.027820
VGF	0.027762
MLPH	0.027735
TNFSF9	-0.027704
ATP1A1	0.027617
PSMB9	0.027615
RELB	-0.027610
FA2H	0.027499
SLC39A14	0.027452
SLFN5	-0.027433
ANXA10	-0.027424
PISD	0.027408
MCL1	0.027296
PLCXD3	-0.027291
CHKA	0.026972
C17orf53	0.026884
MBP	-0.026800
FAM222B	0.026671
ST8SIA4	-0.026649
HGD	0.026511
CEBPB	0.026438
C14orf105	-0.026372
DCUN1D3	0.026366
MOB3B	0.026299
POC1B	0.026297
RHOU	0.026249
PARP12	0.026231
TAP1	0.026130
RAI14	-0.026078
STAT2	0.026007
MAP3K6	0.025896
CLMP	0.025896
ZXDB	0.025823
NOTCH2NL	0.025782
SPX	0.025716
RCL1	0.025648
ALDH1A3	-0.025619
ENTPD6	0.025475
EDN1	-0.025460
IFIT1	0.025458
PPFIBP2	-0.025443
SERTAD2	-0.025440
STC1	-0.025361
HES1	-0.025290
BCL9L	0.025254
GCLC	-0.025190
CPEB4	0.025084
IFFO2	-0.025053
WNT7B	-0.025040
SERPINE1	0.025024
TLR6	-0.025022
CABIN1	0.024994
TP53INP1	0.024936
SH3RF1	-0.024906
VSTM2L	0.024771
RIMKLB	0.024574
VAV3	-0.024552
PPAP2A	0.024506
NFIA	0.024437
TANC2	0.024393
DNAJB4	-0.024393
WWTR1	0.024306
PANX2	-0.024295
TCF24	0.024272
NEURL1B	0.024261
ENO2	-0.024257
LGALS3BP	0.024209
DENND5B	-0.024197
ITGA10	0.024183
ALKBH8	-0.024172
IQGAP2	0.024166
DOCK10	-0.024086
ZNF579	0.024065
RAB11FIP1	0.024058
SLC16A6	0.024011
ITPRIP	0.024006
PACSIN2	0.023983
VASH2	-0.023841
GULP1	-0.023707
EHD4	0.023701
MAN1C1	0.023690
ALOX5AP	0.023636
TP53I3	0.023624
LMBR1L	-0.023624
KITLG	0.023602
RAB4A	0.023545
TSPAN18	0.023501
ACACB	0.023464
AMD1	0.023442
LIF	-0.023435
SLC25A18	0.023395
UBE2L6	0.023326
FOXA3	-0.023247
CDR2L	0.023206
ZSWIM6	-0.023147
ESYT2	0.023126
TPM3P9	-0.023097
KRTAP4-1	-0.023052
SLC26A2	0.022999
NECAB2	-0.022998
ABCG2	-0.022954
PROSER2	0.022923
KCNG1	0.022901
KCNV1	-0.022827
KCTD15	-0.022813
IL6R	0.022769
CALCOCO2	0.022743
FECH	-0.022736
TGFBR3	0.022735
USP18	0.022684
CDH16	0.022572
KCTD3	0.022545
SOCS2	-0.022538
KRT7	0.022526
TNFAIP3	0.022525
DEPTOR	0.022519
TF	0.022494
DNER	0.022483
RHOBTB2	0.022408
TNFRSF21	-0.022390
FOXO3	0.022377
SEMA3A	-0.022337
HMGCS1	0.022336
NUAK1	-0.022328
ELF3	-0.022322
GLI1	-0.022306
RNF122	-0.022298
COTL1	-0.022270
ELL2	0.022147
PBX1	-0.022072
KLF4	0.022020
SGMS1	0.021974
PMP22	-0.021928
C11orf54	0.021911
STAC2	0.021848
MSC	-0.021839
TXNRD1	-0.021830
RND1	-0.021826
MUC1	0.021806
PLEKHG2	0.021743
FAIM	0.021663
TTC39C	0.021593
SLPI	0.021545
C1orf116	0.021519
HEATR5A	-0.021467
CBX4	0.021448
PIM1	-0.021443
CSRNP1	0.021435
LINC01091	-0.021416
NAB2	-0.021410
PNP	-0.021394
LOC153684	0.021380
BIN1	-0.021375
CAV1	0.021342
HJURP	-0.021229
JDP2	0.021219
IFI16	0.021191
BST2	0.021182
SLC16A9	0.021175
MMACHC	0.021173
RAB11FIP3	0.021169
ATF6	0.021159
SOS1	0.021126
DOK4	-0.021118
SMAD3	-0.021103
DNAJB1	0.021099
EPT1	-0.021069
ID1	0.021049
ANKRA2	0.021039
LAP3	0.021000
ZBTB8A	0.020988
PPP1R13B	0.020937
ZNF143	-0.020882
RASEF	0.020859
PRKCD	0.020852
LRRC75B	-0.020782
PID1	0.020747
TMEM158	-0.020706
PRODH	0.020675
ATP7A	-0.020655
FZD9	0.020649
GALM	-0.020637
ZCCHC24	-0.020629
ISG20	0.020623
SLC51B	0.020620
HSPA1A	-0.020618
KIF3C	-0.020609
MFSD6	0.020607
ZC3H12A	0.020606
CYP4F12	0.020589
LRP8	-0.020582
LHX4	-0.020580
SPATA2L	-0.020537
CLDN1	-0.020535
KIAA0232	0.020520
HEY1	0.020479
HAND1	0.020439
ABCC4	0.020433
MICAL2	0.020397
NBEAL2	0.020378
ECT2	-0.020342
HSPB8	-0.020289
LPHN1	0.020283
ARHGEF2	-0.020266
RAB3IL1	0.020225
CXADR	0.020224
KLHL21	-0.020218
KRT19	-0.020173
ACSS1	0.020163
AADAC	-0.020132
FCHO2	0.020127
PLEK2	0.020114
DGKG	-0.020101
FCGBP	-0.020096
FNBP1L	0.020064
CALD1	0.020041
SNX8	0.020004
TMEM189	-0.019986
FLRT3	-0.019970
H1F0	0.019944
RAB40B	-0.019943
ZCCHC6	0.019898
SQSTM1	-0.019832
KIAA1217	-0.019828
MARCH4	-0.019821
GLS	-0.019757
