!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Homo sapiens
!cell	U2Os GR3KR cell line
!perturbation	Dexamethasone 
!disease	100nM - 6hrs
!end_metadata
PDK4	0.185406
SCNN1A	0.142080
TIPARP	0.129369
SPINK13	0.125636
PHACTR3	0.124980
FKBP5	0.110202
KIAA1211L	0.102059
TXNIP	0.101963
DUSP1	0.092740
MT1X	0.089038
CEBPD	0.082532
SLC46A3	0.082498
GATSL3	0.079920
TUBA3D	0.079510
RHOB	0.076944
FOXO1	0.075329
KLF9	0.072639
SGK1	0.072555
ERRFI1	0.071097
ZFP36	0.069244
TMEM100	0.066888
NFKBIA	0.066561
MT1G	0.063743
OLAH	0.062751
CCND3	0.059974
MT1E	0.059561
TSC22D3	0.059095
F3	0.057965
CCL2	-0.057610
CACNA1I	0.055045
CTGF	0.054173
MUM1L1	0.053918
PQLC3	0.053905
BCL6	0.053348
IER3	-0.051641
ZCCHC5	0.051431
EDN2	0.050084
DDIT4	0.049188
NDRG1	0.048980
TNFRSF11B	-0.048966
SNAI2	0.048895
DNER	0.048472
SERPINA3	0.048203
SGK223	-0.047620
OGFRL1	0.046243
PTGER2	0.045921
GHR	0.045331
CEBPB	0.044980
GALNT18	0.044575
CRISPLD2	0.043578
SERTAD4	-0.043484
TGFBI	-0.043206
ALOX5AP	0.042990
PROX1	0.042794
DUSP2	0.042592
LRRC8A	0.042055
PRB2	0.041856
ZNF189	0.041825
CDC42EP3	0.041566
CDO1	0.041491
BIRC3	0.041282
ARID5B	0.039475
HELZ2	0.039316
PKP2	0.039248
PNLIP	0.038389
TRIM51	0.038227
CPA4	-0.037167
SERPINE1	0.037136
ZFAND5	0.037077
CNKSR3	0.037056
CXCL14	-0.036966
FRMD5	-0.036865
STK39	0.036759
CD70	-0.036393
S100A3	-0.036369
PLEKHG3	-0.036284
CAMK2N1	0.036072
TPST1	-0.036015
SLCO2A1	0.035723
RGS2	0.035242
NNMT	0.034890
PROSER2	0.034596
MAP3K7CL	-0.034334
SFTA1P	-0.034295
WDR60	0.034259
OR7A5	0.034070
IP6K3	0.033887
EVA1A	-0.033584
NFIL3	0.033417
PROS1	0.033306
MAP2K1	0.033231
FAM90A1	0.033222
SERTAD4-AS1	-0.033196
MT1A	0.033135
CITED2	0.032992
PLD5	0.032830
ELF1	0.032810
KRT80	-0.032649
CA2	0.032521
LRRC4C	-0.032445
NKX3-2	-0.032186
PRRG1	0.032070
SMIM3	0.032050
EPHA4	-0.031944
EPHA2	-0.031902
KCNQ3	0.031665
CLDN1	-0.031623
KCTD3	0.031456
FLRT3	0.031432
ESYT2	0.031376
JAK1	0.031359
THBS1	0.031225
PPM1H	0.031149
HEG1	0.031107
MAMLD1	-0.031064
LOC100505715	-0.030941
CDH15	0.030920
CAV1	0.030896
SLC2A14	0.030887
NPTX2	0.030747
LCTL	-0.030637
ZBTB16	0.030468
ALPL	0.030259
PDZD8	0.030220
LINC00936	0.030094
ASB9	0.030089
RASSF4	0.029972
ITPR1	0.029834
A2M	0.029817
EHD1	-0.029808
TUFT1	-0.029777
EDN3	0.029575
ADRA1B	0.029482
KIF13B	0.029355
ZNF217	0.029141
COL16A1	-0.029106
INPP1	0.028886
TUBA4A	-0.028873
MYEOV	-0.028750
KCNN4	-0.028549
JUN	-0.028536
ALCAM	0.028447
RNF150	-0.028407
HBEGF	-0.028374
HES1	-0.028247
TCF4	-0.028195
ABLIM3	0.028134
MSX2	0.028128
BNIP3	0.028125
ATP1A1	0.027738
SYNPO2L	-0.027738
ZDHHC23	0.027644
RDH5	-0.027633
KCNH3	-0.027443
CREBRF	0.027379
SLC9A2	0.027367
NEXN	0.026973
SLC25A18	0.026958
METTL7B	0.026800
CCL20	0.026685
TGFBR2	0.026681
GUCY1A2	-0.026656
MT2A	0.026599
KLHL4	0.026244
PCSK5	0.026197
WNT5A	0.026138
MYCN	-0.026137
WASL	0.026038
SMAD6	-0.026000
TEAD3	0.025991
TSPYL2	0.025932
TPST2	-0.025774
NAV2	0.025682
MARCH4	-0.025584
GLI3	-0.025363
CLPTM1L	0.025191
ENC1	-0.025180
VWA5B2	-0.025134
BCL2L1	0.025015
DRD1	-0.024990
IL6ST	0.024971
DYSF	-0.024927
ZCCHC6	0.024886
ZFP36L2	0.024862
