!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Homo sapiens
!cell	HPCs
!perturbation	Dexamethasone
!disease	100 nM
!end_metadata
SERPINE1	0.123054
CCL20	0.081618
IL1B	-0.078373
CCL2	-0.075914
SPP1	-0.074950
LOX	0.072218
NRCAM	0.071682
CRYAB	0.071156
IRS2	0.070880
FKBP5	0.069119
CXCL5	0.067936
SLITRK4	0.065485
GBP2	-0.064370
PLAU	-0.063132
SPOCK1	-0.062708
SLC46A3	0.061790
PIM2	-0.061789
SCD	0.060852
CFAP58	-0.060811
CDKN1C	-0.060774
SGK1	0.060746
RDH10	-0.059126
CITED4	0.058116
PRSS23	-0.057277
EMP1	0.057005
IGFBP3	-0.056856
IL11	-0.056758
FOXC1	-0.056421
ANKRD10	-0.055732
NRBP2	0.055564
LDLR	0.055182
DUSP1	0.054569
TNFRSF11B	-0.052888
FLG	-0.052737
GCNT3	-0.051532
KLF6	0.051528
EPSTI1	0.051234
PPME1	0.051050
TMEM158	-0.050444
MALL	0.050375
CNN1	-0.049930
ADAMTS5	-0.049809
OLFML2A	-0.049203
FAM107B	-0.049056
CXCL12	-0.048883
SLC7A14	-0.047882
CDH13	-0.047241
PTGIS	-0.047223
VASN	-0.046813
GPR56	-0.046721
TTC29	0.046132
PPP1R3C	0.045523
MT1M	0.044860
DCN	0.044645
ITGA10	0.044493
NPPB	-0.044024
F3	0.043391
BEX2	-0.043052
VANGL2	-0.042982
CGNL1	-0.042396
SIPA1L2	-0.042301
AKR1C3	-0.042273
TGFBI	-0.042273
CCND3	0.041774
GOLT1A	0.041415
PRUNE2	0.040924
SCNN1A	0.040916
LOXL4	-0.040844
MT1G	0.040770
EDNRA	0.040354
FASN	0.040275
GDF15	-0.040216
ITPKA	0.040140
CRISPLD2	0.039956
PIK3IP1	-0.039798
EGR1	0.039730
UGT2B7	0.039358
CFLAR	0.039143
MT1F	-0.038868
GABARAPL1	-0.038773
IL1A	-0.038560
SAA1	0.038474
CSF2	-0.038461
GATS	-0.038441
CADM1	-0.038286
SRGN	0.038106
HMGCS1	0.038003
EXOG	0.037777
SEC14L1	0.037766
COL16A1	-0.037736
SP110	0.037683
CYTL1	-0.037630
PDZK1IP1	-0.037615
LIMCH1	-0.037368
SOD2	-0.037280
IFITM3	0.037270
ANGPTL4	0.037222
RPL13A	-0.036990
SEMA3A	-0.036928
FSTL3	0.036911
KRT7	0.036762
WWTR1	0.036563
EFNB2	0.036438
LRRN3	-0.036381
ANXA2P1	0.036218
HIPK2	0.036173
GADD45B	0.036127
CXCL16	-0.036088
PLTP	-0.036045
TIPARP	0.036023
AKR1B1	-0.035941
TNFSF10	-0.035932
MIOS	0.035589
PNP	0.035370
ISG15	0.035290
IFITM1	0.035118
MEOX1	-0.034969
CD82	-0.034954
NOV	-0.034950
NLRP8	0.034873
CPA4	-0.034732
OLFML3	-0.034663
DNAJB4	0.034515
SLC38A2	0.034511
HAVCR2	-0.034463
CYGB	0.034407
LOXL3	0.034330
EFEMP1	0.034146
TBC1D19	0.034088
NEU1	-0.034083
MAOA	0.034076
ARSI	-0.033958
ITPK1-AS1	0.033833
ARID5B	-0.033748
GCHFR	-0.033703
PLA1A	-0.033697
TRIB3	0.033593
SQLE	0.033592
IFI44L	0.033539
GALNT12	-0.033483
CTSD	-0.033468
HKDC1	-0.033455
FAM84B	-0.033453
KLF9	0.033250
MT1E	0.032914
FEZ1	-0.032757
AOX1	0.032754
MAP3K7CL	-0.032679
MARCKSL1	-0.032484
DIXDC1	0.032445
MX2	0.032374
PSAP	-0.032367
C6orf58	-0.032258
ADCK3	-0.032144
SAMD9L	0.032107
GRN	-0.032035
TNF	-0.031994
PRICKLE2	-0.031938
SALL2	-0.031899
TMEM173	0.031876
PFKFB4	-0.031867
PON2	0.031845
SERPINE2	0.031669
RGS2	0.031561
HLA-DOA	-0.031529
DDX51	0.031499
RSAD2	0.031431
OAF	-0.031424
WNT7B	-0.031416
FAM110B	-0.031215
RNASET2	0.030932
AIF1L	-0.030870
C19orf33	0.030792
MELK	0.030786
NDST1	-0.030749
BAAT	-0.030600
PRICKLE1	-0.030527
