!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Homo sapiens
!cell	HeLa cell
!perturbation	Dexamethasone
!disease	3 hrs
!end_metadata
GINS4	0.069335
ZNF121	-0.060417
LATS2	-0.044469
PTMA	0.042894
HSPE1	-0.041895
LOC643802	-0.041181
SUMO1	-0.039732
METTL16	-0.038956
DHFR	0.038901
WDR74	0.038231
AGPAT3	0.037685
AXDND1	0.037376
MED9	0.037324
TBX21	-0.036886
KCNB2	-0.036679
SLC25A10	0.036533
MRPS31P5	0.035943
ZNF572	-0.035875
BTD	-0.035395
LIPE-AS1	-0.035282
BLOC1S1	-0.035275
CRX	-0.034797
CLU	-0.034617
RNU4-1	-0.034591
PROX2	0.034493
SPDYE6	0.034436
SLC35E4	-0.034156
BPNT1	0.034041
ZNF561	-0.033976
SSR3	0.033830
GSPT2	0.033645
RUNX3	-0.033640
LMOD3	0.033030
CDK3	0.033020
MROH8	0.032634
SIRT6	-0.032265
H2AFV	-0.032247
LOC100128288	0.032235
CD55	-0.032118
ACOT8	0.031968
ZNF483	0.031933
HOXA10	-0.031775
CSTF2T	0.031729
SAMD10	-0.031284
TMPRSS12	-0.031235
CLUHP3	-0.031123
LILRB5	-0.031107
DLG1	-0.031009
SRCAP	-0.030854
HID1	-0.030840
TBC1D17	0.030822
GSTTP2	0.030757
IL17RD	0.030634
FOXI3	-0.030464
TMEM106A	0.030401
SNORD17	0.030362
ZNF300P1	-0.029925
ZNF813	0.029908
RCAN3	0.029881
FAM115A	0.029422
PTGR2	0.029328
TGFBR3	-0.029076
HTR4	0.028911
SNORD38A	0.028876
ALPP	0.028803
TREM2	-0.028800
ASNA1	0.028614
NEXN	-0.028499
APBB1IP	-0.028439
ZNF525	-0.028335
SHROOM1	0.028275
PLCZ1	-0.028250
FBXL13	0.028150
EFCAB7	-0.028145
C1GALT1	-0.027925
DIS3	-0.027821
MORC3	-0.027772
LLGL1	0.027756
CFB	0.027636
MLF1	0.027631
PDZD4	0.027565
TNFRSF10A	0.027441
EPM2A	-0.027365
AZU1	0.027333
RNF113A	0.027319
LINC01018	0.027313
SUMO4	-0.027306
PLAC8L1	-0.027277
MAP2K2	-0.027213
RNASE10	0.027204
SLITRK5	0.027159
TENC1	0.027095
CHD8	0.026942
HOXB2	0.026871
RSF1	-0.026856
BEST3	0.026541
KCNK5	-0.026518
CERKL	-0.026481
ARHGEF4	0.026479
RELT	0.026464
CTSZ	-0.026454
BGLAP	0.026452
DPF1	-0.026384
TMEM52	0.026360
HPD	-0.026311
ZNF711	-0.026284
PIANP	-0.026208
OR10AD1	0.026191
RBAK	-0.026185
EPB41L4A	-0.026117
ZNF234	-0.026110
EIF3A	-0.026087
DEPTOR	0.026027
STXBP4	-0.025976
RASAL3	-0.025892
TENM1	-0.025870
RASA2	-0.025863
DOK4	-0.025802
FAM153A	0.025755
SYNE1	0.025691
LURAP1L	-0.025642
EAF1	0.025635
TRAPPC10	-0.025618
ERVW-1	0.025549
COL4A2	-0.025528
NAPG	-0.025482
SNORA77	-0.025435
SNX33	0.025406
DALRD3	0.025380
DLD	-0.025321
IRF8	-0.025319
USP19	0.025237
MAN2C1	0.025163
RASL11A	0.025156
NUDCD1	-0.025136
RNU1-3	0.025075
PCF11	-0.025062
QTRT1	0.025003
AFF3	-0.024998
LEP	0.024962
TMEM192	0.024950
LRRC17	-0.024923
TP53RK	-0.024911
MSTO1	0.024904
BMS1P5	0.024895
TDRD3	-0.024823
SAMD9L	-0.024811
ACSS1	-0.024787
SCLT1	-0.024783
FAM115C	0.024766
CHRNA2	-0.024660
RECQL	-0.024650
CXorf56	0.024603
CCDC88A	-0.024597
GNRH1	-0.024521
SNORA70C	0.024491
PURG	0.024464
ZNF8	-0.024416
KIF7	0.024404
AIF1	0.024398
TMEM74	-0.024395
TBX3	0.024379
ZFP62	0.024353
C1orf56	0.024341
FAM86FP	-0.024289
LINC00961	-0.024272
ADIPOQ	0.024225
CRYBA2	0.024212
PDP2	0.024195
METRN	0.024189
ISL2	-0.024176
LMCD1	0.024172
FLNA	-0.024128
