!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Homo sapiens
!cell	U2Os cell line
!perturbation	Dexamethasone
!disease	100 nM - 6 hrs
!end_metadata
PDK4	0.160510
TIPARP	0.153196
SPINK13	0.139126
SCNN1A	0.131162
FKBP5	0.129057
DUSP1	0.127217
PHACTR3	0.123086
KIAA1211L	0.121710
TXNIP	0.115145
MT1X	0.112965
CEBPD	0.105249
GATSL3	0.091898
NFKBIA	0.091592
MT1G	0.090776
CCND3	0.080235
TMEM100	0.079640
RHOB	0.078349
ZFP36	0.078291
CCL2	-0.077917
SGK1	0.077240
MT1E	0.077144
SLC46A3	0.076498
TUBA3D	0.075202
DDIT4	0.073525
OLAH	0.069225
FOXO1	0.068727
F3	0.065222
TSC22D3	0.065052
ERRFI1	0.064818
KLF9	0.064220
CTGF	0.062657
GALNT18	0.058992
ZCCHC5	0.058712
SERPINA3	0.057869
CACNA1I	0.057775
PROX1	0.056320
DUSP2	0.055977
HELZ2	0.055904
CITED2	0.055327
CA2	0.053505
DNER	0.053061
SLCO2A1	0.052812
OGFRL1	0.051696
ACKR3	0.051222
TNFRSF11B	-0.051162
SERTAD4	-0.051042
IER3	-0.050748
CLPTM1L	0.050148
PRB2	0.049492
SERPINE1	0.049335
LRRC4C	-0.049224
GHR	0.048949
ARID5B	0.048944
CRISPLD2	0.048813
ZNF189	0.048579
CREG1	0.047981
FSTL3	0.047632
LINC00936	0.047519
PTGER2	0.046153
MT2A	0.045436
CEBPB	0.044818
WDR60	0.044425
LRRC8A	0.044361
MT1A	0.043778
ALOX5AP	0.043200
CAV1	0.042518
KIF13B	0.042347
RGS2	0.042315
ZDHHC23	0.042224
PLAU	-0.042038
PKP2	0.041833
MUM1L1	0.041681
OR7A5	0.041568
SGK223	-0.041535
THBS1	0.040519
NKX3-2	-0.040308
SERTAD4-AS1	-0.040289
ALPL	0.040201
KCNQ3	0.040137
STK39	0.039642
HEG1	0.039198
NAV2	0.039187
PQLC3	0.039111
ENC1	-0.038931
TGFBI	-0.038465
ARL4C	-0.038457
SNAI2	0.038264
TPST1	-0.037912
CNKSR3	0.037777
PNLIP	0.036958
GUCY1A2	-0.036586
IRF8	0.036542
FRMD5	-0.036316
MAP3K7CL	-0.036283
SLC39A14	0.035947
SLC2A12	-0.035919
PROSER2	0.035570
PRKX	0.035504
BIRC3	0.035466
HES1	-0.035256
TNFRSF21	-0.035237
PLEKHG3	-0.035215
NDRG1	0.035039
ZFAND5	0.034981
NEXN	0.034952
TUFT1	-0.034844
KANK4	-0.034724
TRNP1	0.034679
ELF1	0.034552
BMP5	-0.034542
CXCL8	0.034451
HAVCR2	-0.033853
SMAD6	-0.033785
LTBR	0.033691
LMCD1	-0.033612
CERS6	0.033550
CDH15	0.033413
SFTA1P	-0.033413
ARHGEF3	-0.033368
RDH5	-0.033147
LPXN	-0.032992
PRB1	0.032981
GPR64	0.032813
KIF5C	0.032760
ARHGAP28	-0.032678
CDC42EP3	0.032607
MAP2K1	0.032389
TM4SF1	-0.032370
INPP1	0.032072
NNMT	0.031988
IP6K3	0.031841
PLD5	0.031808
PROS1	0.031564
KRT80	-0.031508
RGS17	0.031456
EHD1	-0.031279
MKNK2	0.031148
ADRA1B	0.030946
MAMLD1	-0.030921
CCL20	0.030810
EDN3	0.030743
FHL2	-0.030705
BCL6	0.030613
RN7SK	-0.030581
SEMA3A	-0.030573
BCL2L1	0.030547
RASSF4	0.030461
CRYBA4	-0.030262
SMIM3	0.030025
CAMK2N1	0.030023
SOX2	-0.029910
DRD1	-0.029905
LCTL	-0.029867
