tissue	disease	cell_line	pert_name	pert_time	pert_type	data_level	creation_time	persistent_id	pert_dose
skin of body	melanoma	A375	NR3C1	96 h	shRNA Knockdown	3	2021-01-21	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/shRNA/L1000_LINCS_DCIC_KDA001_A375_96H_C11_NR3C1.tsv.gz	
skin of body	melanoma	A375	NR3C1	96 h	shRNA Knockdown	3	2021-01-21	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/shRNA/L1000_LINCS_DCIC_KDA001_A375_96H_E11_NR3C1.tsv.gz	
skin of body	melanoma	A375	NR3C1	96 h	shRNA Knockdown	3	2021-01-21	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/shRNA/L1000_LINCS_DCIC_KDA001_A375_96H_M07_NR3C1.tsv.gz	
lung	lung cancer	A549	NR3C1	96 h	shRNA Knockdown	3	2021-01-21	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/shRNA/L1000_LINCS_DCIC_KDA001_A549_96H_C11_NR3C1.tsv.gz	
lung	lung cancer	A549	NR3C1	96 h	shRNA Knockdown	3	2021-01-21	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/shRNA/L1000_LINCS_DCIC_KDA001_A549_96H_E11_NR3C1.tsv.gz	
lung	lung cancer	A549	NR3C1	96 h	shRNA Knockdown	3	2021-01-21	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/shRNA/L1000_LINCS_DCIC_KDA001_A549_96H_M07_NR3C1.tsv.gz	
kidney		HA1E	NR3C1	96 h	shRNA Knockdown	3	2021-01-21	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/shRNA/L1000_LINCS_DCIC_KDA001_HA1E_96H_C11_NR3C1.tsv.gz	
kidney		HA1E	NR3C1	96 h	shRNA Knockdown	3	2021-01-21	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/shRNA/L1000_LINCS_DCIC_KDA001_HA1E_96H_E11_NR3C1.tsv.gz	
kidney		HA1E	NR3C1	96 h	shRNA Knockdown	3	2021-01-21	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/shRNA/L1000_LINCS_DCIC_KDA001_HA1E_96H_M07_NR3C1.tsv.gz	
liver	carcinoma	HEPG2	NR3C1	96 h	shRNA Knockdown	3	2021-01-21	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/shRNA/L1000_LINCS_DCIC_KDA001_HEPG2_96H_C11_NR3C1.tsv.gz	
liver	carcinoma	HEPG2	NR3C1	96 h	shRNA Knockdown	3	2021-01-21	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/shRNA/L1000_LINCS_DCIC_KDA001_HEPG2_96H_E11_NR3C1.tsv.gz	
liver	carcinoma	HEPG2	NR3C1	96 h	shRNA Knockdown	3	2021-01-21	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/shRNA/L1000_LINCS_DCIC_KDA001_HEPG2_96H_M07_NR3C1.tsv.gz	
