tissue	disease	cell_line	pert_dose	pert_name	pert_time	pert_type	data_level	creation_time	persistent_id	batch
intestine	colon adenocarcinoma	HT29	10 uM	dexamethasone	6 h	Chemical	5	2021-05-08	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_HT29_6H_F09_dexamethasone_10uM.tsv.gz	CPC006_HT29_6H
endometrium	endometrial cancer	HEC108	10 uM	dexamethasone	6 h	Chemical	5	2021-05-08	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_HEC108_6H_O03_dexamethasone_10uM.tsv.gz	CPC006_HEC108_6H
lung	lung cancer	HCC515	10 uM	dexamethasone	24 h	Chemical	5	2021-05-08	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_HCC515_24H_F09_dexamethasone_10uM.tsv.gz	CPC006_HCC515_24H
lung	lung cancer	HCC515	10 uM	dexamethasone	6 h	Chemical	5	2021-05-08	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_HCC515_6H_O03_dexamethasone_10uM.tsv.gz	CPC006_HCC515_6H
liver	carcinoma	HEPG2	10 uM	dexamethasone	6 h	Chemical	5	2021-05-08	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_HEPG2_6H_F09_dexamethasone_10uM.tsv.gz	CPC006_HEPG2_6H
kidney		HA1E	10 uM	dexamethasone	6 h	Chemical	5	2021-05-08	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_HA1E_6H_O03_dexamethasone_10uM.tsv.gz	CPC006_HA1E_6H
intestine	colon carcinoma	HCT116	10 uM	dexamethasone	6 h	Chemical	5	2021-05-08	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_HCT116_6H_F09_dexamethasone_10uM.tsv.gz	CPC006_HCT116_6H
kidney		HA1E	10 uM	dexamethasone	24 h	Chemical	5	2021-05-08	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_HA1E_24H_F09_dexamethasone_10uM.tsv.gz	CPC006_HA1E_24H
endometrium	endometrial cancer	HEC108	10 uM	dexamethasone	6 h	Chemical	5	2021-05-08	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_HEC108_6H_F09_dexamethasone_10uM.tsv.gz	CPC006_HEC108_6H
large intestine	colon carcinoma	HT115	10 uM	dexamethasone	6 h	Chemical	5	2021-05-08	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_HT115_6H_F09_dexamethasone_10uM.tsv.gz	CPC006_HT115_6H
