tissue	disease	cell_line	pert_name	pert_time	pert_type	data_level	creation_time	persistent_id	pert_dose	batch
prostate gland	prostate adenocarcinoma	PC3	NR3C1	96 h	Overexpression	5	2021-05-19	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/oe/L1000_LINCS_DCIC_OEB005_PC3_96H_L14_NR3C1.tsv.gz		OEB005_PC3_96H
breast	breast adenocarcinoma	MCF7	NR3C1	96 h	Overexpression	5	2021-05-19	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/oe/L1000_LINCS_DCIC_OEB005_MCF7_96H_L14_NR3C1.tsv.gz		OEB005_MCF7_96H
intestine	colon adenocarcinoma	HT29	NR3C1	96 h	Overexpression	5	2021-05-19	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/oe/L1000_LINCS_DCIC_OEB005_HT29_96H_L14_NR3C1.tsv.gz		OEB005_HT29_96H
liver	carcinoma	HEPG2	NR3C1	96 h	Overexpression	5	2021-05-19	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/oe/L1000_LINCS_DCIC_OEB005_HEPG2_96H_L14_NR3C1.tsv.gz		OEB005_HEPG2_96H
lung	lung cancer	HCC515	NR3C1	96 h	Overexpression	5	2021-05-19	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/oe/L1000_LINCS_DCIC_OEB005_HCC515_96H_L14_NR3C1.tsv.gz		OEB005_HCC515_96H
kidney		HA1E	NR3C1	96 h	Overexpression	5	2021-05-19	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/oe/L1000_LINCS_DCIC_OEB005_HA1E_96H_L14_NR3C1.tsv.gz		OEB005_HA1E_96H
skin of body	melanoma	A375	NR3C1	96 h	Overexpression	5	2021-05-19	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/oe/L1000_LINCS_DCIC_OEB005_A375_96H_L14_NR3C1.tsv.gz		OEB005_A375_96H
lung	lung cancer	A549	NR3C1	96 h	Overexpression	5	2021-05-19	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/oe/L1000_LINCS_DCIC_OEB005_A549_96H_L14_NR3C1.tsv.gz		OEB005_A549_96H
kidney		HEK293T	NR3C1	96 h	Overexpression	5	2021-05-19	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/oe/L1000_LINCS_DCIC_MDVL001_293T_96H_E01_NR3C1_200ng.tsv.gz	200 ng	MDVL001_293T_96H
kidney		HEK293T	NR3C1	96 h	Overexpression	5	2021-05-05	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/oe/L1000_LINCS_DCIC_MDVL001_293T_96H_C23_NR3C1_200ng.tsv.gz	200 ng	MDVL001_293T_96H
kidney		HEK293T	NR3C1	96 h	Overexpression	5	2021-05-19	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/oe/L1000_LINCS_DCIC_MDVL001_293T_96H_C21_NR3C1_200ng.tsv.gz	200 ng	MDVL001_293T_96H
kidney		HEK293T	NR3C1	96 h	Overexpression	5	2021-05-19	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/oe/L1000_LINCS_DCIC_MDVL001_293T_96H_C19_NR3C1_200ng.tsv.gz	200 ng	MDVL001_293T_96H
kidney		HEK293T	NR3C1	96 h	Overexpression	5	2021-05-19	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/oe/L1000_LINCS_DCIC_MDVL001_293T_96H_C17_NR3C1_200ng.tsv.gz	200 ng	MDVL001_293T_96H
kidney		HEK293T	NR3C1	72 h	Overexpression	5	2021-05-19	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/oe/L1000_LINCS_DCIC_MDVL001_293T_72H_E01_NR3C1_200ng.tsv.gz	200 ng	MDVL001_293T_72H
kidney		HEK293T	NR3C1	72 h	Overexpression	5	2021-05-19	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/oe/L1000_LINCS_DCIC_MDVL001_293T_72H_C23_NR3C1_200ng.tsv.gz	200 ng	MDVL001_293T_72H
kidney		HEK293T	NR3C1	72 h	Overexpression	5	2021-05-19	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/oe/L1000_LINCS_DCIC_MDVL001_293T_72H_C21_NR3C1_200ng.tsv.gz	200 ng	MDVL001_293T_72H
kidney		HEK293T	NR3C1	72 h	Overexpression	5	2021-05-06	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/oe/L1000_LINCS_DCIC_MDVL001_293T_72H_C19_NR3C1_200ng.tsv.gz	200 ng	MDVL001_293T_72H
kidney		HEK293T	NR3C1	72 h	Overexpression	5	2021-05-06	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/oe/L1000_LINCS_DCIC_MDVL001_293T_72H_C17_NR3C1_200ng.tsv.gz	200 ng	MDVL001_293T_72H
