!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Mus musculus
!cell	Quadriceps
!perturbation	Dexamethasone
!disease	2 mg/kg
!end_metadata
LCN2	0.121932
MYH7	0.087936
MYL2	0.067197
CDKN1A	0.066371
KCNK1	0.065339
STC2	0.065293
PTPRF	0.063591
PTGDS	0.062347
LALBA	-0.060042
PNMT	0.059760
KIAA0513	0.059746
FLVCR2	0.058877
NMRK2	-0.056439
SOX4	0.055045
S100A8	0.054821
FOXO1	0.053098
SLC39A14	0.053088
TNNT1	0.053088
CD27	0.053072
S100A9	0.052873
NKX2-5	-0.051792
C10orf10	0.050631
GNMT	0.050064
PPP1R3C	0.049964
MYH6	0.049705
ANGPTL4	0.048063
PRND	-0.047975
SESN1	0.047172
FAM107A	0.047131
CKLF	0.046999
PGLYRP1	0.046934
FAM46B	0.046216
LRG1	0.046131
MAP3K6	0.046104
AIF1	-0.045757
CA4	0.045706
GBP4	-0.045249
CCL13	-0.045203
TIAM2	0.045174
HLA-DQB1	-0.044768
PLIN5	0.043774
GLRA2	0.043757
SLC43A1	0.043641
TMEM82	0.043590
SLC30A2	0.043382
C1orf168	0.042850
ANKRD2	0.042647
G0S2	0.042554
ANXA13	0.042539
ITGA11	-0.042426
PROM1	0.042371
CST5	-0.041826
HP	0.041605
TNK2	-0.041538
SLC7A8	0.040750
SFRP4	-0.040221
MAFF	0.040153
ATP10B	0.040133
FKBP5	0.040054
APBB3	0.039897
LMOD2	0.039797
CCL24	-0.039335
AGXT2	0.039098
TRIM63	0.039057
SOCS1	-0.039044
CXCL13	0.038886
HOGA1	0.038800
STON1	-0.038692
GREB1	0.038689
CAPNS2	0.038642
HLA-DQA1	-0.038564
CXorf23	0.038515
RRM2	0.037825
UCP3	0.037744
DIO3	0.037629
CCKAR	0.037585
PGAP3	0.037163
MUSK	0.037062
TNNI1	0.037050
PDK4	0.037013
ALDH9A1	0.036895
RASGEF1B	0.036596
XPNPEP2	-0.036506
SCNN1G	0.036338
FAM163A	0.036250
LOC102723545	0.036212
GNA14	0.036206
LRIT2	0.036122
HBEGF	0.035951
OCM	0.035819
PSMB9	-0.035681
DOC2B	0.035640
CTH	0.035558
MMP12	0.035430
C1QTNF2	-0.035181
FAM150B	0.035176
KLF10	0.035153
CYP17A1	-0.034915
FAM83D	-0.034849
CYTL1	0.034756
RGCC	0.034291
CHST15	0.034165
PPARA	0.033553
PSMB8	-0.033437
LOX	0.033433
PIK3R1	0.033379
CCL2	-0.033351
FAM134B	0.033342
KLHL38	0.033319
UBA7	-0.033302
ZNF423	0.033143
ACKR3	0.033076
PF4	-0.032996
HAP1	-0.032939
AGPAT9	0.032900
NFIL3	0.032842
TFCP2L1	0.032763
ALDH1A2	-0.032744
FOXO6	-0.032515
TNFAIP2	-0.032506
PRRX2	-0.032465
CD248	-0.032410
