!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Homo sapiens
!cell	DND41 cell line
!perturbation	Dexamethasone
!disease	 1µM Dex for 24h after shLUC infection
!end_metadata
TP53INP1	0.124545
ISG20	0.111658
PIK3IP1	0.094886
NFKBIA	0.088424
TXNIP	0.084634
GINS2	-0.080717
GZMA	0.071167
CD53	0.069151
CD69	0.067879
DDIT4	0.067576
BTG1	0.067441
LY96	0.066735
H19	-0.065790
LPAR6	0.065001
BHLHE40	0.064298
CDC45	-0.064208
MCM4	-0.064161
DFNA5	0.062334
MCM2	-0.061175
SESN1	0.061119
P2RX5	0.060580
PLAC8	0.059760
CXCR4	0.059691
RGPD8	0.058958
RGPD2	0.058165
TSC22D3	0.055945
IGJ	-0.055486
AZI2	0.055133
MCM5	-0.054905
FAM65B	0.054663
ADM	0.054078
ODC1	-0.053863
YBX3	0.053690
LINC00938	0.053104
SOCS1	0.052892
FAIM3	0.051771
TBL1X	0.051442
YPEL5	0.051387
MXD4	0.050729
LOC283070	0.049670
MCM3	-0.048844
RCSD1	0.048826
CDT1	-0.048700
RANBP1	-0.047911
PXYLP1	0.047383
GRAMD4	0.046837
IMPDH2	-0.046549
RGPD1	0.046139
SMAP2	0.046025
JAM3	0.045472
KLHL24	0.045237
CHEK1	-0.045186
SOCS2	0.044787
RHOBTB3	0.044752
RCBTB2	0.044262
BIRC3	0.043632
SRM	-0.043620
TK1	-0.042749
NDRG1	0.042584
TUBA4A	0.042348
SMIM3	0.042180
ZFP36L2	0.042085
NOTCH3	0.042076
FEN1	-0.042060
IGFBP2	-0.041898
RFC4	-0.041856
PTGER2	0.041646
UGP2	0.041550
ARHGEF3	0.040995
TYMS	-0.040900
FAM216A	-0.040845
CDK4	-0.039951
TMEM70	0.039863
EGR1	0.039636
PA2G4	-0.039598
RDH10	0.039556
TAX1BP3	0.039487
TAGLN2	-0.038670
MCM6	-0.038319
DUSP2	0.038260
EVA1A	0.038079
SLA	0.037714
NBN	0.037693
RAMP2-AS1	0.037669
CTPS1	-0.037628
TFRC	-0.037502
MAL	0.037378
LRRC37BP1	0.037189
DKC1	-0.036892
KLF6	0.036888
JAK1	0.036583
UBASH3B	0.036272
RUNX2	0.036249
C16orf59	-0.036207
TOMM40	-0.036064
GAPDH	-0.035961
SNHG1	-0.035610
CENPK	-0.035584
C20orf27	-0.035578
POLE2	-0.035555
MCM10	-0.035548
PRIM1	-0.035485
BTG2	0.035255
MSH6	-0.035200
RRM1	-0.035164
CENPM	-0.035048
RNASET2	0.035025
TPT1	0.034895
PAICS	-0.034851
POLR3GL	0.034539
IFI44	0.034536
AKNA	0.034471
EOMES	0.034465
HIATL2	0.034304
HSPE1	-0.034297
ZNF486	0.034273
JPH1	0.034200
DSCC1	-0.034195
RRM2	-0.034144
NRROS	-0.034144
OSBPL5	0.034088
ESYT2	0.034013
IRF9	0.033936
TTLL12	-0.033688
CD300A	-0.033602
GGCT	-0.033542
RAPGEF5	0.033265
SAP30	0.033235
SUN2	0.033174
CENPW	-0.033013
SLBP	-0.032983
FXYD6	-0.032960
STIM1	0.032920
ALPP	0.032880
CFH	0.032849
TIMELESS	-0.032677
SFXN4	-0.032611
GLTSCR2	0.032533
AOC4P	0.032496
C1QBP	-0.032495
LYAR	-0.032315
FASN	-0.032182
PPIH	-0.032126
EIF5A	-0.032116
DHCR24	-0.032094
MAP1A	0.032044
ADA	-0.032036
PSMG1	-0.031933
BYSL	-0.031861
CIRH1A	-0.031844
PAQR8	0.031834
STRA13	-0.031771
ATP6V0E2	0.031767
DCTPP1	-0.031679
CBLB	0.031475
TRIP13	-0.031468
BZW2	-0.031413
LOC729603	0.031310
SRP14	0.031270
IRX3	0.031223
CHAF1B	-0.031196
HIST1H2BK	0.031149
TESC	-0.031069
IKZF1	0.030908
GLRX	0.030879
SLC35E2B	0.030838
EBNA1BP2	-0.030823
SRSF5	0.030681
MRPL17	-0.030661
AHCY	-0.030559
LTB	-0.030543
PUS7	-0.030512
ALOX5AP	0.030490
CDC25A	-0.030490
CHCHD3	-0.030446
RITA1	-0.030389
PTMA	-0.030319
OGT	0.030299
RNASEH2A	-0.030230
POLA2	-0.030170
BRIX1	-0.030106
TNFRSF14	0.030080
DTL	-0.030072
CHMP1B	0.030055
KIAA1147	0.029970
HIST1H2AC	0.029934
SSH2	0.029915
SHQ1	-0.029846
TNFSF8	0.029665
RPF2	-0.029653
PPAT	-0.029652
IL7R	0.029644
GLIPR1	0.029623
FKBP4	-0.029555
ITPK1-AS1	0.029554
IFITM3	-0.029535
COLGALT1	-0.029521
GPR68	-0.029425
ZNF738	0.029419
CELF2	0.029402
TMEM59	0.029355
NCL	-0.029342
PKM	-0.029317
POLR3K	-0.029251
TMEM123	0.029244
UCHL5	-0.029182
GMNN	-0.029133
ZFP36	0.029129
FANCI	-0.029111
ASF1B	-0.029082
NR2C2AP	-0.029060
IRF1	-0.028965
GMPS	-0.028884
KIAA0020	-0.028855
SMS	-0.028853
GPD1L	0.028788
CTDSP2	0.028711
RAP2A	0.028671
MRTO4	-0.028614
IL18	0.028600
TGFBR2	0.028591
ATAD3A	-0.028558
SPSB3	0.028531
ARHGEF6	0.028498
RPP40	-0.028482
IGF2R	0.028413
LOC100128288	0.028390
NOP56	-0.028370
RPL13A	0.028302
RAD51AP1	-0.028301
KIAA0430	0.028295
PSME2	-0.028281
BMS1P5	0.028274
PFAS	-0.028231
RAD54L	-0.028182
NOLC1	-0.028179
ANTXR2	0.028136
DEK	-0.028062
PCTP	0.028039
CCDC109B	-0.028036
FABP5	-0.028019
HSP90AB1	-0.027978
UCK2	-0.027908
FH	-0.027904
CD97	0.027879
RBM5	0.027855
TOMM5	-0.027790
TKT	-0.027782
GOLGA6L6	0.027756
RIMS3	0.027741
ASXL2	0.027724
CPVL	-0.027625
FOXJ3	0.027621
POLD1	-0.027515
SUPT16H	-0.027513
MIF	-0.027461
DUSP6	0.027390
RGS1	0.027379
TIPIN	-0.027259
UHRF1	-0.027193
STAT2	0.027161
SAC3D1	-0.027161
CSE1L	-0.027135
RAB5B	0.027133
NOP58	-0.027106
HSPB11	-0.027060
SMCO4	-0.027050
MGEA5	0.026969
TFDP1	-0.026962
LPIN1	0.026939
RSBN1	0.026904
OSER1	0.026839
STT3B	0.026816
SAT2	0.026812
ZMAT3	0.026802
ERAP2	0.026774
PSMA3	-0.026774
TEX30	-0.026716
HAUS7	-0.026606
ALG3	-0.026517
CDK2	-0.026472
