!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Homo sapiens
!cell	DND41 cell line
!perturbation	Dexamethasone
!disease	 1µM Dex for 24h after shPTEN infection
!end_metadata
JUN	-0.135762
FKBP5	0.119549
BTG1	0.109312
TXNIP	0.098175
ISG20	0.094720
MT2A	0.093685
DDIT4	0.087175
PIK3IP1	0.086305
MT1A	0.085758
CD53	0.077200
YRDC	-0.070330
TSC22D3	0.068870
NFKBIA	0.065559
WFS1	0.063271
NKX2-5	-0.062195
ZFP36L2	0.061324
C1orf186	0.060573
ALOX5AP	0.056553
UBASH3B	0.053796
MYC	-0.053007
ARHGEF18	0.052203
JUND	-0.049143
RCSD1	0.048994
MXD4	0.047796
SMIM24	0.046030
PTS	-0.044874
KLF13	0.044805
SDE2	-0.044669
MT1X	0.043999
FAM46A	0.043847
PMAIP1	-0.043403
LYAR	-0.043056
SMAP2	0.042943
STAMBPL1	-0.042270
GTPBP4	-0.042071
ANXA1	-0.041677
KIAA0020	-0.041225
INPP1	0.040964
GRAMD4	0.040442
IDI1	-0.040186
RPF2	-0.039763
BRIX1	-0.039761
PLD6	-0.039644
COQ10B	-0.039519
SLA	0.039319
ITM2C	0.039103
GRPEL1	-0.039037
MT1G	0.038787
MRPS30	-0.038616
TEX30	-0.038582
PTRH1	0.038374
BAMBI	-0.038366
NOL7	-0.038232
TNFRSF14	0.038222
DUSP1	-0.038210
RPL13A	0.037824
ARID5B	0.037302
TIMP1	0.037258
EIF1	-0.036970
ALDH1A2	0.036621
IFNGR1	0.036499
TFRC	-0.035960
TSC22D1	-0.035785
CD52	0.035497
GATSL3	0.034723
RNASE6	0.034625
APOBEC3B	0.034554
SLC35E2B	0.034505
DDX21	-0.034460
ZNF185	0.034415
GCHFR	0.034122
TMEM173	0.033989
RHOH	-0.033923
RAB2B	-0.033886
TPP1	0.033737
ZNF622	-0.033646
EIF3J	-0.033561
FAM72D	-0.033374
GLRX	0.033285
LIN28B	-0.033122
CLDND1	-0.032990
CHCHD10	-0.032572
LINC00426	0.032097
ATF5	-0.032096
C1orf52	-0.032069
ST13	-0.032012
CKS1B	-0.031902
ACBD3	-0.031803
DESI1	-0.031777
METTL7A	0.031726
AKNA	0.031702
KIAA1551	0.031618
HES4	-0.031568
RABAC1	0.031508
CCDC59	-0.031506
NIP7	-0.031429
GEMIN2	-0.031372
BNIP3L	0.031357
IER3IP1	-0.031334
NENF	0.031065
LAMTOR1	0.030977
PPAT	-0.030909
HNRNPA0	0.030663
ICAM3	0.030656
BYSL	-0.030513
TST	0.030494
IDH2	0.030454
HMGCS1	-0.030396
CEBPB	-0.030388
MPHOSPH6	-0.030338
MID1IP1	-0.030288
ERGIC3	0.030249
HSPE1	-0.030211
SBDS	-0.030165
POLR3GL	0.029957
MZT1	-0.029925
RP9	-0.029821
FAM212A	0.029743
CCT8	-0.029586
FDFT1	-0.029572
C16orf87	-0.029557
POLR3F	-0.029520
CST3	0.029507
SEMA4D	0.029472
NSUN2	-0.029459
TNF	-0.029321
LOC729603	0.029307
ISG15	0.029134
TOB1	0.029098
IFITM2	0.029080
ZNF296	-0.029015
DPM3	0.028892
MTHFD2	-0.028785
POC5	-0.028654
RHOBTB3	0.028631
FADS1	-0.028615
IARS2	-0.028497
FKBP4	-0.028478
GTF2F2	-0.028465
IRX3	0.028403
SPINT2	0.028289
LGALS3BP	0.028104
MANF	-0.028078
NMD3	-0.028056
CIRH1A	-0.028031
GRPEL2	-0.028012
TK1	0.027968
IMPA1	-0.027838
