!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Homo sapiens
!cell	OEE6/E7 (immortalized human oviductal cell line) 
!perturbation	Dexamethasone
!disease	10 nM 
!end_metadata
SCNN1A	0.130716
KRT6A	0.122789
MMP1	-0.117176
PLD5	0.096943
ADAMTS1	-0.089717
DUSP1	0.085334
VARS2	0.084930
IL1B	-0.081382
TMOD1	0.071215
TNFRSF11B	-0.070814
MMP10	-0.070494
KLF9	0.070090
PTGER2	0.066918
TENM4	0.066450
FKBP5	0.064256
MUC1	0.059947
CST3	0.059937
PTGS2	-0.059419
TACC2	0.058294
IGFBP4	0.057380
IER3	-0.056725
C4orf26	-0.055292
ADRA1B	0.054540
SERPINE1	0.054327
SLCO2A1	0.053828
NRCAM	0.053316
ERGIC1	0.051931
DAW1	0.051247
HTRA1	0.048999
CAMK2N1	0.048939
SHROOM2	0.048562
MT1F	0.047089
CFTR	-0.046246
TCN1	-0.046224
HSF2BP	0.045949
BIRC3	0.045473
FAM46B	0.045452
LINC00704	-0.045250
CSF2	-0.045071
DNER	0.042488
ENC1	-0.042185
RNF175	0.042075
RNA18S5	-0.042022
TMEM200A	-0.041699
LTB	-0.041313
DMBT1	0.040672
ABCA1	-0.040459
LOX	0.040378
GAL	0.040171
SUGCT	0.040166
F3	-0.040086
ABHD5	0.039946
WWTR1	0.039752
VCAN	-0.038669
NNMT	0.038637
NCF2	-0.038590
PON3	0.038346
S100A9	-0.037991
SHISA2	0.037983
SPNS2	-0.037669
PON2	0.037497
IL23A	-0.037175
CDKN1C	-0.037067
CPD	0.035949
MAP2K1	0.035784
TNF	-0.035347
SAA2	0.035303
PSORS1C3	0.035302
IGDCC4	-0.035262
TRIML2	-0.035256
COL8A1	0.035166
LAMA4	-0.035014
KIAA1324	-0.034941
CDH5	-0.034869
CYGB	0.034760
IL1A	-0.034757
TRNP1	0.034679
FUCA1	0.034479
VIM	-0.034229
HBEGF	-0.034210
FSTL3	0.034128
SAA1	0.033803
KCNK3	-0.033551
FAH	0.033114
SPOCK1	-0.033021
IL11	-0.033003
RND1	-0.032992
CTSV	0.032976
MAP6D1	0.032927
STAT4	0.032853
LACTB2	0.032716
EFNB2	0.032676
DEFB4A	-0.032400
FOXQ1	0.032251
HIST2H2AC	-0.032052
COL13A1	-0.031974
PIGV	0.031938
FLOT1	0.031821
MAMDC2	-0.031604
ATOX1	-0.031415
PPP1R14C	0.031183
EBI3	0.031063
ERVMER34-1	0.031053
PROM1	-0.030676
PRSS23	-0.030434
TSPAN12	0.030168
ITGB8	-0.030137
FST	-0.029895
IRAK3	0.029851
CCL20	0.029599
TMEM106A	-0.029404
LPXN	-0.029015
HLA-DMB	0.028982
SLC31A2	0.028938
FOXA1	-0.028922
KCNIP3	0.028898
SLPI	0.028837
SLC1A3	0.028816
GBP2	-0.028689
