!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Rattus norvegicus
!cell	Tracheal explants
!perturbation	Dexamethasone
!disease	24 hrs
!end_metadata
FAM111A	0.196848
LIPF	-0.186839
TXNIP	0.144277
IL6	-0.125813
FABP4	0.117736
CYTL1	0.117509
THBS4	0.106637
SCD	0.106459
CTSS	0.105184
CXCL13	-0.094382
ERRFI1	0.093733
COX2	0.088385
XDH	0.087062
LRP1	0.084662
DDIT4	0.084306
TFPI2	-0.080188
MRC1	0.078317
MMP13	0.077051
IGFBP3	0.075760
FIBIN	0.075508
H6PD	0.074809
SLC2A3	0.069898
MMP3	-0.068958
CRISPLD2	0.066728
IL1RL1	-0.066214
FOSB	-0.065173
SERPINE1	0.063585
FGL2	0.063090
SERPINB10	0.062485
POSTN	-0.061872
IER3	-0.061153
CDHR4	-0.060281
DCN	0.059999
MMD	-0.059995
BNIP3	0.059802
CD74	-0.059123
GP2	-0.059041
COMT	-0.058525
PPL	0.056989
FKBP5	0.056790
TSC22D3	0.056572
RARRES1	0.056033
CCL13	-0.055887
BMP2	-0.055363
STEAP4	0.055299
ADAMTS5	0.055023
OXCT1	-0.054052
HMGCS1	0.053972
H2AFZ	-0.053750
CITED2	0.052521
GDA	0.052188
LYZ	0.052077
CD36	0.051538
CP	0.051293
RPL35	0.050505
FMO3	0.050114
SLC7A6	0.049454
A2M	0.048744
HSPA5	0.048678
SAE1	-0.048491
RARRES2	0.048484
DPT	0.048398
MMRN1	0.047844
SERPING1	0.047624
PTGS2	-0.046747
GLRX	0.046742
HSP90B1	0.046456
CRIP1	-0.046258
PAPSS1	-0.046221
COX1	0.045883
CRYAB	0.045840
WBP5	0.045687
PLA1A	0.044774
GADD45B	0.044429
TFCP2L1	0.044426
DMBT1	0.044363
IL18	0.044148
SLC39A8	0.044131
MANF	0.043924
PLAC8	0.043766
CYP51A1	0.043563
BPIFB1	0.043356
ND3	0.043313
ALCAM	-0.043177
FAM117B	0.043107
TXN	0.043061
SDC4	0.043009
ADSSL1	-0.042519
FDPS	0.042502
AHNAK	0.042455
FXYD5	-0.042351
CHST6	-0.042207
NDRG1	0.042165
GSTA5	0.041882
