!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Rattus norvegicus
!cell	Tracheal explants
!perturbation	Dexamethasone
!disease	2 hrs
!end_metadata
THBS4	0.171293
DMBT1	-0.142520
FABP4	0.110374
BOC	0.095124
ALAS1	0.092434
COX1	0.088767
COL1A2	0.087742
TXNIP	0.086847
COL2A1	0.085600
ND2	0.082897
CCL13	-0.082201
CA3	0.080698
LCN2	-0.079368
VIM	0.078814
COL1A1	0.078407
CYTL1	0.078152
ADIPOQ	0.077752
CLDN10	-0.069695
HMOX1	-0.069356
RPL19	0.068711
COL3A1	0.068682
ZFAND2A	-0.068643
COX2	0.068015
COMP	0.067133
ACTB	0.067022
LECT1	0.066412
SFRP2	0.066290
BCL6	-0.066012
RPL18A	0.065837
CDO1	0.065422
MPZ	0.065308
PTGS2	-0.064368
CTGF	0.064257
ETS2	-0.063647
RPL6	0.063317
SCRG1	0.063236
CD9	0.063082
AKR1B10	-0.061211
BPIFB2	-0.060804
RPL26	0.060512
S100A10	0.060257
UCMA	0.059837
STEAP4	-0.059412
BPIFA1	-0.059269
LPL	0.059091
SCGB1A1	-0.058859
TFPI2	-0.058586
MRC1	0.058442
CD81	0.058279
RPL9	0.057604
POSTN	0.057292
RPS9	0.056875
RPL7A	0.056869
NACA	0.056852
ENPP2	0.056484
ADAMTS4	-0.055906
LGALS3	0.055763
RPL30	0.055185
RGS1	0.055006
RPL22	0.054718
COL9A1	0.054610
FAM110C	-0.054431
CTSB	0.053701
PLA2G16	0.053348
IGFBP7	0.053322
C1QTNF3	0.052855
NR4A3	-0.052501
RPS11	0.051424
RPS19	0.051417
COL9A3	0.051306
COL14A1	0.051038
TVP23B	-0.050288
ACKR3	0.049803
GJB2	-0.049766
MAPK6	-0.049658
DDIT4	0.049521
RPS5	0.049520
LMO7	-0.049400
EPCAM	-0.049041
SLC1A1	-0.048655
TC2N	-0.048534
SLC6A14	-0.048370
IRF1	-0.048230
RPL35	0.047798
CXCL13	0.046854
KLF10	-0.046509
H1F0	0.046317
VMP1	-0.046289
RPL4	0.046225
COL5A2	0.045673
BTF3	0.045583
BGN	0.045422
CST3	0.045414
SPARC	0.045113
ATP5C1	0.045112
SPP1	0.045091
TMEM252	0.044828
COL4A2	0.044325
H19	0.044285
RBM3	-0.044169
ATP5G3	0.043951
KRT15	0.043720
RPL38	0.043677
TSC22D3	0.043091
ITM2B	0.042999
GDF10	0.042885
PTGR1	0.042859
MZB1	0.042695
FIBIN	0.042519
RPS21	0.042225
RPS2	0.042113
LRP1	0.041861
RPS12	0.041460
KRT8	0.041300
PPIB	0.041265
RPL23	0.041063
PSMA6	0.040752
KRT19	0.040679
FTH1	0.040500
CXCL10	-0.040303
ZNF22	0.040275
RPL8	0.039958
LIPF	-0.039780
CHAD	0.039617
LGALS1	0.039319
EEF1D	0.039275
AGRN	0.038931
RPL10A	0.038899
DPT	0.038815
RPS23	0.038455
NFKBIA	0.038395
DHRS3	0.038320
PRSS22	-0.038182
ZSWIM6	-0.038050
SOD2	-0.038005
TGFBI	0.037749
RPL7	0.037541
RCN3	0.037421
HSPA8	0.037129
CCRN4L	-0.037003
S100A13	0.036997
GLTSCR2	0.036924
PEBP1	0.036711
EEF1B2	0.036609
RABGEF1	-0.036420
GSPT1	-0.036284
PDZRN3	0.036104
LPAR6	-0.036010
PLSCR1	-0.035990
GDPD2	0.035985
TSPAN12	-0.035895
ARPC1B	0.035800
GEM	-0.035464
S100B	0.035447
SLPI	0.035401
RPL27A	0.035388
NSA2	0.035370
ZBTB43	-0.035223
NET1	0.034992
EPHA2	-0.034979
PPT1	0.034871
MFAP4	0.034867
TBC1D9	-0.034806
SEC24A	-0.034490
S100A14	0.034468
SCD	0.034121
PRDX1	-0.034100
RETSAT	0.034048
SKIL	-0.033972
OXCT1	-0.033879
EIF3F	0.033858
RPL5	0.033832
CRIP1	0.033821
DNAJB1	-0.033663
RPS10	0.033630
PARD6B	-0.033629
ENPP3	0.033579
IFI30	0.033565
CHAC1	-0.033519
AGA	0.033457
DUOX2	0.033333
ETV3	-0.033329
NR4A2	-0.033282
GLTP	0.033187
RPL18	0.033140
FOXQ1	-0.033088
ST3GAL4	-0.033034
KIAA1217	-0.032973
CEMIP	-0.032883
ARG1	-0.032798
NCOA4	-0.032696
MGP	-0.032584
PLXDC2	0.032568
RPL11	0.032145
PTGES3	-0.032090
ABCD3	0.032026
NUP153	-0.031893
IGSF10	0.031878
RPS28	0.031803
INSIG1	-0.031796
RBP4	0.031556
NQO1	-0.031419
DUSP5	-0.031419
FBN1	0.031272
LYZ	0.031242
AQP1	0.031170
LY6E	0.031110
PRNP	-0.031033
MANSC1	-0.030984
S100A4	0.030974
ANXA1	0.030917
WFDC2	0.030818
RPS25	0.030814
SDPR	0.030758
VAMP3	0.030741
PRDX2	0.030693
CCL20	0.030641
BTG1	-0.030627
MYD88	-0.030584
MFAP5	0.030565
PCNA	-0.030464
AMOTL2	-0.030260
RPLP0	0.030169
FSTL1	0.030061
CCL28	-0.029969
SNRPD2	0.029694
CREB3L4	-0.029494
TPT1	0.029303
CD63	0.029248
SOD1	0.029232
PLAT	-0.029205
IGJ	0.029202
FMOD	0.029200
RPS3	0.029111
RPSA	0.029051
PPA1	0.029021
GSN	0.028998
IDS	-0.028958
PDLIM1	0.028951
RELL1	-0.028752
TRIM35	0.028727
PIGR	-0.028647
IRGQ	-0.028609
GP2	-0.028424
LSP1	0.028373
PPAPDC1B	-0.028347
WIF1	0.028321
KCNK5	-0.028190
SLC25A3	0.028108
SFXN3	0.028094
CAPG	0.028041
EIF3E	0.027898
C3	0.027849
DNAJB9	-0.027781
TCP1	0.027778
COL4A5	-0.027775
RPS17	0.027774
RPL3	0.027715
CCDC80	0.027637
CLDN8	-0.027489
SERPINB10	0.027311
TGIF1	-0.027248
ATF3	-0.027162
CCT2	0.027022
ACTG2	0.026990
VAPA	-0.026988
IER3	-0.026971
NPC2	0.026936
SLC25A5	0.026928
SLC2A1	-0.026807
RPS16	0.026775
SELK	-0.026751
NID2	0.026751
SLC25A4	0.026739
DKK3	0.026720
SOWAHC	-0.026610
NDUFA4	-0.026498
PLCG1	0.026485
MAMDC2	0.026481
SLC7A1	-0.026434
PROCR	-0.026431
RAMP2	0.026422
HEXIM1	-0.026395
CD74	0.026226
SMIM14	-0.026198
SRXN1	-0.026176
F3	-0.026165
TRAPPC8	-0.026022
ZNF521	0.025890
RPL15	0.025877
RPS8	0.025858
CLU	0.025841
HBEGF	-0.025828
IL6	-0.025768
H2AFZ	-0.025721
RAB11FIP1	-0.025712
RPL12	0.025563
KRT5	0.025555
PMP22	0.025525
FABP5	-0.025492
CD69	0.025443
SDCBP	-0.025431
SLC25A25	-0.025410
ATP2A3	-0.025275
FAU	0.025247
PTP4A1	-0.025193
NR4A1	-0.025155
GNB2L1	0.025120
FCER1G	0.025119
NFATC3	0.025110
WSB1	-0.025030
COL9A2	0.024998
TIMP1	-0.024973
MYOF	0.024897
CYP1B1	-0.024880
NOP2	-0.024833
KRT23	-0.024831
TXNRD1	-0.024773
CYTB	-0.024733
TSPAN13	-0.024676
CDCP1	-0.024566
PYGO2	-0.024499
B2M	0.024466
RPL13A	-0.024410
RPS4Y1	0.024406
ASPN	0.024360
CDKN2AIP	-0.024213
DDOST	0.024154
SLC12A2	-0.024145
COL11A1	0.024116
SOD3	0.024089
TOP1	-0.024075
CLTA	0.024008
FN1	0.023932
HSPA5	-0.023928
ATP1B3	0.023867
ACSM1	0.023752
ACSL4	-0.023748
HSPA2	-0.023744
NPAS2	-0.023741
TMEM123	-0.023703
BHLHE40	-0.023668
AMPD3	-0.023620
LTBP1	0.023601
SFR1	-0.023562
RPL17	0.023541
ARHGEF3	0.023491
ANXA6	0.023481
TUBB2A	0.023481
FAM171A1	-0.023463
GPX2	0.023409
GCNT1	-0.023407
GREM1	-0.023393
CSRNP1	-0.023366
SLC16A7	-0.023345
IRS2	-0.023327
RPL28	0.023210
TMEM30A	-0.023198
RNF103	-0.023169
ATP5F1	0.023150
KRT14	-0.023090
EIF4G2	-0.023057
CD48	0.023025
CFH	-0.022954
SERINC1	-0.022948
RPL31	0.022875
SLC7A11	-0.022871
CFI	-0.022854
PSMB4	0.022851
GABPB1	-0.022793
SNX2	0.022763
ASNS	-0.022722
CPA3	0.022699
FAM111A	-0.022663
SEC61B	-0.022650
PPIC	0.022648
ACSF2	0.022638
RPS29	0.022591
RGS10	0.022578
MDFIC	-0.022551
NUAK2	-0.022548
CLN8	-0.022543
PDIA4	0.022542
GPR155	-0.022378
PCOLCE	0.022336
JUN	0.022311
GADD45A	-0.022285
ACOX1	-0.022222
CAPN2	0.022210
FXYD1	0.022074
SORBS2	-0.022060
TBCE	0.022059
HMGCS1	0.022020
SLC3A2	-0.022012
UCP2	0.021992
ANKRD37	-0.021975
RFK	-0.021944
SMPDL3A	0.021943
ECH1	0.021900
HP	-0.021885
SPARCL1	0.021857
TMEM176A	0.021853
TIAL1	-0.021776
CTSS	0.021763
TNC	0.021752
TAGLN	0.021745
ZNF703	-0.021745
TBCA	0.021603
COL8A2	0.021495
OCIAD1	0.021490
RIPK4	-0.021444
SRI	0.021393
PGRMC1	-0.021346
AKAP8	0.021342
CSRP1	0.021340
SKIV2L2	0.021317
SULT1B1	-0.021299
TNFRSF12A	-0.021295
TM4SF1	-0.021250
SIX4	-0.021176
IFRD1	-0.021131
SERPINA6	-0.021091
AASS	-0.021026
TNMD	0.020985
NABP1	-0.020836
PRELP	0.020829
HK2	-0.020809
ZFC3H1	-0.020788
PFDN1	0.020738
DPYSL2	0.020688
RARRES2	0.020679
MATN3	0.020620
ANXA5	0.020593
SATB1	-0.020580
PLAUR	-0.020563
LAMC2	-0.020541
GRAMD3	-0.020520
FAM107A	0.020484
ZC3H12A	-0.020474
SEC23B	-0.020441
EGR2	-0.020366
CLK1	0.020299
ATF4	-0.020288
CCNL1	-0.020271
CCDC120	-0.020249
BTG2	-0.020174
CHDH	-0.020141
DAB2	0.020068
IL1B	-0.020055
SERPINF1	0.020029
KRAS	-0.020021
ABCE1	-0.020020
RPS14	0.019986
SUMO1	-0.019968
COX5A	0.019962
RPS13	0.019942
SKI	0.019931
TOB1	-0.019930
CAPN13	-0.019927
MPZL2	-0.019922
GNL3	-0.019841
CD2BP2	-0.019796
CCNI	0.019745
F11R	-0.019742
CTSA	0.019728
MPDZ	0.019706
CSPG4	0.019661
COQ10B	-0.019647
BCR	-0.019535
STK3	-0.019514
HSP90AA1	-0.019506
AOC3	0.019483
SERPINB1	0.019468
ECM1	0.019458
USP14	-0.019450
COL11A2	0.019446
UBE2D3	-0.019436
PFDN5	0.019435
BPIFB1	0.019408
PPP1CB	-0.019404
CNBP	0.019402
STX7	0.019334
TAF5L	-0.019304
EDF1	0.019304
CWC25	0.019274
ICAM1	-0.019233
DBI	0.019227
IFITM2	0.019216
HSP90B1	0.019193
SEP15	0.019186
POLG2	-0.019180
PSMA2	0.019177
CSK	0.019151
PPL	0.019148
IDH3G	0.019105
SERP1	-0.019050
UQCRB	0.019021
LURAP1L	-0.019014
CHST6	-0.019011
ALDH1A1	0.019006
