!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Rattus norvegicus
!cell	Heart
!perturbation	Dexamethasone  1mg/kg - 5 day - Male
!end_metadata
GAL	0.131867
COL15A1	-0.116287
ATF3	-0.102410
COL3A1	-0.099504
MFAP4	-0.096078
CCL13	-0.091148
LUM	-0.091144
ASPN	-0.083401
LCN2	0.080393
S100A8	0.079110
POSTN	-0.077455
S100A9	0.077160
ALOX15	0.072138
HMGCS2	0.071127
C2CD4B	0.070089
COL1A1	-0.069432
MYH7	0.068524
APLNR	-0.067133
COL1A2	-0.066927
RNASE1	0.066310
IGSF10	-0.065520
ANGPTL1	-0.063378
FKBP5	0.060701
LOXL1	-0.059185
RETSAT	0.059177
CD163	0.058687
G0S2	0.057442
PXDN	-0.057139
GAS7	0.055682
COL6A3	-0.055077
MFAP5	-0.054800
FAM111A	0.054514
GIMAP4	-0.054446
MYL7	0.053772
TINAGL1	0.053639
CPA6	0.053554
BDH1	-0.052647
ALB	0.052538
RHOBTB1	0.051924
METTL20	0.051903
GPD1	0.051700
MARCKSL1	-0.051660
DPT	-0.050898
GBP2	-0.050525
SCTR	-0.050413
RYR3	0.050185
C15orf60	0.049978
FBN1	-0.049952
MATN2	-0.049256
IFI44L	-0.049021
CCL5	-0.048979
SLPI	0.048901
SOX7	-0.048301
NID2	-0.048212
COL5A3	-0.048084
QSOX1	0.047405
ITGBL1	-0.047320
MYL1	0.046295
CCND1	-0.046207
FAM46B	0.045934
TBX5	0.045619
SLC22A3	0.045190
ACER2	0.045116
CFD	0.044697
IL1R2	0.044279
DRAP1	0.044228
PLXND1	-0.044220
TMEM252	0.044176
LYVE1	0.043976
HBEGF	-0.043554
MAOA	-0.043511
ADM	0.043346
OLFML3	-0.043298
SCN4B	-0.043171
TMEM108	0.043085
CCDC80	-0.043064
CSDC2	0.042909
H19	0.042458
CPED1	0.042318
EZR	0.041871
RTP4	-0.041639
ISLR	-0.041531
PSMB9	-0.041137
TGFB3	-0.040654
DDIT4	0.040019
INHBB	0.039980
FAM107A	0.039903
EMCN	-0.039607
PTGDS	0.039209
NR4A3	-0.039194
ANGPTL4	0.039035
KCNJ5	0.039025
IVNS1ABP	0.038610
FMO3	0.038343
CXCL12	-0.038002
AREG	-0.037960
F3	0.037917
PCDH17	-0.037832
ANGPT1	0.037740
LTBP4	-0.037493
COL14A1	-0.037338
ADAMTS5	0.037199
LGALS3BP	-0.037127
PPIC	-0.037082
BCL6B	-0.036986
PLCB1	-0.036409
IL2RG	-0.036394
MAOB	-0.036177
OAS1	0.036141
OAF	-0.035979
SERPINE2	-0.035932
TCEAL5	0.035620
KLHL40	-0.035502
COL6A2	-0.035460
CCND2	-0.035372
SERPINB9	-0.035364
IFI44	-0.035326
PHYHD1	0.035241
MCAM	-0.035155
LRG1	0.034905
FAM117B	0.034730
C1QB	0.034721
C1QTNF7	-0.034599
GPM6B	-0.034564
EFEMP1	-0.034485
ZFP36	0.034424
PVR	-0.034338
GSTM5	0.034318
FOSB	-0.034144
SLC3A2	0.034049
CRYL1	0.033995
TUBB4B	-0.033820
TRIL	-0.033669
CDKN1A	0.033662
IRX2	0.033582
ARL15	-0.033299
COL5A2	-0.033272
COL5A1	-0.033270
MGST1	0.033225
RCN3	-0.033215
KDELR3	-0.033119
GNG11	-0.033063
CD93	-0.032847
C1QTNF2	-0.032816
FMO2	0.032761
RCAN1	-0.032536
THBD	-0.032533
SPATS2L	-0.032472
IGF1	-0.032269
NFKBIA	0.032265
CD38	-0.032218
PFN2	0.032168
GSTA5	0.032111
HERC6	-0.032086
PCSK6	-0.032055
NDRG1	0.032029
SERINC5	-0.031718
PNPLA2	0.031677
GCNT1	0.031433
CYP1B1	-0.031381
ALOX5AP	0.031362
LOXL2	-0.031223
NPAS2	-0.031122
FABP2	-0.031116
CYP2E1	0.031090
ETS1	-0.031051
SYNE2	-0.031044
ALOXE3	-0.030865
PLB1	0.030842
OLFML1	-0.030772
CARD9	-0.030644
IQUB	0.030603
CAPN10	0.030603
