!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Mus musculus
!cell	Neurospheres (from embryonic day 145 mouse cerebral cortex - Caveolin-1 knockout)
!perturbation	Dexamethasone
!disease	100 nM - 4 hrs
!end_metadata
GBX2	0.166916
CFTR	0.156594
ADA	0.140540
PTK2B	0.137578
MERTK	0.132505
ZBTB16	0.130131
GJB6	0.129794
PDK4	0.123997
PER1	0.120534
FKBP5	0.115545
CHST2	0.109272
HSPB1	0.100393
EVA1A	0.097938
NEDD9	0.097433
TSC22D3	0.091355
KLF9	0.088712
THRSP	0.087956
TPRN	0.087601
RHOJ	0.081602
PHYHD1	0.077749
SESN1	0.075251
RCAN2	0.074187
SMOX	0.073882
CRIP1	0.071491
CEBPB	0.069151
BCL6	0.068215
CXCR4	-0.066347
HS3ST1	0.064893
RHPN2	0.064379
BCAT1	0.064101
PER2	0.063885
ADRB2	0.063490
CCL13	0.062978
GFPT2	0.061570
CTGF	0.060641
NDNL2	0.059755
RHOU	0.058891
GPR31	0.058625
CEBPD	0.058325
CABLES1	0.057857
PLEKHF1	0.057704
ERRFI1	0.056612
F3	0.056169
AMPD3	0.056080
SLC10A6	0.056069
TMEM229B	0.055642
DYRK3	0.054799
AGT	0.054646
HAS2	-0.054603
PIK3R1	0.053089
GALNT16	0.052814
ABCA4	0.052701
RHOB	0.052674
LRRC8A	0.052484
LPIN1	0.052263
C8orf4	0.052083
GLI2	0.050787
HIF3A	0.050557
PCOLCE2	0.050444
PDE1B	-0.049769
C2	0.049094
CSPG4	0.047994
CAMKK1	0.047919
JDP2	0.047607
ARVCF	0.047116
KLF4	-0.046985
CEBPA	0.046703
FAM101B	0.046309
MGLL	0.045832
CARD10	0.045807
GLUL	0.045375
SOCS2	-0.044766
ACKR3	0.044582
SNAP25	0.044277
ZNF189	0.044206
FAM43A	0.043715
PEG3	0.043508
SEC24D	0.043350
WNT7A	-0.043223
PMP22	0.043085
SAP30	0.042792
PIP4K2A	0.042770
LGALSL	0.042274
PRDM1	-0.042109
KLF15	0.042062
FAM134B	0.041885
FBXO32	-0.041838
USP2	0.041788
PIM3	0.041776
TCEAL1	-0.041716
SLC25A33	0.041637
AK3	0.040965
IER3	-0.040244
PGF	0.039901
DIO2	0.039559
CD83	-0.039527
SCG2	-0.039199
TIMP4	0.038894
RAPGEF4	0.038850
SCRG1	0.038551
SERPINB5	0.038159
LCN2	0.037984
GAD1	-0.037857
KLF13	0.037304
SERPINE1	0.036998
COL5A3	0.036982
PRR5	0.036485
TSLP	-0.036395
FGFRL1	-0.035661
ZNF281	0.035208
SDC4	0.034847
ATP1A2	0.034676
TOB2	0.034034
CYP4F8	0.033932
NDRG2	0.033924
RASL11B	0.033855
ADAM19	-0.033779
DLG5	0.033764
GREB1	0.033716
MAL	0.033233
BATF3	0.033184
AOX1	0.033101
ARL4C	-0.033044
CHST15	-0.032998
NTSR2	0.032971
AJUBA	-0.032864
DGKZ	0.032622
ADCY8	-0.032486
RTKN	0.032412
RPIA	-0.032411
TGFB3	-0.032322
CDH10	-0.032088
NFKBIA	0.032017
GRIA2	0.031980
TBC1D10A	0.031946
CRYM	0.031910
SMC5	0.031762
PTGDS	0.031266
KCNJ12	0.031228
SLC22A4	0.031158
EEPD1	-0.031157
DUSP14	-0.031107
ALDH1A1	0.030885
SLC37A2	0.030863
SPNS2	0.030853
GEM	-0.030772
C9orf89	0.030740
DEPDC7	-0.030703
MATN2	0.030557
MYCL	0.030506
PHLDA1	-0.030404
DOCK9	0.030338
LFNG	0.030188
ADM	0.030186
ENDOD1	0.030079
ABCA2	0.029992
EBF1	-0.029943
CDH11	-0.029933
CXCL10	-0.029900
GDF15	0.029868
ALDOC	0.029808
NEK7	0.029736
ZNF521	0.029608
ELMO1	0.029589
USP53	0.029555
ZNF276	0.029523
NEUROG2	0.029468
NXPH1	-0.029438
PIM2	0.029197
RERG	-0.029170
IL33	-0.029157
BCL2L1	0.028913
STBD1	-0.028816
KLF7	-0.028658
NPTX2	0.028529
ARID5B	0.028474
EPS8	-0.028450
SHISA2	-0.028446
HS6ST2	0.028410
ARHGAP39	0.028267
NFKBIZ	0.028140
HOPX	0.028099
SEMA3A	-0.028036
C2orf72	-0.027814
PHF13	-0.027770
PLCL2	0.027633
SLC39A14	0.027510
CXXC5	-0.027502
BAIAP2	0.027463
NKX2-2	-0.027408
CA12	-0.027401
SEPP1	0.027309
SOX9	-0.027298
MAP3K6	0.027253
KLF2	0.027183
PTPRJ	0.027131
GCA	-0.027086
CD200	-0.027049
NRP1	-0.026978
EZR	0.026973
TPBG	0.026818
CCDC85A	0.026748
RGS2	0.026641
LRP2	0.026564
TM6SF1	0.026529
H19	0.026478
RLBP1	-0.026466
FGFR3	0.026444
ITPK1	0.026438
NID2	0.026437
ZNF566	-0.026430
ST5	-0.026412
MATK	0.026286
