!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Mus musculus
!cell	Neurospheres (prepared from embryonic day 145 mouse cerebral cortex)
!perturbation	Dexamethasone
!disease	100 nM - 4 hrs
!end_metadata
GJB6	0.160156
ADA	0.155817
GBX2	0.145187
ZBTB16	0.143059
FKBP5	0.133682
MERTK	0.123139
PTK2B	0.118891
CFTR	0.115502
EVA1A	0.112863
PER1	0.110906
HSPB1	0.108586
NEDD9	0.108075
PDK4	0.104716
CHST2	0.099451
RHOJ	0.099021
HS3ST1	0.096306
RHPN2	0.092392
ABCA4	0.091723
KLF9	0.090077
RHOU	0.082804
RCAN2	0.079621
PCOLCE2	0.079448
C8orf4	0.077341
CXCR4	-0.076909
TPRN	0.072442
BCL6	0.072136
RHOB	0.072094
SESN1	0.070699
TSC22D3	0.070537
CRIP1	0.070131
F3	0.069190
SERPINE1	0.068618
THRSP	0.068609
DYRK3	0.068340
ERRFI1	0.067059
PLEKHF1	0.066983
FAM134B	0.065802
BCAT1	0.065315
NDNL2	0.065246
CTGF	0.065197
PMP22	0.064624
USP2	0.064442
CABLES1	0.063616
AGT	0.063114
GFPT2	0.062023
SMOX	0.059147
ADRB2	0.058456
PHYHD1	0.058193
FAM101B	0.057243
SDC4	0.056408
CEBPD	0.055889
LRRC8A	0.055295
CEBPB	0.054127
NFKBIA	0.053845
SLC10A6	0.052984
ADM	0.052483
DIO2	0.052368
CSPG4	0.051225
TMEM229B	0.050941
SAP30	0.050579
PIK3R1	0.050172
EEPD1	-0.049419
SLC25A33	0.048541
GLI2	0.048533
BATF3	0.047625
CAMKK1	0.047025
MAL	0.046694
ARID5B	0.046663
GLUL	0.046652
HIF3A	0.046577
TBC1D10A	0.045874
FAM43A	0.045305
PIM3	0.045103
KLF4	-0.044961
PRR5	0.044360
SEC24D	0.044152
AMPD3	0.044058
CARD10	0.043952
ARVCF	0.043649
DLG5	0.043258
PGF	0.042940
ARL4D	0.042760
SNAP25	0.042590
LPIN1	0.042507
AGFG2	0.041620
CCL13	0.041533
KCNK1	0.041289
SEMA4B	0.041197
WNT7A	-0.040842
LGALSL	0.040701
ENDOD1	0.040562
PER2	0.040531
SPSB1	0.040353
PDE1B	-0.040335
FAM129B	0.039618
LFNG	0.039515
SOCS2	-0.039311
MATN2	0.039291
SERPINB5	0.039180
PEG10	0.039133
PLCL2	0.038839
RGS2	0.038758
PLIN4	0.038396
SPHK1	0.038173
HMGCS2	0.037773
AK3	0.037718
FGFR3	0.037569
SCG2	-0.037467
FBXO32	-0.037464
ST3GAL6	0.037371
CEBPA	0.037201
ENDOG	0.037126
SLC22A4	0.037081
CHST15	-0.036903
PLIN5	0.036835
DDX3Y	-0.036472
ZNF281	0.036454
CIDEA	0.036328
RASL11B	0.035665
HAS2	-0.035540
KLF13	0.035247
C15orf39	0.035130
CDO1	0.034946
CRYM	0.034807
DUSP14	-0.034610
ACKR3	0.034527
S1PR1	-0.034214
UCP2	0.034157
DDIT4L	-0.034117
NEUROG2	0.033976
TOB2	0.033878
C2orf72	-0.033591
NFKBIZ	0.033540
NXN	0.033397
GFAP	0.033380
BAIAP2	0.033205
AZIN1	0.033042
MGLL	0.032617
PRICKLE1	0.032607
ARL4C	-0.032601
AOX1	0.032509
GREB1	0.032296
ZNF276	0.032015
PRDM1	-0.031920
FAM117B	0.031876
GCNT2	0.031856
COL5A3	0.031451
TIMP4	0.031389
DOCK9	0.031354
KCTD12	0.031348
USP53	0.031315
ABCA2	0.031298
CDKN1A	0.031210
SELM	0.030860
DDIT3	-0.030766
JDP2	0.030587
CD83	-0.030560
CDH11	-0.030480
C2	0.030357
C9orf89	0.030172
SLC37A2	0.030126
NRP1	-0.030070
TIPARP	0.029902
BCL2L1	0.029871
PPARGC1B	0.029697
RAPGEF4	0.029668
RGS16	0.029431
TRIB1	0.029076
HOPX	0.029024
IER3	-0.028982
CDKN2B	0.028769
SOX21	-0.028744
PNP	-0.028733
IL6R	0.028652
FGFRL1	-0.028580
RGCC	0.028453
RXRA	0.028414
DDIT4	0.028372
CAV1	0.028307
CDC37L1	0.028114
WNT3	0.028079
MYCL	0.028037
TGFB3	-0.027967
DUSP1	0.027958
HEPH	0.027809
SPAG5	0.027786
SALL2	-0.027772
ETS2	0.027290
ARHGAP39	0.027228
RRP1B	0.027196
CDH10	-0.027046
ZNF467	-0.026887
DAB1	0.026836
SHISA2	-0.026821
SYTL2	-0.026628
ZNF189	0.026548
NUDT7	0.026535
ADAM19	-0.026503
KLF7	-0.026457
P2RX5	0.026397
SLC39A14	0.026238
TNRC18	-0.026062
TM6SF1	0.026060
ALDOC	0.026037
PLAGL1	0.026034
LSP1	0.025838
GADD45A	-0.025712
EPS8	-0.025699
NEK7	0.025588
KDM7A	0.025581
SEMA6D	-0.025538
PIP4K2A	0.025499
CTDSPL	-0.025490
ITPK1	0.025466
GPR31	0.025368
COL6A3	0.025366
CXXC5	-0.025339
VPS37B	-0.025247
NUDT9	0.025244
EBF1	-0.025222
NKX2-2	-0.025206
SMC5	0.025019
GDF15	0.025012
MYCN	-0.024902
PHLDA1	-0.024900
TTR	0.024702
CRYBG3	-0.024698
PTX3	-0.024681
EPHB3	-0.024675
WNK2	0.024354
NTSR2	0.024330
FGFR2	-0.024308
CD109	0.024091
AJUBA	-0.024084
DEPDC7	-0.024040
RASSF3	-0.023920
MRAS	0.023916
ID1	0.023833
EVA1C	0.023734
IGFBP3	0.023720
RALGDS	0.023712
GAD1	-0.023668
C11orf96	-0.023644
SOWAHA	0.023633
NTNG1	0.023618
STBD1	-0.023600
PTPRJ	0.023520
ABR	0.023446
NDP	-0.023442
SEMA3A	-0.023338
PTGDS	0.023293
PLAC8	0.023274
DGKZ	0.023243
KDM5D	-0.023187
FZD1	0.023187
NEK1	-0.023133
FZD9	-0.023047
ZNF521	0.023045
NECAB2	0.023027
CPEB2	-0.023022
PIM2	0.022974
RASIP1	0.022958
CDC42EP1	-0.022888
CCND3	0.022886
ZBTB12	-0.022801
VASN	0.022794
MAT2A	0.022776
ZFP36L1	-0.022758
GPT2	0.022714
GBP4	-0.022691
TUBA8	-0.022682
AHR	0.022613
FJX1	-0.022606
PHF13	-0.022586
RNF157	0.022583
EPB41L4A	-0.022498
SYN2	-0.022484
PRSS23	0.022478
RAI14	-0.022455
ARHGAP29	0.022353
RND3	-0.022322
EFHD2	0.022314
IQGAP2	0.022259
PLEKHH1	0.022201
OAF	0.022097
FRMD4B	0.022093
SH3RF1	0.022089
RHBDL3	-0.022012
APCDD1	-0.021935
GALNT16	0.021868
GPR37	0.021829
SOX9	-0.021803
AREG	0.021784
LIFR	0.021783
EZR	0.021775
CEACAM1	0.021642
TNFRSF21	0.021478
NLRX1	-0.021386
DUSP6	0.021344
NID2	0.021187
AP3M2	-0.021165
RAB4A	0.021111
MAP7	0.021085
BDNF	-0.021069
ELK3	-0.021060
PRRX1	-0.021032
CROT	0.021028
TPBG	0.021022
RPRM	-0.020997
ARL4A	-0.020971
CCDC120	-0.020961
MATK	0.020880
NFIL3	0.020876
LMO1	-0.020864
SCRG1	0.020857
LGR5	-0.020852
SIX5	-0.020770
KLF15	0.020721
TMEM158	0.020707
WNT5A	-0.020675
PCDH18	-0.020656
FGF2	0.020637
HSPB8	0.020633
NCKIPSD	0.020632
LIMCH1	0.020560
GSAP	-0.020558
WDFY3	-0.020503
MYL9	-0.020502
TPD52L1	0.020500
SPOCK2	0.020492
NHSL2	0.020461
SECTM1	0.020443
MID2	0.020409
TMEM159	0.020356
GAB1	-0.020346
RASA2	-0.020345
GPD1	0.020325
BLCAP	-0.020255
CLVS1	0.020201
VEGFC	-0.020162
FBXO18	0.020129
LITAF	-0.020119
IL34	0.020104
HEY1	-0.020093
PLSCR1	-0.020080
PRKG2	0.020065
LAMC1	0.020058
IL15RA	0.020030
TRIP6	-0.019972
RPIA	-0.019961
POU3F4	-0.019960
SGK1	0.019921
MAP3K6	0.019915
OLFML2B	0.019903
LRP4	0.019898
MYLK	0.019813
KCNJ12	0.019749
PCDH8	-0.019717
WNK4	0.019694
TRIM13	-0.019585
SEMA3E	0.019570
BCAR1	0.019512
MBOAT1	-0.019414
ETS1	-0.019398
ELMO1	0.019393
ST5	-0.019387
FZD8	-0.019376
RAB11FIP5	-0.019186
BCL2	-0.019178
CYR61	0.019123
MOB3B	-0.019094
TSC22D1	0.019056
RTKN	0.019040
RELB	-0.019005
GPR153	-0.018983
MAPK7	-0.018981
TIMP3	-0.018972
PPP1R3C	0.018950
NPTX2	0.018929
COL4A2	0.018897
GBP2	-0.018806
OSBPL11	0.018806
PTTG1IP	0.018789
EFNA4	-0.018755
TRIB3	-0.018688
GAS1	-0.018681
ASB8	0.018673
CYTIP	0.018653
AFF1	0.018587
TANGO2	0.018568
HIP1	0.018505
GCH1	0.018504
AIF1L	-0.018496
ZNF566	-0.018426
NPAS2	0.018409
ARMCX2	-0.018398
PEG3	0.018388
RLBP1	-0.018362
CHKA	0.018360
IRX2	0.018291
KCNK2	-0.018271
NOTCH4	0.018227
TMEM2	0.018195
ABCG2	0.018165
ZFP90	-0.018159
CSRP1	0.018069
SNTA1	0.018032
LCN2	0.018024
DDC	0.017988
CLMN	0.017900
ARHGEF28	0.017830
PERP	0.017789
SESN2	-0.017784
WNT7B	-0.017771
FMNL3	-0.017769
TMEM53	-0.017760
CDK5RAP2	-0.017737
PTPN13	0.017722
ZBTB7A	-0.017718
SPNS2	0.017715
PKIG	0.017695
RABGGTA	0.017668
ID4	-0.017664
ALDH1A1	0.017663
NCOA1	0.017651
TGIF2	-0.017646
TENM3	-0.017639
TRIL	-0.017625
RFX2	-0.017580
ERBB2	-0.017570
HMOX1	-0.017570
TLE6	0.017569
FARP2	0.017556
CLDN11	0.017550
APOBEC1	-0.017546
CMAS	0.017512
HS6ST2	0.017498
EFNB1	-0.017489
RGS20	-0.017468
REV3L	-0.017436
TST	-0.017424
RGL1	0.017396
CIB1	0.017339
UBE2G2	0.017336
NDRG2	0.017333
BACH2	-0.017297
ATP1A2	0.017257
FST	0.017232
ST6GAL1	0.017231
UNC119	0.017193
TIMM17A	0.017148
MXD4	0.017132
NACC2	-0.017112
MANSC1	0.017106
RRP8	0.017099
SLC19A2	0.017093
GPSM1	0.017079
CDC42EP3	-0.017055
ANXA1	0.017009
PHYHIPL	-0.016992
HNMT	0.016990
SORBS1	0.016939
AKAP12	0.016935
GPR19	-0.016932
BBX	0.016919
CD38	0.016912
RASGRF1	0.016907
ARHGAP24	0.016905
FCHSD1	-0.016898
APOH	0.016893
STAC2	0.016877
SCARA3	0.016855
SSNA1	0.016839
TSC22D4	0.016809
CNIH3	-0.016792
UBALD2	0.016758
LPIN3	0.016723
CHPT1	0.016719
SHC3	-0.016709
CHRNA3	0.016688
IFIT3	-0.016670
ENPP4	0.016630
MYB	-0.016618
CXCL10	-0.016609
SNAPC2	-0.016564
LYSMD2	0.016554
TLE4	-0.016534
LZTS2	0.016520
ALDH1A3	-0.016519
CDCA7	-0.016515
GAS6	0.016472
S100A3	-0.016435
SLC10A3	-0.016396
GRIA2	0.016394
PRPS2	0.016342
CCNG1	0.016304
FICD	0.016274
PPP5C	0.016266
ETAA1	-0.016242
IRX3	-0.016229
