!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Mus musculus
!organism	Mus musculus
!cell	chondrocytes
!perturbation	dexamethasone
!end_metadata
ANGPTL7	0.307422
CTGF	0.195352
SGK1	0.177440
FTL	-0.140707
FIBIN	0.111636
SPP1	-0.107016
COL6A2	0.105130
COL6A1	0.102723
TSC22D3	0.100543
FDX1	0.095758
MYADM	0.095565
TIMP1	-0.094024
RPL27A	-0.092982
ADAMTS1	0.091700
H19	0.089873
PLAUR	-0.088552
EEF1A1	0.082815
S100A4	-0.082672
MGP	0.080664
AKAP12	0.080022
PTGS2	-0.078730
RPL8	0.078077
LCN2	0.075250
KRT7	0.074540
FKBP5	0.072805
COL2A1	0.072799
TMBIM1	0.072791
THBD	-0.072179
TNFRSF12A	-0.071560
RPLP0	0.070347
POSTN	0.068936
PHLDA1	-0.068466
OGN	0.068296
ACTN4	0.067511
PPIA	0.066915
MATN1	0.066373
IFITM3	-0.066330
RPS2	0.065863
ACTG1	0.064936
EGR1	-0.064419
UGDH	0.063893
DUSP1	0.062868
COL1A1	-0.062082
RPS12	0.061940
RPL19	-0.060568
IER3	-0.060244
ZCCHC5	0.060157
ATP5G3	0.059742
CHSY1	0.059057
EFHD2	0.056622
UQCRB	0.055277
RPL10A	0.054947
LGALSL	0.054099
RPL3	0.054023
SRM	0.053369
RPS24	-0.053289
ANXA5	0.052444
PIM3	0.050277
KDELR2	-0.049615
SNRPF	-0.049569
HBEGF	-0.049371
AP3S1	0.048333
TMEM165	0.048141
CAPNS1	0.048081
THBS1	-0.047972
NME1	0.047845
F2R	0.047646
MORF4L2	0.047622
POLR2K	-0.047589
OAZ1	0.047443
RRAS2	0.046527
LGALS3	-0.045929
RHEB	0.045568
MAGED1	-0.045226
TMA7	0.044591
GJA1	-0.044270
PMP22	0.044189
RPL6	0.044187
LRRC58	0.044148
RGCC	0.043928
RPS19	-0.043814
RPS11	0.043654
NFKBIA	0.043341
CYR61	0.042655
RPL26	-0.042517
SNRPD2	-0.041824
PGK1	0.041806
SNX17	0.041734
HNRNPF	-0.041694
ATP1B1	0.041595
CAPZA2	0.041566
SHFM1	-0.041518
RPL9	0.041095
NME2	0.041063
DLK2	0.040773
UQCRHL	-0.040446
CTSD	0.040343
PRNP	0.040235
RRS1	0.039106
RPL4	0.039072
BAG1	-0.038988
CNN2	0.038784
ANXA3	0.038730
AMPD3	0.038419
CXCL6	-0.038335
KLF9	0.038300
PPIB	-0.038269
SEC24D	0.037691
PCNA	-0.037470
RBBP7	0.037452
IGFBP5	-0.037419
RPL10	0.037347
RPS15	-0.037292
RCN3	-0.037231
EMP3	-0.037148
FLNA	-0.036877
SRSF9	-0.036103
VIM	0.035961
TXNRD1	-0.035809
LOX	0.035680
SSR3	0.035573
KCNK1	0.034954
PHLDB2	0.034950
HNRNPM	0.034667
ADAM9	0.034610
SPHK1	0.034545
WISP1	-0.034312
UBXN1	-0.034301
COL11A2	-0.034230
RPL15	0.034197
IL11	-0.033972
COL4A1	0.033690
CRLF1	-0.033626
RPS13	-0.033578
COL10A1	-0.033383
WNK1	0.033312
CDH11	-0.032903
STARD8	0.032898
HNRNPC	0.032864
FTH1	0.032852
VDAC2	0.032465
CRISPLD2	0.032254
FABP4	0.032254
IGF2	0.032087
RPL12	-0.032041
RPL23	0.031786
ELOVL5	0.031780
AGPAT4	0.031731
CNIH1	0.031522
SAR1B	0.031427
GOLGA7	0.031171
NOP10	0.031108
PRSS23	0.030968
AJUBA	0.030931
PLAGL1	0.030894
NDUFA5	-0.030868
CNN3	0.030722
FHL1	0.030706
TOMM40	-0.030664
VASN	-0.030517
ENO1	0.030455
RPL36AL	-0.030333
PSMB7	0.030329
IMPDH2	-0.030321
AMOTL2	0.030303
GCSH	0.030217
REXO2	0.030037
SEC61G	-0.029984
KCTD10	0.029934
PHPT1	-0.029812
PRMT1	-0.029808
NDUFA2	-0.029793
OXSR1	0.029697
RPL27	-0.029614
NEDD9	0.029581
RDX	0.029580
TGM2	0.029465
PER1	0.029311
EEF1B2	-0.029290
RRM2	0.029288
