!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Rattus norvegicus
!cell	Heart
!perturbation	Dexamethasone
!disease	3 d - 1 mg/kg
!end_metadata
FAM111A	0.163009
GAL	0.109380
COL15A1	-0.104450
LUM	-0.087268
S100A8	0.082721
HMGCS2	0.082212
COL3A1	-0.082078
MFAP4	-0.081965
CPA6	0.080679
ANGPTL4	0.077783
ASPN	-0.075854
S100A9	0.074143
ATF3	-0.072994
IL1R2	0.071631
FOSB	-0.070954
PTGDS	0.068894
SPP1	0.067487
COL1A1	-0.065670
COL1A2	-0.063722
RNASE1	0.062857
LCN2	0.061953
IGSF10	-0.060985
APLNR	-0.058828
ANGPTL1	-0.057408
CD163	0.057002
NPPA	0.055598
FKBP5	0.054891
PLA2G4A	0.054105
PLB1	0.053839
ACER2	0.053560
TMEM108	0.053394
NR4A1	-0.053335
CRYM	0.053122
EGFL6	0.052956
RHOBTB1	0.052619
DBP	0.049579
TTC27	0.049145
PGC	-0.048461
PLXND1	-0.048154
INHBB	0.047575
ARNTL	-0.047501
MARCKSL1	-0.047494
CCL5	-0.047208
COL6A3	-0.047198
SCTR	-0.046633
CCND1	-0.046593
KCNJ5	0.045873
C1QB	0.045809
MATN2	-0.045631
TINAGL1	0.045618
FAM46B	0.045521
ITGBL1	-0.045427
HPSE	0.045130
QSOX1	0.044850
ISLR	-0.044581
TRH	0.044566
CSDC2	0.044533
ALOX5AP	0.044251
SLPI	0.044195
OAS1	0.044188
GAS7	0.044169
EFEMP1	-0.044107
CYP2E1	0.043921
PIK3C2G	0.043389
CNTNAP1	-0.043214
ALDOB	0.043178
PXDN	-0.043081
LYVE1	0.042796
GBP2	-0.042665
COL14A1	-0.042408
RSAD2	-0.042271
CXCL12	-0.042208
IVNS1ABP	0.041575
GPD1	0.041549
INHA	-0.041432
NID2	-0.041392
LTBP4	-0.041176
SOX7	-0.040577
ALAS2	-0.040246
MYL1	0.040167
SCN4B	-0.040038
TBX5	0.040021
BCL6B	-0.039828
NUCB2	0.039769
METTL20	0.039691
MGST1	0.039631
GLRX	0.039602
FMO2	0.038967
CD14	0.038569
RYR3	0.038375
CFD	0.038321
SERPINA3	0.038257
CPED1	0.038230
FAM46C	-0.038131
IGFBP4	-0.038067
SERPINB9	-0.037943
DPT	-0.037869
CYTL1	0.037731
DRAP1	0.037705
MYO5B	0.037595
COL5A3	-0.037587
MAOB	-0.037147
FMO3	0.036837
LOXL1	-0.036681
IGF1	-0.036521
MYOT	0.036498
TIMP1	0.036272
TMEM252	0.036181
PACRG	0.036175
POSTN	-0.036046
FBN1	-0.035920
SBSN	0.035818
ADAMTS5	0.035790
PNPLA2	0.035716
SLC12A3	0.035565
CPA3	-0.035544
CCR1	0.035334
PHYHD1	0.035128
CCDC80	-0.035071
C1QC	0.035067
ABHD2	0.035066
IGSF6	0.034997
CNKSR3	-0.034895
MGST2	0.034849
COL6A2	-0.034827
DBN1	-0.034621
MCAM	-0.034401
OLFML3	-0.034381
ANGPTL2	-0.034148
TPPP3	-0.034039
PTER	0.033948
SERPINB1	0.033615
PRF1	-0.033182
TXNIP	0.033134
EGR1	-0.033087
SLC4A1	-0.032901
KLRD1	-0.032683
KDELR3	-0.032587
SPSB4	0.032584
MRC1	0.032516
AFAP1L2	-0.032512
EPHX2	0.032417
ANKRD2	0.032397
GPM6B	-0.032349
CCND2	-0.032336
CPXM1	-0.032248
LOC102723475	0.032075
PSMB9	-0.032019
LLGL2	0.032001
CYP11A1	0.031928
HK2	-0.031892
NOS3	-0.031877
PCOLCE	-0.031739
GIMAP4	-0.031563
HMCN1	-0.031554
EZR	0.031398
LGALS3	0.031335
THBD	-0.031207
MMP8	0.031174
OPCML	-0.031127
BPHL	0.030959
CTSS	0.030900
APLN	-0.030897
OLFML1	-0.030842
ASB2	-0.030781
G0S2	0.030713
BGN	-0.030521
PCSK6	-0.030438
TGFB3	-0.030438
SMPDL3B	0.030429
GNG11	-0.030335
AQP7	0.030328
TMCC3	0.029894
MALL	-0.029864
C1QTNF2	-0.029844
CD93	-0.029767
ANGPT1	0.029692
FAM117B	0.029640
PDK4	0.029632
MFAP5	-0.029585
PLA1A	0.029536
TRAK1	-0.029525
COL5A1	-0.029494
LCK	-0.029325
ABRA	-0.029241
XDH	0.029227
LOX	0.029226
OAF	-0.029201
CRYL1	0.029171
NUBPL	0.029092
TNXB	-0.029052
TCAP	0.029001
WFDC1	-0.028901
PLP1	-0.028670
C3	0.028596
NFIL3	-0.028485
FYN	-0.028459
DDIT4	0.028429
ARID5B	-0.028410
NDN	-0.028401
PGLYRP1	0.028387
C6	0.028314
CXCL2	0.028145
ANKRD23	0.028134
ART1	-0.027963
PPP1R15A	-0.027944
PCDH17	-0.027934
NUDT7	0.027925
KCNMB4	0.027924
FOS	-0.027873
DPP4	-0.027841
TMEM52	0.027803
CISD2	0.027664
F13A1	0.027654
IFI44L	-0.027619
LYZ	0.027546
FSTL3	0.027523
CMTM3	-0.027521
ACE2	-0.027501
GPX7	-0.027483
N4BP2L1	0.027425
MAOA	-0.027355
RCN3	-0.027305
CDC42EP4	0.027189
PROCR	0.027065
OGN	-0.027055
LGALS3BP	-0.027000
CYP1B1	-0.026921
SLC28A2	0.026906
PLAGL1	0.026856
MAGED2	-0.026718
XK	0.026689
YPEL2	-0.026607
RTP4	-0.026533
ALB	0.026520
GPR182	0.026514
PFN2	0.026496
HP	0.026397
LMCD1	0.026393
TMCC2	-0.026378
FAM107A	0.026321
PFKFB2	-0.026304
ETS1	-0.026227
CH25H	0.026188
KLHL41	0.026187
NPAS2	-0.026177
CD83	-0.026005
ASNA1	0.026002
BAIAP2L1	0.025994
SWI5	0.025990
CDO1	0.025967
EMCN	-0.025957
SMIM5	-0.025953
H19	0.025852
IGFBP5	-0.025835
SYNE2	-0.025800
DYRK2	-0.025775
RBP7	-0.025713
MYCN	-0.025690
STXBP6	-0.025624
PRUNE2	0.025523
ASB11	0.025408
DUSP15	0.025404
GFRA1	-0.025372
PER2	0.025301
VLDLR	-0.025299
ARL15	-0.025280
LOXL2	-0.025226
IL2RG	-0.025219
MYL4	0.025075
XCL1	-0.025074
RBP1	-0.025071
TPBG	-0.025065
TUBB4B	-0.025061
SLC31A2	0.025019
ISG15	-0.025012
GTF3A	0.024985
SPARC	-0.024931
C1QA	0.024919
ATXN1	-0.024869
HPD	0.024842
FAM129B	-0.024752
NR1D2	0.024668
PPAT	-0.024624
MAX	0.024621
BEAN1	-0.024539
FMNL3	-0.024366
PEX11A	0.024364
CERCAM	-0.024360
LTBP1	-0.024314
HERC6	-0.024289
COLEC11	0.024165
LRG1	0.024152
DTWD2	0.024112
SERPINE2	-0.024080
DMP1	0.024075
CD7	-0.024058
FHL1	0.024042
DTNA	0.024025
SAMD9L	-0.024016
RFX4	-0.023962
GCKR	0.023916
TBC1D9	-0.023782
C1QTNF7	-0.023767
PLEKHB1	-0.023693
EFHD1	-0.023690
SLC2A4	-0.023685
TNS3	0.023682
TSPO	0.023645
TTYH2	-0.023641
IRF7	-0.023627
ABCA5	0.023622
MAZ	-0.023592
SLC39A8	-0.023586
BTG2	-0.023574
PLA2G1B	-0.023542
GCNT1	0.023436
CLEC11A	-0.023427
ATXN10	0.023416
DGAT2	0.023367
UHMK1	-0.023269
CCL13	-0.023260
CTSK	-0.023224
SLC1A1	0.023216
FNTB	0.023211
ACTR3B	0.023151
CMPK2	-0.023150
EPHX1	0.023138
DSC2	0.023092
RRS1	0.023072
TRIM54	0.023040
GSN	-0.023028
PLCL1	0.022999
TEF	0.022900
NDUFA4L2	-0.022854
NFKBIA	0.022845
REXO4	0.022838
DENND5B	0.022811
PIM3	0.022796
SERTAD4	-0.022785
IGFBP7	-0.022750
MFAP2	-0.022740
IRX2	0.022728
ID2	-0.022673
SCN1A	0.022671
ARRDC2	0.022656
COX4I2	-0.022609
CPQ	-0.022597
TGFB1	-0.022592
ITGAL	-0.022571
TMEM179	-0.022565
ARSB	-0.022546
L1CAM	-0.022522
DPYSL2	-0.022522
GOLGA4	-0.022516
EMP1	-0.022507
RASD1	0.022481
COLQ	0.022475
DCBLD2	-0.022464
LRRC17	-0.022447
CDKN1A	-0.022441
IL18	0.022411
KLK10	-0.022392
EYA2	0.022387
RNPEP	-0.022274
MED7	0.022224
SLC22A3	0.022211
PBLD	0.022114
MYH7	0.022101
RNF39	0.022077
FHL3	-0.022030
ERBB2	0.022018
JPH2	-0.022004
FSTL1	-0.021980
CCDC68	0.021962
CD55	0.021954
TGFB2	0.021923
MXRA8	-0.021890
SDC4	0.021882
PF4	0.021868
NDRG1	0.021830
MLLT11	0.021821
ZNF189	0.021784
NAP1L5	-0.021778
AKR1B10	0.021777
UHRF1BP1L	0.021768
UCK2	0.021760
EVA1A	-0.021717
NR4A3	-0.021694
BDH1	-0.021692
GLCE	0.021692
LRRFIP1	0.021678
CDH5	-0.021640
SCX	-0.021603
SH3BP5L	0.021603
UAP1L1	-0.021520
GFPT2	0.021459
GATSL3	0.021438
ARL4A	0.021415
SOX4	-0.021414
UPP1	0.021406
TERF2IP	0.021402
C2CD4B	0.021393
PLSCR1	0.021369
VEGFA	-0.021329
ZEB2	-0.021306
TNFRSF14	-0.021302
PPCS	0.021301
NABP1	0.021292
PPIL1	0.021273
MMP15	-0.021264
LGALS9B	-0.021251
HEY2	0.021237
PLCB1	-0.021236
SAPCD2	-0.021208
SQRDL	0.021202
AKAP3	0.021186
REG3G	0.021160
AKAP1	-0.021135
PGF	0.021043
LY6E	-0.020990
TRIM25	0.020963
SH3D19	-0.020940
MYOZ1	-0.020914
PHLDA1	-0.020890
C15orf60	0.020882
LRRK1	-0.020859
ALDH1A1	0.020808
SLC3A2	0.020793
OCRL	0.020792
ASB12	0.020775
TMED5	0.020768
PER3	0.020710
PIK3R1	0.020676
PCDH1	-0.020674
POLR1E	0.020672
ZFP14	0.020669
TIMP4	0.020650
ENPEP	-0.020644
IFIT1B	-0.020626
PARP14	-0.020606
CAV2	-0.020581
KCNJ11	-0.020499
PSTPIP1	0.020490
PCDH20	0.020484
ENTPD2	-0.020457
SPON2	-0.020443
SEMA3G	0.020428
ADM	0.020420
CLEC10A	0.020376
IFNGR1	0.020364
EPB41	0.020315
PPARA	-0.020270
PRC1	-0.020258
PRPH	-0.020239
TNFAIP8	-0.020220
SERPINF1	-0.020211
SPNS2	-0.020207
NKG7	-0.020169
STARD5	0.020168
IRF9	0.020115
ITGA6	-0.020109
BTRC	0.020097
PDLIM2	0.020092
TIE1	-0.020071
CARD9	-0.020071
MYADM	-0.020057
PSMD8	0.020050
DECR1	0.020048
AOC3	-0.020022
HOPX	-0.020018
WDFY4	0.020003
MAFF	0.019913
SERINC5	-0.019911
SPRY1	0.019876
SLC6A8	-0.019873
IBA57	0.019861
HMGCL	0.019858
B3GALNT1	0.019849
RNF213	-0.019839
SCN1B	-0.019816
FBLN1	-0.019790
R3HCC1L	0.019745
DDR2	-0.019719
FOXS1	-0.019697
NID1	-0.019690
ARHGAP24	0.019681
STK10	-0.019665
HSF2BP	0.019659
XPR1	0.019658
ELOVL6	0.019646
RAB3B	0.019636
COL5A2	-0.019626
KIAA1217	-0.019604
CITED2	0.019595
STEAP2	0.019595
CMA1	-0.019594
GNB4	-0.019591
HOXA3	-0.019580
NAPSA	0.019547
