!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Homo sapiens
!cell	LREX' (prostate cancer) cells
!perturbation	Dexamethasone
!disease	10nM
!end_metadata
MAOA	0.162911
TUBA3D	0.137156
STK39	0.130193
RHOU	0.130176
CCDC59	-0.124708
SLC25A5	0.119477
ZMIZ1	0.110354
BAMBI	-0.109629
FKBP5	0.109219
PRR15L	0.098771
TUBA1B	0.094137
YWHAQ	-0.093460
KLK4	0.091007
BCYRN1	0.087355
PTBP1	-0.084967
ETFA	-0.084718
ZNHIT3	-0.084251
SNAR-A1	0.082918
TOMM7	0.081257
NDRG1	0.079841
NDUFB10	0.079698
C19orf48	0.076953
F2RL1	0.076458
FLJ43681	0.075363
RPS20	0.074489
RPL6	-0.072466
RPS13	-0.071762
GHITM	-0.071756
ERRFI1	0.071694
RDH10	0.071593
RPL13AP3	-0.071544
NFKBIA	0.071202
CEBPD	0.068655
CCT8	-0.068072
RPL23	0.067933
DNAJA1	-0.066671
CKB	0.064658
FAU	0.062527
HSPA1B	-0.062326
AMD1	0.061683
GAGE12J	0.061013
NFIX	-0.060703
JTB	-0.060288
MAFB	0.059929
COX6C	0.059783
SRSF1	-0.059688
TYMS	-0.057716
NDUFV2	-0.057577
UBP1	-0.057427
DDIT4	0.057195
CMBL	0.057152
SLIRP	-0.056666
SGK1	0.056447
TFRC	-0.056286
IRF2BPL	-0.056265
CKS2	-0.055569
IMPDH2	-0.054691
PSMG2	-0.054639
RAB40B	-0.054606
ACKR3	-0.054521
JUND	-0.053973
LITAF	-0.053935
KLF9	0.053933
MPC2	0.053902
RNA18S5	-0.053390
RPL11	0.053245
LOC729603	0.052895
PARP1	-0.052512
TUBA3E	0.052497
CPNE3	-0.052325
SCARB2	0.052183
LSM2	-0.051987
ILF2	-0.051837
EEF2K	0.051539
GLUD1	0.051412
RPL8	-0.051399
ARL1	0.051095
ATP6V1A	-0.050394
EPHX4	0.050273
RPL35A	0.050171
TANC1	-0.050003
PSMB10	0.049909
GLRX5	-0.049697
UQCRBP1	-0.048964
AHCY	-0.048649
SOD1	0.048294
PNPO	0.048194
PTGES3	-0.048154
TMEM38B	-0.047862
RPS3A	0.047813
H2AFZ	0.047666
RPSA	-0.047655
GAGE4	0.047243
CALM1	-0.047171
ATP6V0E2	0.046747
METAP2	-0.045373
ATP5E	0.044648
HIST1H4C	-0.044408
RHOB	0.044401
H3F3A	0.044043
NDUFS5	-0.043546
RPL30	-0.042982
YWHAH	-0.042849
C14orf166	0.042627
IL18	0.042528
TARS	-0.042309
SCD	-0.041863
PPA1	-0.041852
EIF1	-0.041343
NDUFB2	-0.041226
CBLN2	-0.041204
STEAP2	0.041017
ARL6IP1	-0.040954
RHOC	0.040949
ABCC4	0.040212
ATP5J2	0.040034
CENPN	0.040027
RPS10	0.039805
THOC7	-0.039683
ZFAND5	-0.039596
IMP3	-0.039572
DHX15	-0.039481
SCNN1A	0.039029
RPS16	-0.038955
GTF2A2	-0.038613
LDHB	0.038447
RHEB	-0.038324
SUZ12	-0.038268
TXN	-0.038221
BCL6	0.037947
RPL31	0.037580
GAGE2B	-0.037569
HSP90B1	0.037531
ZNF738	0.037468
MANF	0.037228
PSMB6	0.037223
RPS12	0.037167
ODC1	0.036984
TMSB10	0.036897
NDUFAB1	0.036894
GTPBP4	-0.036499
EIF1B	-0.036227
FRAT2	-0.036221
SNRPD2	0.036173
EIF3I	-0.035842
ROMO1	0.035757
NAPEPLD	-0.035709
GNL2	0.035639
YBX1	0.035433
RPS28	0.035278
SLC44A1	-0.034960
SET	-0.034550
ECH1	-0.034463
SMS	-0.034334
PPP1CC	-0.034148
NPC1	0.033965
ORC6	0.033930
CIRBP	0.033908
HNRNPR	-0.033821
RPS11	-0.033718
MRPL3	-0.033531
ATAD2	0.033434
TXNDC17	0.033193
LOC100128288	0.032939
ATP5A1	-0.032707
RPL37A	-0.032653
RPL21P28	0.032651
PABPC1	0.032479
RAMP2-AS1	0.032319
EEF2	0.031845
MYL12A	0.031812
DDX39A	-0.031759
NOL7	-0.031750
BNIP3	-0.031405
DEK	-0.031365
HERC5	0.031268
POMP	0.031249
EPRS	-0.031206
SLC37A4	0.031204
CERS6	0.031180
CDKN3	-0.031135
HSPA8	-0.031131
SRP9	-0.031093
TMEM141	0.031008
RPS27L	-0.030974
ZNF511	0.030866
RPL13A	-0.030843
BTG1	0.030796
P4HB	0.030793
ECI2	0.030770
PTMA	0.030735
BMS1P5	0.030640
SPC24	0.030635
MT1X	0.030607
TKT	-0.030605
PRDX6	0.030587
HNRNPA1P33	-0.030582
RPS26P11	0.030409
RPLP2	0.030302
TMEM87A	-0.030252
GNS	-0.030238
MRPS6	-0.030234
TMEM205	0.030066
GAGE12G	0.030056
ELOVL5	0.030041
CAMK2N1	-0.029962
CST3	0.029856
CCDC86	0.029764
MRPS21	0.029703
NCOA4	-0.029617
KBTBD11	0.029557
RPL19	0.029465
EIF4G2	-0.029316
IDH1	-0.029226
SPCS1	-0.029214
PIGY	0.029140
HSD11B2	0.029108
TDP1	0.029045
MAPK6	0.029015
PCBP1	-0.028923
KRTCAP2	0.028849
RPN1	0.028805
CHCHD10	-0.028783
PSAP	0.028639
COX7A2	-0.028559
ATP5H	-0.028521
MTPN	0.028494
PQLC1	0.028493
TMED10P1	-0.028493
RPL27	-0.028398
TUBA4A	0.028214
MRPL17	0.028167
PRC1	-0.028132
LAIR1	0.028066
LTBR	-0.027994
DUSP19	0.027934
CDK2AP1	0.027929
ENO1	0.027887
HECTD1	-0.027700
CYB5A	0.027607
MTCH1	-0.027457
RAB9A	-0.027429
SRM	0.027350
DDX21	-0.027339
RPL15	-0.027335
SSU72	-0.027323
ATP5B	0.027229
DCXR	0.027192
SLC35A5	-0.027172
RPL3	0.027166
ACTG1	-0.027110
AKR1D1	0.027106
GMNN	0.027067
MYC	0.027061
ANAPC5	0.027057
DKC1	-0.027006
CDK19	0.026986
TST	0.026962
STRAP	0.026944
LIN7A	-0.026867
MRPL36	0.026862
CMC2	0.026772
TBPL1	0.026767
PSMD2	0.026755
UQCRHL	0.026703
EBPL	0.026644
MRFAP1	-0.026452
RPL7	0.026432
HILPDA	0.026388
ATP5C1	-0.026332
PLOD1	0.026297
F2R	-0.026290
PPAP2A	0.026195
IARS2	-0.026049
LSM3	-0.025917
TMA7	0.025850
NDUFA11	0.025754
PHGDH	-0.025741
PLGRKT	-0.025737
ATP5L	-0.025729
METTL5	-0.025701
CCNI	-0.025669
RRM1	-0.025660
TOMM5	0.025628
MMD	-0.025553
RPL32	0.025530
PSMC3	0.025434
LIMCH1	0.025429
RPSAP9	0.025339
PCNP	-0.025219
LPAR3	0.025186
PRPSAP1	-0.025182
BLOC1S1	0.025168
TPT1	-0.025166
RPL5	0.025080
APP	-0.025006
MCM6	-0.024974
RAB25	0.024833
NAA38	0.024815
FOXO3	0.024806
DECR1	0.024742
ECT2	0.024698
GAGE12E	-0.024597
HSP90AB1	-0.024581
RPS27	-0.024531
GNB1	-0.024504
SCYL2	-0.024487
SCAP	0.024484
PRKCD	0.024464
DIMT1	-0.024452
GAGE8	0.024331
GUK1	0.024299
RABEPK	-0.024290
SUCLG1	0.024175
LDHA	0.024175
C1orf116	0.024092
TOP2A	-0.024086
ARHGEF2	-0.024047
TTLL12	0.023955
VBP1	-0.023949
HES6	0.023927
TMEM5	-0.023892
PACSIN2	0.023849
ATP5J	-0.023831
GAGE12B	0.023808
CIB1	0.023768
MT2A	0.023698
DCUN1D5	-0.023678
AURKA	-0.023533
HNRNPA1P10	-0.023507
C7orf50	0.023501
RSL1D1	-0.023498
SEC11C	0.023491
IFITM2	0.023462
RANGAP1	0.023425
CENPW	0.023280
HSPE1	0.023272
TMEM126B	-0.023219
MT1A	0.023128
HSD17B7	0.022972
CLINT1	-0.022962
CALR	0.022936
TIMM21	-0.022935
CDCA3	-0.022916
PSMB5	-0.022863
AIF1L	-0.022780
GOT2	0.022733
SRSF6	-0.022708
C7orf49	0.022699
RPL13AP5	-0.022670
RPS19	0.022662
TCEB1	-0.022646
SRSF2	-0.022642
CDKN2AIPNL	0.022586
FAM127A	0.022541
HNRNPA0	-0.022477
SLC25A3	-0.022461
SLC38A2	0.022456
DAD1	-0.022406
ECHS1	0.022349
GNB2L1	0.022277
SQSTM1	-0.022267
VPS37C	-0.022163
ITPK1-AS1	0.022149
NSMCE4A	-0.022131
TMEM256	0.022129
RPS8	-0.022118
ACAT1	0.022084
MSRB1	0.022037
COX6A1	-0.022015
SEC61A1	0.021972
TBCA	-0.021968
ATP1B1	-0.021955
MRPL18	-0.021841
SRP14	-0.021809
PCBP2	-0.021807
SNRPG	-0.021724
HPRT1	-0.021722
RBX1	0.021707
PSMC5	0.021640
FBL	0.021600
ATOX1	0.021580
PEBP1	-0.021551
TRABD	0.021518
GYG1	0.021517
ST13	0.021470
RDX	-0.021466
ZFP91	-0.021419
CISD1	-0.021387
ADCK3	0.021343
PDHB	-0.021322
RPL10A	0.021316
ITGAE	0.021312
F12	0.021199
RHNO1	-0.021196
MAL2	-0.021180
TFAM	-0.021045
ZNF674	-0.020997
TSKU	0.020968
RPLP0	-0.020906
FAM214A	0.020850
XRCC6	0.020811
POLE3	-0.020716
SNRPN	0.020613
NUP88	-0.020582
HSPA14	-0.020567
POGK	-0.020556
HOXA10	-0.020538
UQCRC2	-0.020506
RPL35	-0.020497
TMEM123	-0.020483
PSAT1	-0.020471
SDF2L1	0.020449
GRPEL1	0.020394
MRPL41	0.020382
IMP4	0.020379
UBE2A	-0.020375
FBXO31	0.020346
SLC25A6	-0.020341
ANXA2P2	-0.020305
AMY1C	0.020303
ACTB	-0.020258
PRDX5	-0.020234
TOR1AIP1	-0.020172
PDXP	0.020116
SMCO4	0.020088
PON2	-0.020083
KIAA1598	-0.020069
TUBA3C	0.020048
CENPB	0.020004
EIF3D	-0.019997
CEP19	0.019973
WAC	-0.019947
DHX36	-0.019946
RPS2	-0.019942
ATP6V1B2	-0.019829
BTBD6	-0.019810
ADSL	0.019805
RAI14	-0.019657
GPAA1	-0.019656
NIFK	0.019646
ATG3	-0.019619
SF3B5	0.019531
PPP2R2A	-0.019530
TOMM70A	-0.019505
RSL24D1	-0.019503
FKBP4	0.019491
EID2B	0.019431
RPS5	-0.019386
COX4I1	0.019380
EMC7	0.019340
SPINT2	-0.019321
GTF3C2	-0.019212
MICU2	0.019193
RABGGTB	-0.019106
SRSF9	-0.019084
NDUFA2	0.019042
RN7SL1	-0.019019
RBBP7	0.018942
APRT	0.018886
NAA10	0.018866
CHPT1	0.018829
SEMA6A	-0.018756
SEC61G	-0.018754
BAG3	0.018750
NDUFB9	0.018678
SBDS	0.018645
TSPYL1	-0.018641
TMEM144	-0.018622
TUFM	-0.018614
MAK16	0.018561
PSMD14	-0.018526
KIAA0907	-0.018522
COX5A	0.018515
DAP3	-0.018507
RAB13	0.018467
LSM1	0.018398
ZNF622	0.018380
ALDH3A2	0.018310
SCOC	-0.018304
CNDP2	-0.018265
KIF5C	0.018242
TMEM60	0.018230
APEX1	-0.018228
RBM10	0.018219
BOP1	0.018211
PFN1	0.018198
MLPH	0.018152
KCNK1	0.018145
ARID5B	-0.018144
COMT	0.018132
DAZAP2	-0.018111
HIBADH	-0.018103
KIFC1	-0.018048
WASL	-0.017983
FOXA1	-0.017983
SNHG1	-0.017960
OIP5	-0.017960
RNF145	0.017947
PCNA	-0.017918
